Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Roofing & Cladding,grouping,Roofing & Cladding,,,,,,
,,Zone 1 Lower Level - Roof,,Zone 1 Lower Level - Roof,Roofing & Cladding,Project QA,,,,
,,Spill Air Louvre - EAF Enclosures Genenerators,,EAF Enclosures Genenerators,Spill Air Louvre,Roofing & Cladding,Project QA,,,
,,Spill Air Louvre - Exhaust/Radiator Penetrations,,Exhaust/Radiator Penetrations,Spill Air Louvre,Roofing & Cladding,Project QA,,,
,,Spill Air Louvre - Transformers Roof Cowls,,Transformers Roof Cowls,Spill Air Louvre,Roofing & Cladding,Project QA,,,
,,Zone 2A Lower level - Monkey Toe Roof,,Zone 2A Lower level - Monkey Toe Roof,Roofing & Cladding,Project QA,,,,
,,Zone 2-3-4 Data Hall Roof,,Zone 2-3-4 Data Hall Roof,Roofing & Cladding,Project QA,,,,
,,Fire Rating to Data Hall Roof,,Fire Rating to Data Hall Roof,Roofing & Cladding,Project QA,,,,
,,External wall cladding - Zone 1 Additional Crew,,External wall cladding - Zone 1 Additional Crew,Roofing & Cladding,Project QA,,,,
,,External wall cladding - Zone 2,,External wall cladding - Zone 2,Roofing & Cladding,Project QA,,,,
,,"External wall cladding - Zone 4,3,2",,"External wall cladding - Zone 4,3,2",Roofing & Cladding,Project QA,,,,
,,Access ladders and platforms,grouping,Access ladders and platforms,,,,,,
,,Northern Elevation - Zone 2,,Northern Elevation - Zone 2,Access ladders and platforms,Project QA,,,,
,,Southern Elevation - Zone 4,,Southern Elevation - Zone 4,Access ladders and platforms,Project QA,,,,
,,Internal Services & Fit Out - Level 00,grouping,Internal Services & Fit Out - Level 00,,,,,,
,,Zone 1 - Generator Build GL G-K/3-12,,Zone 1 - Generator Build GL G-K/3-12,,,,,,
,,Zone 2 - Administration GL 1-4/J-K - Exterior Wall,,Exterior Wall,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 2 - Administration GL 1-4/J-K - Fire Rating To Underside of Lower Roof,,Fire Rating To Underside of Lower Roof,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 2 - Administration GL 1-4/J-K - Area A - Toilet Block/Cleaners,,Area A - Toilet Block/Cleaners,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 2 - Administration GL 1-4/J-K - Area B - Inward Goods,,Area B - Inward Goods,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 2 - Administration GL 1-4/J-K - Area C - Mechanical Power Systems,,Area C - Mechanical Power Systems,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 2 - Administration GL 1-4/J-K - Corridor 1,,Corridor 1,Zone 2 - Administration GL 1-4/J-K,Level 00,Internal Services & Fit Out,Project QA,,
,,Zone 3 - AHU Services - GL2-8 - AHU Air Plenium,,AHU Air Plenium,GL2-8,Zone 3 - AHU Services,Level 00,Internal Services & Fit Out,Project QA,
,,Zone 3 - AHU Services - GL2-8 - AHU Plant Room - AHU Install Peroid,,AHU Install Peroid,AHU Plant Room,GL2-8,Zone 3 - AHU Services,Level 00,Internal Services & Fit Out,Project QA
,,Zone 3 - AHU Services - GL2-8 - AHU Plant Room - External Louvre Build Up,,External Louvre Build Up,AHU Plant Room,GL2-8,Zone 3 - AHU Services,Level 00,Internal Services & Fit Out,Project QA
,,Zone 3 - AHU Services - GL2-8 - AHU Plant Room - Chilled Pipework,,Chilled Pipework,AHU Plant Room,GL2-8,Zone 3 - AHU Services,Level 00,Internal Services & Fit Out,Project QA
,,Zone 3 - AHU Services - GL2-8 - External Louvre Hoarding,,External Louvre Hoarding,GL2-8,Zone 3 - AHU Services,Level 00,Internal Services & Fit Out,Project QA,
