"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f81eaaf6-bb8e-4d69-a9cb-6857a4f0cd1c","","folder-normal","work-in-progress","","step","FALSE","FALSE","Colo 1 Cell 1"
"8dc15395-7890-4b51-b368-8d835d7904be","","folder-normal","not-started","","step","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1"
"ebb45fcc-08d8-42ac-a5c1-a113999a4d02","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-101    COLO 1 CELL 1"
"6cdaf53b-3196-4ddb-b52a-001762668c39","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-101    COLO 1 CELL 1","First Fix Checks"
"b3088f55-c2eb-483f-adc5-e7781c682d4f","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-101    COLO 1 CELL 1","Second Fix Checks"
"e03f3159-7b90-4625-8f94-db3f3f1359a5","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-105    COLO 1 MECH GALLERY 1"
"68538c82-8962-40fa-9080-bd31758448b2","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-105    COLO 1 MECH GALLERY 1","First Fix Checks"
"32c3f4a3-6d6f-4e26-ac6b-33bfa793c159","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-105    COLO 1 MECH GALLERY 1","Second Fix Checks"
"9ffa301e-c986-4471-8e1b-e48ea59a5df1","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-115    COLO1 CELL1 ELECTRICAL"
"cf572a96-0a7e-4721-a383-765921d94f58","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-115    COLO1 CELL1 ELECTRICAL","First Fix Checks"
"23943f4c-41b2-42d4-87f4-0da60a2b6cec","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-115    COLO1 CELL1 ELECTRICAL","Second Fix Checks"
"5f0f9c8b-9430-4093-8042-74114f686477","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-119    COLO 1 CELL 1 BATTERY"
"60dde24d-835e-4fff-a95a-2ebee1ccf4de","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-119    COLO 1 CELL 1 BATTERY","First Fix Checks"
"9ded0e38-2df6-4aad-8c70-c2bf79e68826","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-00-119    COLO 1 CELL 1 BATTERY","Second Fix Checks"
"8d44e741-fb39-4a9e-a585-5ff88a55d462","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-EX-03    FS1"
"98722dbf-5226-4142-bf68-6ad6efd4df85","","checklist-flat","not-started","First Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-EX-03    FS1","First Fix Checks"
"88abcf0b-bf32-4a46-a8f1-52a6381a4e69","","checklist-flat","not-started","Second Fix","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - QA Checks Colo 1 Cell 1","02-EX-03    FS1","Second Fix Checks"
"16441ccc-470b-4cb7-b675-301fbc6a3c65","","folder-normal","work-in-progress","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1"
"72bf29e8-d4e1-4421-9a60-fe87b3be5f75","","folder-normal","work-in-progress","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1"
"78157f58-cb94-4f86-91e2-b3646b9c2fa5","","checklist-flat","not-started","Main Earth Check Sheet","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Main Earth System Colo 1 Cell 1"
"6e6831dd-44ee-46bd-988b-0ee227bca7c4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Earth Connections Colo 1 Cell 1"
"ba74898d-5423-42c6-9935-a356ddec47f6","","checklist-flat","pass","Earthing Connections - Old","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Earth Connections Colo 1 Cell 1","Earthing Connections EC103"
"1364b729-3c77-451a-b8b1-da71dce48389","","checklist-flat","not-started","Earthing Connections - Old","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Earth Connections Colo 1 Cell 1","Earthing Connections EC100"
"f16024b5-4182-44b7-8ebe-0f847df38593","","checklist-flat","not-started","Earthing Connections - Old","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Earth Connections Colo 1 Cell 1","Earthing Connections EC101"
"bd4b03c9-5c39-42e8-a8c5-acbf43cc523f","","checklist-flat","work-in-progress","Earthing Connections - Old","checklist-flat","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Earthing Colo 1 Cell 1","Earth Connections Colo 1 Cell 1","Earthing Connections EC102"
"bee6f134-cda7-428c-95f9-31800eab4518","","folder-normal","not-started","","step","TRUE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1"
"2e4127f1-a548-4986-8c8a-8c3806cc1073","folder-normal must be display normal but was flat
Unsupported Children: checkpoint-no-status Test Conditions (d3893d6f-691d-5d47-8725-af24b91b58b3), checkpoint-no-status Cable Details(27592236-087a-5177-83a5-7dc82f669fdc)","folder-normal","not-started","","step","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1","Cable Ref. C1-1   From - CE1-XFM01 To - CE1-MSB01"
"cf6a0e9c-41c8-59d7-b8e7-6e287732a687","checklist-flat must be display flat but was undefined
Child Using a 1000 volt insulation tester test and record the resistance between(20ea20d6-6685-5231-be75-65aed33a088a): DataPoint Red to Yellow(92af2809-4317-4f95-b0ca-201964f79867) has hidden property width:100
Child Using a 1000 volt insulation tester test and record the resistance between(20ea20d6-6685-5231-be75-65aed33a088a): DataPoint Yellow to Blue (54dc5d3d-9fca-4760-a89a-8babf9e32d97) has hidden property width:100","checklist-flat","not-started","076f6069242c3ecb24781d1292bd4ebfee790e2649d85557a7fa7a5962a4f56e","checklist-flat","TRUE","TRUE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1","Cable Ref. C1-1   From - CE1-XFM01 To - CE1-MSB01","Test Results "
"dac1f357-86c8-595f-bb3c-c4dfc57c5e66","Data not allowed on checklist-flat: Tested By (e38b589d-7804-4cea-aabe-4f472a73fb27)
checklist-flat must be display flat but was undefined","checklist-flat","not-started","dbc6ff5015bc888ca9453a0972bb5e2faf8d2e59b47bcc14498350a4805e38f2","checklist-flat","TRUE","TRUE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1","Cable Ref. C1-1   From - CE1-XFM01 To - CE1-MSB01","Tested"
"2f9f91d3-a69f-4d25-9915-928b68ec9ed6","folder-normal must be display normal but was flat
Unsupported Children: checkpoint-no-status Test Conditions (3ac89f96-5491-5579-8b14-14476ec755f7), checkpoint-no-status Cable Details(61821353-fd14-59da-9c6d-cf8461ef6880)","folder-normal","not-started","","step","FALSE","FALSE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1","Cable Ref. C1-2   From - CE1-GPC01 To - CE1-MSB01"
"99b9dfb2-a447-5177-915c-cc381c917c21","checklist-flat must be display flat but was undefined
Child Using a 1000 volt insulation tester test and record the resistance between(879fdefb-13ce-5070-be3a-3948b5f327a5): DataPoint Red to Yellow(92af2809-4317-4f95-b0ca-201964f79867) has hidden property width:100
Child Using a 1000 volt insulation tester test and record the resistance between(879fdefb-13ce-5070-be3a-3948b5f327a5): DataPoint Yellow to Blue (54dc5d3d-9fca-4760-a89a-8babf9e32d97) has hidden property width:100","checklist-flat","not-started","076f6069242c3ecb24781d1292bd4ebfee790e2649d85557a7fa7a5962a4f56e","checklist-flat","TRUE","TRUE","Colo 1 Cell 1","Level 2 - Electrical Checks Colo 1 Cell 1","Mains & Submain Cabling Colo 1 Cell 1","Cable Ref. C1-2   From - CE1-GPC01 To - CE1-MSB01","Test Results "
