"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0521539b-85e8-4dbd-a620-7befd068011d","","work-in-progress","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Prelim Activities"
"7e9b2b49-cfbf-4a0b-8d02-b42093fed546","","work-in-progress","","folder","FALSE","FALSE","Site QA"
"996695e8-b5c1-473d-9b0e-573f6e2a9019","","work-in-progress","","folder","FALSE","FALSE","Site QA","Advanteering Plank"
"531a8965-5c6f-43ef-a3f5-db0096a911f0","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 1"
"af351aca-4c43-4fe8-b885-37e6f6161fea","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 2"
"25e699cb-7d46-4ba3-94bb-70d6e279775b","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 3"
"dc6a221a-7591-44a8-8e4c-f45a4eaa944d","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 4"
"ec0a4d2a-257a-4354-b02b-7b370746d110","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 5"
"16d4a257-b578-472e-a386-68ed8f6d0e16","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 6"
"41d415db-8653-411a-a5fb-95e9202d032c","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 7"
"39bd5100-fc1a-4bef-b3b7-07868edca9ed","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 8"
"11aa12c6-aff6-4b0d-85cf-d4ddf03dfea8","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 9"
"c6957c9d-7d7f-4e06-b94a-4166cc51e2a6","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 10"
"5d2f3057-3be0-4960-9d72-f49801ec6260","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 11"
"bf9da4ae-67f3-4f9e-8a4f-98fc7e818629","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 12"
"5bce2ced-c061-4142-b57a-12e7d0bf4aeb","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 13"
"6514db31-fef8-4f0b-ba00-02e9648e1747","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 14"
"70a125e5-d8d2-4898-b1ca-887a9463e34e","","pass","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 15"
"e934f069-6378-4a3e-bb6c-8f97c48d2277","","not-started","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 16"
"6519ed99-d832-4016-8e83-37e9d7a4dfaa","","not-started","Precast Piers","checklist","FALSE","FALSE","Site QA","Advanteering Plank","Cast 17"
