"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"07f56f8e-3ce0-4a8b-a8dd-303d0e925f64","","not-started","","folder","TRUE","FALSE","Prelim Activities"
"132121dd-e441-4bf5-8309-120423765546","","not-started","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Prelim Activities","Preliminary Activities and Materials Approval"
"49394df1-71c3-4b04-8914-ea476080d559","","pass","","folder","TRUE","FALSE","NW3"
"38463b3c-caad-4fdc-93dc-c057dc8e77a4","","pass","Planks Checklist","checklist","FALSE","FALSE","NW3","Cast 1 - OTF1 - 5 Panels "
"e9350335-0b59-4cbb-8f5d-5f8b8810f6f7","","pass","Planks Checklist","checklist","FALSE","FALSE","NW3","Cast 2 - OTF1 - 5 Panels"
"5297d011-d8ff-43cf-b8b1-726d911f88ae","","pass","Planks Checklist","checklist","FALSE","FALSE","NW3","Cast 3 - OTF4 - 5 Panels"
"85161b5f-45d2-4e62-a851-5edd74b76e64","","pass","Planks Checklist","checklist","FALSE","FALSE","NW3"," Cast 4 - OTF4 - 5 Panels  "
"3b4dabae-f29d-42b3-b2fa-561ea0e0c4a5","","pass","","folder","TRUE","FALSE","NW9"
"8a91d2df-de1c-452a-834a-01be941e5ee8","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 1 - RC02 - 01 to 02 Panels "
"5bf9e67c-ddf3-4155-87f0-16cd4b457ed1","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 02 - RC2 - 03 to 08 Panels"
"53fd2a1d-a9b0-4f12-9e22-e9e32fc17412","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 03 - RC2 - 09 to 14 Panels"
"b7663c03-3ed9-4210-b2a1-70fe0a83f1d5","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 04 - RC2 - 15 to 20 Panels"
"4cb81ce8-0408-4978-ad27-95028ff387ed","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 05 - RC2 - 21 to 26 Panels"
"d8189195-e4c9-4869-9a38-5d1422187a23","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 06 - RC02 - 27 to 32 Panels "
"3aa02b6d-c774-4480-80b0-d57daf45cc02","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 07 - RC02 - 33 to 41 Panels"
"bd5a2d6d-dbea-4a46-b431-5a6643da2e60","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 08 - RC02 - 42 to 50 Panels "
"b495e348-4ae6-4df7-bac1-17dad8336335","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 09 - RC02 - 51 to 62 Panels"
"6687d55f-7bf2-44e3-8dfd-ecafc18a1493","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 10 - RC2 - 63 to 71 Panels"
"1281787c-7d0c-4026-a6ab-d8c5b2be83fa","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 11 - RC2 - 72 to 80 Panels"
"bfa44c2d-6836-4786-a827-499d95e909b5","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 12 - RC2 - 81 to 89 / RC7-01 Panels"
"77e775df-792c-40c6-a61a-9e9447f5fb05","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 13 - RC2 - 90 to 93 / RC7-02 Panels"
"cd65f8ca-19dc-4be0-842f-fb27d84db2f0","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 14 - RC5 - 01 / RC10 - 01 to 06 / RC7 - 03 to 04 "
"3cfa315d-9f4d-4447-a508-c373105159ac","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 15 - RC6-1 / RC8-1,2 / RC9-1 / RC11-1 / RC12-1 / RC13-1,2 / RC14-1/ RC15-1 / RC16-1."
"7fde1ef4-a54a-4884-9d39-6dcde4f5ae9a","","pass","Planks Checklist","checklist","FALSE","FALSE","NW9","Cast 16- RC6-2 / RC8-3,4 / RC9-2 / RC11-2 / RC4-1 / RC13-3 / RC14-2 / RC15-2 / RC16-2."
