type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Job Details,,,,,,Job Details,,,,,,,,
checkpoint,Project details entered below,,,,,,,,,,,,,,
textbox,Job File Number,,,,,,,,,,,,,,
textbox,Project Name,,,,,,,,,,,,,,
textbox,Site Address,,,,,,,,,,,,,,
textbox,Main Contractor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist,Manufacturing Checklist,,,,,,Manufacturing Checklist,,,,,,,,
section,Manufacturing Documents,,,,,,,,,,,,,,
checkpoint,IFC Manufacturing Drawings,,,,,,,,,,,,,,
checkpoint,PEDS,,,,,,,,,,,,,,
checkpoint,Secondary lifting,,,,,,,,,,,,,,
section,Pre-Pour Checks,,,,,,,,,,,,,,
checkpoint,Mould clean with release oil applied correctly,,,,,,,,,,,,,,
checkpoint,Primary & diagonal dimensions checked,,,,,,,,,,,,,,
checkpoint,Openings Checked and Correct,,,,,,,,,,,,,,
checkpoint,Rebates & Architectural Grooves Installed Correctly,,,,,,,,,,,,,,
checkpoint,Formwork chamfers installed correctly where required,,,,,,,,,,,,,,
checkpoint,"Reinforcing placed correctly, checked and approved",,,,,,,,,,,,,,
tickbox,Correct Size and Type,,,,,,,,,,,,,,
tickbox,Laps and Splices correct,,,,,,,,,,,,,,
tickbox,Cover Checked,,,,,,,,,,,,,,
tickbox,Spacing Checked,,,,,,,,,,,,,,
checkpoint,"Cast in items checked, correct (size and location)",,,,,,,,,,,,,,
checkpoint,"Starter Bars inserted, checked and correct",,,,,,,,,,,,,,
checkpoint,"Lifting anchors installed, checked and correct",,,,,,,,,,,,,,
checkpoint,Check Minimum Cover,,,,,,,,,,,,,,
checkpoint,ID Tag installed in non-visible face,,,,,,,,,,,,,,
checkpoint,Upload photos of element ready to pour,,,,,,,,,,,,,,
checkpoint,Pre-Pour checks completed and approval given to pour Element,,,,,,,,,,,,,,
checkpoint,Upload photo of signed pre-pour check of shop drawing,,,,,,,,,,,,,,
section,Concrete Pour Checks,,,,,,,,,,,,,,
