"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"577d2c68-0123-49bf-b27c-f834ef07af8a","","not-started","Site Establishment and Safety Checklist","checklist","FALSE","FALSE","OHS"
"72d6d84c-f936-4829-8c60-51935eb64f61","","not-started","","folder","TRUE","FALSE","Site QA"
"a00fe903-1916-4519-bd55-a3bc942abb47","","not-started","","folder","TRUE","FALSE","Site QA","GF Stage 1"
"463c451f-66b7-4f1e-8597-b625e76905f1","","not-started","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","All Subbie Rough-in Progression"
"1023b2cd-7b88-4ed8-afc7-1c9c4619dca7","","not-started","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","All Subbie Fit off & Testing Progression"
"4cb1ea9c-13af-499a-a66c-4793f92a2fd9","","not-started","As Builts Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","As Builts"
"2933f782-14ac-4ae7-80f3-6f41c054c982","","not-started","Ductwork Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Ductwork"
"8f4d6e1f-4e9a-4580-8123-3db3a0657725","","not-started","Pipework Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Pipework"
"90b831ce-bc80-4fe0-b4dd-966b135ea753","","not-started","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Refrigeration Pipe"
"cf371b24-cc59-45a7-bb33-32b8e76c28de","","not-started","Indoor Equipment Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Indoor Equipment"
"e703b23e-e8c9-437b-b54a-2f2bdf6c7fd4","","not-started","Outdoor Equipment Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Outdoor Equipment"
"cedf96ce-7a87-4986-b53a-e228d699383e","","not-started","Grille Fit-Off Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 1","Grille Fit-Off"
"f316e06f-a6e9-477d-ada7-389bb3b7c960","","not-started","","folder","TRUE","FALSE","Site QA","GF Stage 2"
"de8bfe41-e295-43a1-8b59-53e5ecc39a6f","","not-started","All Subbie Rough-in Progression Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","All Subbie Rough-in Progression"
"5aa304c2-7132-4cb6-be90-ee20e3b09a2e","","not-started","All Subbie Fit off & Testing Progression Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","All Subbie Fit off & Testing Progression"
"e0da5ac7-faf5-4d08-9475-815ff398dba3","","not-started","As Builts Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","As Builts"
"f73c5465-a648-4a35-a78e-41c81485fc15","","not-started","Ductwork Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","Ductwork"
"33989815-fe69-4b66-934c-346510317487","","not-started","Pipework Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","Pipework"
"efc454eb-80e3-4f95-b8e8-71b80abadb32","","not-started","Refrigeration Pipe Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","Refrigeration Pipe"
"0ac44153-5997-4b3f-a96a-a5a0e61ec704","","not-started","Indoor Equipment Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","Indoor Equipment"
"6bea7edf-4bef-4aa3-90ba-d677b37d122d","","not-started","Grille Fit-Off Checklist","checklist","FALSE","FALSE","Site QA","GF Stage 2","Grille Fit-Off"
