Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,
checklist-sectioned,,,checklist,Corridor Template,,,,17,Yes,Corridor Template,49e3bbcd2b92f43c2d72f31cbec043a441faedbefae99a67fd7c39b92518c1e7,,,,,,
checkpoint-group,,,section,High Level Services,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,cb99b1be-acc6-5dfd-81a1-2d67ec8c7ddc,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Material type as per approved sample submission with AGA or watermarks,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Welding , press fittings, witness marks visually checked",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fixings & seismic support to standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework installations to code requirements,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Water meters installed to authority standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Gas 25mm separation achieved from other services as per AS 5601.1,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Penetrations, fire protection, wall sealant installed to the BCA requirements",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Identifications of services, valves & meters to standards",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pressure test to code requirements,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,9199fe7b-71b2-5f07-8e25-387163764a22,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,76bbce7c-5bf3-51d3-925f-78724a646f60,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Drainage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual) and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Stormwater riser,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Syfon drainage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
boolean,4c3c4be5-d7ec-5d65-a679-489be32d2fb3,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Sewer AG,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,30735e82-8533-5bac-a2ec-f7cfd2ae63d5,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Grades, fittings & joints installed to standards",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fixings & seismic support to standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Expansion joints per floor installed correctly & clipped,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipe risers sealed per floor & capped off to prevent damage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct invert level (As per Standards),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Vents and AAV installed (As per Standards),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Acoustic lagging installed to acoustic specification,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework water tested to 15Kpa,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Identifications of services,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,a915df0a-ea40-5466-b505-8901c92623c0,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,53b71f03-d600-58bf-bb1b-ce89cc38c824,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,In Ground Tank,,,,1,Yes,In Ground Tank,d05d1e12908983cfc6983c0e072f7c879cf98f3c1f771294d0eb9c388bd8d538,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Latest specifications and standards nominated in ITP,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per latest available drawing (include revision below),,,,,,,,,,,,,
text,87cbc86b-5a2e-5cf4-9085-469a113bfdd9,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct approved materials as per sample register,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Manufacturer's Quality,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Tank Excavation,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Tank Installation & correct invert levels (as per AS 3500.1 Section 8),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Builder sign off prior concealment,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Backfilling (as per AS 3500.3 Section 6.2.11),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Compaction of Material (As per Specification / Geotechnical report),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Clean and Flush,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Inspection Prior to Closure,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,8712cf5b-89b7-5a8f-b885-1728beb51b74,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,dbeae28b-1d7b-5fd4-bfd4-bf499920e669,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,Commissioning Pump / Macerator Station,,,,2,Yes,Commissioning Pump / Macerator Station,be09f09b214dfcf806acf5f9263a6cd799480348782db581f6a7b43deba6a4bd,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Condition as when it was installed (report any changes),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Control panel installed,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Electrical wiring connected between pumps, controller & level sensing system installed correctly",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Connected to BMS,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Connected to power supply,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,BMS faults in working order (specify faults),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,High level alarm in working order,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Supplier commissioning sheet,,,,,,,,,,,,,
boolean,80fe671d-0832-5009-bb04-b99e13b5cf53,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,Fix 1 Checklist,,,,67,Yes,Fix 1 Checklist,c029289703991df2832c930d736490b021735e62940c9ec9aaf9ab6e7ca98544,,,,,,
checkpoint-group,,,section,Sewer AG,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,72276118-d3d9-5547-be32-01e122894e62,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
