type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,ITP-020 - Exothermic Welding,itp,,,,,ITP-020 - Exothermic Welding,,,,
section,Preliminary Works,,,,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and contractors are using the most current and complete set of drawings,,,,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,
label,HP*,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,,,,,
label,○ Ensure that all employees and contractors involved in the welding process have been inducted onto the relevant Hotworks permit,,,,,,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,
label,IP,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
checkpoint,1.5 Materials Check,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure the materials and equipment gathered are for the correct type of connection being made. Inspect the mould ID tag to ensure that it corresponds to the application, indicated by the following parameters:",,,,,,,,,,
label,1. Mould part number: ,,,,,,,,,,
label,2. Conductor size: ,,,,,,,,,,
label,3. Welding material required,,,,,,,,,,
label,"○ Check to ensure the graphite mould is not worn or broken, which could cause leakage of molten weld metal during the reaction.",,,,,,,,,,
label,○ Ensure a working fire extinguisher is available within 10 metres of the working area.,,,,,,,,,,
label,"REFERENCE DOCUMENTS: Eritech CADWELD Exothermic Welding Manual Fig. 2, 3, 4",,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,
label,HP*,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
section,Construction Works,,,,,,,,,,
checkpoint,2.1 Preparation,,,,,,,,,,
label,FREQUENCY: Each Weld,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure the position of the conductors being welded is correct. Heat mould to ensure it is dry. Strip & clean conductors, ensure they are dry & clean.",,,,,,,,,,
label,REFERENCE DOCUMENTS: Design Drawings and Register,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,
label,IP,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
checkpoint,2.2 Welding,,,,,,,,,,
label,FREQUENCY: Each Weld,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Each WeldEnsure conductors are correctly positioned in the mould, allowing the mould to close tightly.",,,,,,,,,,
label,○ Ensure welding material has been insected and is intact.,,,,,,,,,,
label,○ Ensure reaction is completed and molten material has solidified (allow 30 seconds post ignition),,,,,,,,,,
label,"REFERENCE DOCUMENTS: Eritech CADWELD Exothermic Welding Manual Fig. 2, 3, 4",,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off ,,,,,,,,,,
label,IP,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
section,Testing,,,,,,,,,,
checkpoint,3.1 Weld Review,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure weld is inspected and that a quality connection has been made.All welds shall be inspected a Fulton Hogan engineer.,,,,,,,,,,
label,"REFERENCE DOCUMENTS: Eritech CADWELD Exothermic Welding Manual Fig. 2, 3, 4",,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,
label,TP,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,
text,Date Completed:,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,
label,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,,,,,,,
text,Print Name:,,,,,,,,,,
text,Position:,,,,,,,,,,
text,Date:,,,,,,,,,,
