"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d4cd0c-6ca6-4820-873a-9696a88fa175","","folder-normal","work-in-progress","","step","FALSE","FALSE","Project QA"
"fcbe85ba-d898-4d27-b258-8f1403c64eaa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding"
"1f5e1ac6-71f8-4e06-8cb8-41a0d35002c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof"
"44c7b785-d428-4726-ab04-a558e38df940","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection"
"6da0e3e8-4b7d-594c-8cc1-22db8d6a2b75","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection","Installation Completed"
"4d44c8d8-55db-5839-94fa-9a9fcae1bf81","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection","SubCon QA /Consultant Inspection."
"a1cae7a3-9c18-5885-b03e-928e47789b03","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection","Commissioning"
"36db9381-3a68-4e62-bada-da63055d790c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection","SBC QA"
"edd88f87-72e6-4bf8-8335-b3cdef3d326c","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Haki stair access"
"9918104d-6cc5-5595-ba00-62bb0b4d7507","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Haki stair access","Installation Completed"
"a4d57be2-b700-56d0-bfa6-a3da392b7a48","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Haki stair access","SubCon QA /Consultant Inspection."
"91b6fa3b-9721-5b51-85c9-6bfb6597a4e6","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Haki stair access","Commissioning"
"35da3476-f897-44be-8d4b-82979495f55f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Haki stair access","SBC QA"
"ec87aa0d-b478-442e-895b-563ae36a6091","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install traydeck/Comfloor and perimeter upstands"
"cce0dc76-defe-56e1-844f-607cf76aa6cc","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install traydeck/Comfloor and perimeter upstands","Installation Completed"
"c37af2aa-b736-535b-ab10-c0366cabbf24","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install traydeck/Comfloor and perimeter upstands","SubCon QA /Consultant Inspection."
"87b2be68-e80b-5054-b159-fa01efb7c547","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install traydeck/Comfloor and perimeter upstands","Commissioning"
"36ddc799-3aca-440c-a965-57e8f1035128","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install traydeck/Comfloor and perimeter upstands","SBC QA"
"53689227-e7ad-42e3-b799-3ca2b31ac4b5","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Form all penetrations and cast in items"
"7b903675-890c-5584-866f-b8efd2f58132","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Form all penetrations and cast in items","Installation Completed"
"71bec77f-ffd4-5901-861e-e6d0a27193e1","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Form all penetrations and cast in items","SubCon QA /Consultant Inspection."
"4d3fa708-6fbb-5d24-a60c-d9b87f191694","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Form all penetrations and cast in items","Commissioning"
"7e4597b1-77fd-4eae-bc20-1c961b513cb1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Form all penetrations and cast in items","SBC QA"
"3624db34-d736-421c-a46c-a3aea073103c","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Re inforcement"
"2d3c401a-7f90-5d36-bc18-b843a57b3d87","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Re inforcement","Installation Completed"
"105e2174-1897-5c8f-b97c-401287c6bfb2","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Re inforcement","SubCon QA /Consultant Inspection."
"3ee0fb7f-821b-57e8-b964-c9d5fdf42bb0","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Re inforcement","Commissioning"
"d4b98106-350a-49d6-9dc3-1d1dfd151ea3","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install Re inforcement","SBC QA"
"6f09dd7f-e222-4cd7-98aa-224c3117322c","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ensure all structural penetrations are sealed"
"f9671a20-324d-54db-b54c-56830ca05062","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ensure all structural penetrations are sealed","Installation Completed"
"f7c405c2-752b-5592-a9d1-0a2f1e2789b4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ensure all structural penetrations are sealed","SubCon QA /Consultant Inspection."
"6c3f9071-608c-5404-91fd-8a192b8e8f68","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ensure all structural penetrations are sealed","Commissioning"
"7611c91d-9f3d-42ab-be39-2b366f2a14d1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ensure all structural penetrations are sealed","SBC QA"
"ec530c8d-dd37-437c-8cdf-6c00f2f3d0b7","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Council/ Constulant Inspections"
"07ecf876-5923-5c65-9243-d872c0404853","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Council/ Constulant Inspections","Installation Completed"
"f3fa2315-c036-5990-8462-dfa5275b762c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Council/ Constulant Inspections","SubCon QA /Consultant Inspection."
"13ece900-121a-5e5d-9077-34e34ae79003","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Council/ Constulant Inspections","Commissioning"
"eb91b0fb-cec0-44b2-a758-64bef698701f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Council/ Constulant Inspections","SBC QA"
"7d908f62-401c-4d48-b60a-6f4a2b204522","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Pour Concrete"
"1436040f-057a-5527-8c5c-48f22b20a79f","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Pour Concrete","Installation Completed"
"7b454cd9-6a5a-5d87-918c-e206259e3b4c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Pour Concrete","SubCon QA /Consultant Inspection."
"7b1c6894-23d8-5dc8-86b1-5287c42eeeaf","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Pour Concrete","Commissioning"
"0902a7b5-1752-4b31-91d5-4370d587ce18","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Pour Concrete","SBC QA"
"314b570e-038b-4a42-bf42-1dcaa20b0c54","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Apply Aquron 2000"
"8350a167-986b-542a-88ca-b7fe7797ccc7","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Apply Aquron 2000","Installation Completed"
