type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,SYM-0388-ITP-008 Stormwater Drainage [B],itp,,,,Yes,SYM-0388-ITP-008 Stormwater Drainage [B],047a7c4f-4309-4343-b59a-7ef21cc4d3ac,,,,,,,,,,,
section,1.0 Preliminaries,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Set out,,,,,,,,,,,,,,,,,,
label,Ref docs - Construction Drawings TfNSW R11,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Is the position of the culverts in accordance with the drawings?,,,,,,,,,,,,,,,,,,
label,• Confirm location with the superintendent.,,,,,,,,,,,,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,,,,,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,,,,,,,,,
button,Lot map uploaded,"Yes,No,N/A",,,,,,,,,,,,,,,,,
checkpoint,1.2 - Submission of Conformance Documentation,,,,,,,,,,,,,,,,,,
label,Ref docs - Construction Drawings TfNSW R11,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Full set of certified product drawings submitted prior to installation,,,,,,,,,,,,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,,,,,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,,,,,,,,,
label,Shoalhaven City Council: Key - H,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Drainage structure confirmation,,,,,,,,,,,,,,,,,,
label,Ref docs - Construction Drawings,,,,,,,,,,,,,,,,,,
label,Acceptance criteria - Has the correct class & type of drainage structure been supplied and free of defects?,,,,,,,,,,,,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,,,,,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,,,,,,,,,
label,Shoalhaven City Council: Key - H,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,
section,2.0 Excavation and bedding,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Excavation,,,,,,,,,,,,,,,,,,
label,Ref docs - TfNSW R11,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - The minimum width of vertically sided trenches shall be the outside diameter plus 30mm or 600mm total, whichever is greater?",,,,,,,,,,,,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,,,,,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Minimum Grade Requirements,,,,,,,,,,,,,,,,,,
label,Ref docs - TfNSW R11,,,,,,,,,,,,,,,,,,
label,"Acceptance criteria - Where 0.5% gradient not achievable with sections of open drain, notification to be issued to client",,,,,,,,,,,,,,,,,,
button,Acceptance,"Yes, No, N/A",,,,,,,,,,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,,,,,,,,,
