Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,SD Install Sewer/Stormwater Drainage,,SD Install Sewer/Stormwater Drainage,
,section,Details:,,,
,checkpoint,Install Sewer/Stormwater Drainage checked off as below:,,,
,button,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4,"YES,NO,N/A",,
,button,Installation complies with current drawings & specifications,"YES,NO,N/A",,
,button,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions","YES,NO,N/A",,
,button,"Check all, pipework, fittings, connections, etc for damage or leaks","YES,NO,N/A",,
,button,Check materials & joining methods,"YES,NO,N/A",,
,button,"Check alignments, levels, grades, etc","YES,NO,N/A",,
,button,"Check trench depth, bedding, service clearances, minimum cover, etc","YES,NO,N/A",,
,button,"Check BT shafts, inspection shafts, etc","YES,NO,N/A",,
,button,"Check inspection openings, etc","YES,NO,N/A",,
,button,Check pipework & traps are clear of debris,"YES,NO,N/A",,
,button,Check open ends are sealed,"YES,NO,N/A",,
,button,Check pipe trench marking tape,"YES,NO,N/A",,
,button,Check trench backfill & compaction,"YES,NO,N/A",,
,button,Check pre-slab CCTV recording,"YES,NO,N/A",,
,,,,,
,checklist,TST Test Sewer/Stormwater Drainage,,TST Test Sewer/Stormwater Drainage,
,section,Details:,,,
,checkpoint,Test Sewer/Stormwater Drainage checked off as below:,,,
,dropdown,Service Type:,"Sewer Drainage,Stormwater Drainage",,
,dropdown,Test Type:,"Pressurized Air Test,Static Head Water Test",,
,dropdown,Air Test Pressure:,"10kPa,15kPa,20kPa,25kPa,30kPa,35kPa,40kPa",,
,textbox,Location/Lot Number:,,,
,button,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4,"YES,NO,N/A",,
,button,Installation complies with current drawings & specifications,"YES,NO,N/A",,
,button,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions","YES,NO,N/A",,
,button,Testing kit & equipment have current certification,"YES,NO,N/A",,
,button,Apply test as per latest revision of AS/NZS-3500 Part 2 (Note: Start & Finish testing photos to be taken only within this Checkpoint),"YES,NO,N/A",,
