Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,COM Commission Rain Water Storage Tank & Pump,,COM Commission Rain Water Storage Tank & Pump,
,section,Details:,,,
,checkpoint,Commission Rain Water Storage Tank & Pump checked off as below:,,,
,textbox,Tank Capacity:,,,
,textbox,Location/Lot Number:,,,
,button,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4,"YES,NO,N/A",,
,button,Installation complies with current drawings & specifications,"YES,NO,N/A",,
,button,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions","YES,NO,N/A",,
,button,"Check all, pipework, fittings, connections, etc for damage or leaks","YES,NO,N/A",,
,button,Check all fixing/hold down points,"YES,NO,N/A",,
,button,Check isolation valves are fully open & non-return valves flow direction,"YES,NO,N/A",,
,button,Check pressure pump & filters for correct operation,"YES,NO,N/A",,
,button,Check downpipe connections & tank venting,"YES,NO,N/A",,
,button,Check mains water back-up supply,"YES,NO,N/A",,
,button,Check tank over-flows to drain,"YES,NO,N/A",,
,,,,,
,checklist,WG Install Water/Gas Lead-ins,,WG Install Water/Gas Lead-ins,
,section,Details:,,,
,checkpoint,Install Water/Gas Lead-ins checked off as below:,,,
,button,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4,"YES,NO,N/A",,
,button,Installation complies with current drawings & specifications,"YES,NO,N/A",,
,button,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions","YES,NO,N/A",,
,button,"Check all, pipework, fittings, connections, etc for damage or leaks","YES,NO,N/A",,
,button,Check materials & joining methods,"YES,NO,N/A",,
,button,Check alignments & levels,"YES,NO,N/A",,
,button,"Check trench depth, bedding, service clearances, minimum cover, etc","YES,NO,N/A",,
,button,"Check connection points to meters, etc","YES,NO,N/A",,
,button,"Check isolating valves, etc","YES,NO,N/A",,
,button,Check pipework is clear of debris,"YES,NO,N/A",,
,button,Check open ends are sealed,"YES,NO,N/A",,
,button,Check pipe colour coding,"YES,NO,N/A",,
,button,Check pipe trench marking tape,"YES,NO,N/A",,
,button,Check trench backfill & compaction,"YES,NO,N/A",,
,,,,,
,checklist,"SD Install Sewer Stacks, Wastes & Vents",,"SD Install Sewer Stacks, Wastes & Vents",
,section,Details:,,,
,checkpoint,"Install Sewer Stacks, Wastes & Vents checked off as below:",,,
