"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7ca4e09d-df4f-4dfd-8cb6-0270bcf54cf4","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"d99a27a3-60c0-4b76-a6f3-54ba6f49e816","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"0601fdb7-6626-45d1-826d-4a466b605c1c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"03e2201a-c4c0-4a91-bd1f-56d863b3ba05","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE"," Precast Manufacture","weld plate details"
"4f3fc38f-52cc-4285-8150-acf3006b85cb","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details"
"bef143a1-453e-453d-9180-58b179c56a4a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Edge Detail"
"6e32c57e-9d05-4e06-8579-55f642f3727e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Bar Projections"
"8d62cf6a-4958-4da6-ba70-772f3071b551","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Cast in items"
"362f10ea-d07b-4f28-994a-f70951cbe867","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Panels 1 - 30"
"2415f1e5-3963-469d-ace9-b9a35be2fb90","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -1"
"87f34ac2-2102-4714-beaa-78cbe1aba354","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check"
"7522f66a-9577-4864-9de6-3682118f3330","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Dimensions"
"f88bc506-a042-4406-ab1f-35ab993df925","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Clean"
"21d4fd26-1909-4771-9d94-f56a3d7e1738","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould Oiled"
"e9cc6a51-956d-46d5-8ae7-bd32fa94ca65","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Mould - Workmanship"
"63a87cf8-862b-4c49-8c2c-58cdd4318739","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Reinforcing"
"109f0384-c2e7-4a73-935c-f22860b71f9a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Cast In Items"
"6aedc522-1618-40bb-89b1-5b8957452495","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Marker Position and No."
"71be507b-2add-4674-92c6-fb6fad66199b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check","Make mould to Green Status"
"01bc15ff-8ff8-4b9d-8205-a9c5850470e8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works"
"e592080c-806f-4833-bb3c-91d5294e1e24","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Concrete Works Details"
"f6e8b0ad-5593-428c-a8d3-30419a78ed41","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Wilco Sample Taken"
"611d8f82-95a8-4549-835b-48059bee5f6e","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Bridgeman Sample Taken"
"5cccd4f7-47fe-48b3-bdc4-c457bdba93c6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Concrete Works","Supervisor Approval"
"89ebdd0a-9ab1-420c-a1d8-6c29d31c2454","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check"
"8533b583-1dec-4d32-8c5b-0e8d1e87ebc2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Edge Detail"
"2a15461b-f664-4fc7-9791-5f07c9316eea","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Bar Projections"
"570c731d-052c-4443-8fd7-618b462b4e2f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Post Pour Check","Cast in items"
"9100597f-078f-4972-b36b-f572c080261c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Stripping and Stacking"
"940e2cb0-1f6f-4260-a8fc-f9c9b7887c9d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Stripping and Stacking","Stripping & Stacking"
"e0193270-b025-4c5b-9f63-082f8e58a99d","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -2"
"b253eadc-2196-454a-a184-439d273cdb35","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check"
"09d76c3e-06a8-48f2-8bdd-c3da0f5f4306","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Dimensions"
"bba4fe76-012d-4f19-bbf5-3ea3e677e65d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Clean"
"08f336e3-1688-46ce-8687-9961c18aa939","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould Oiled"
"643efc7f-7975-46fb-83aa-8d9da1a507bd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Mould - Workmanship"
"63fd4973-3592-40ff-b81f-4d7a3d7e0164","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Reinforcing"
"dc6efb58-3331-43fd-b904-6d8bd2182108","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Cast In Items"
"fc05669e-e8b0-4055-83ba-15a48f53a309","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Marker Position and No."
"bce13d03-572c-4dcb-ab48-dd2aa601a307","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Pre-Pour Check","Make mould to Green Status"
"4029f804-52c0-46d8-96b0-616481cfea8e","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works"
