"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"097924ab-7427-4ede-bb0a-cadbf3792bad","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"d7acb377-81fb-5c97-9d90-92b367c0653a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"2030642e-f690-55ff-b11c-03a2b244f6a0","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"10479a25-f4ee-574e-8c06-664550697abc","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"b84b64ef-7491-535f-bc6c-34dedae70830","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"ac1a97be-a908-5721-ab80-ca30109d4d1a","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"7e4143ad-0b6d-49e7-b718-4a2ff60efa73","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"d7d3a922-827d-41e2-9f80-eaac266d972a","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil System "
"30c552b7-ae59-440d-9063-5088cdb8c58d","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01"
"b3637669-f7b2-4fcd-9958-53761c060e7d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Pre-Fit Off Checklist"
"7147608f-e6eb-5a99-b196-1930c47c10ae","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"d02c5998-46d3-5183-895e-33abf76fb085","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Pre-Fit Off Checklist","EMAIL PM"
"ab626cd0-2dc6-58df-9770-38d471289cca","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"066257fe-f238-5ae4-965b-c997e6bfc5b7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Pre-Fit Off Checklist","Photos taken"
"90cc740b-e07d-43f0-a1fd-569164f66ee1","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01"
"3c388d88-529f-512f-924b-279096daebf1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01","Confirm the structure is in accordance with the details supplied by PBI"
"1f61da14-e2ec-5c6d-8f28-fb82fad2fff1","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01","EMAIL PM"
"9893f010-79b7-5e73-8b01-5634f513634d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01","Photo taken of Engraved Line Plate / ID Tag"
"da0019d1-0392-540a-8596-afb724dd7dc7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01","Video taken of system"
"2c5f7fa0-b3c9-5ba4-8aca-05ef6d5e7f8d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Rail Fall Arrest & Abseil System ","1No Roofsafe Rail Fall Arrest & Abseil System @ 9m - RSRail 01","Rail Checklist - RSRail 01","Description input of location / person Rail systems shuttle left with"
