"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"RW14 - 23",,"rw14 - 23"
,,"RW14 - 24 10/2",,"rw14 - 24 10/2"
,,"RW14 - 25 10/2",,"rw14 - 25 10/2"
,,"RW14 - 26 10/2",,"rw14 - 26 10/2"
,,"RW14 - 27 13/2",,"rw14 - 27 13/2"
,,"RW14 - 28 13/2",,"rw14 - 28 13/2"
,,"RW14 - 29",,"rw14 - 29"
,,"RW14 - 30",,"rw14 - 30"
,,"RW14 - 31",,"rw14 - 31"
,,"RW14 - 32",,"rw14 - 32"
,,"RW14 - 33",,"rw14 - 33"
,,"RW14 - 34",,"rw14 - 34"
,,"RW14 - 35",,"rw14 - 35"
,,"RW14 - 36",,"rw14 - 36"
,,"RW14 - 37",,"rw14 - 37"
,,"RW14 - 38",,"rw14 - 38"
,,"RW14 - 39",,"rw14 - 39"
,,"RW14 - 40",,"rw14 - 40"
,,"RW14 - 41",,"rw14 - 41"
,,"RW14 - 42",,"rw14 - 42"
,,"RW14 - 43",,"rw14 - 43"
,,"RW14 - 44",,"rw14 - 44"
,,"RW14 - 45",,"rw14 - 45"
,,"RW14 - 46",,"rw14 - 46"
,,"RW14 - 47",,"rw14 - 47"
,,"RW14 - 48",,"rw14 - 48"
,,"RW14 - 49",,"rw14 - 49"
,"Columns"
,,"Information Complete",,"information complete"
,,"Concrete Volume","Concrete Volume","information complete"
,,"Concrete Strength","Concrete Strength","information complete"
,,"Prepour",,"prepour"
,,"Length/Width/Thickness/Cutouts",,"length/width/thickness/cutouts"
,,"Square",,"square"
,,"Edge Details & Rebates",,"edge details & rebates"
,,"Cast in items (Inserts, Weldplates)",,"cast in items (inserts, weldplates)"
,,"Main Reinforcing",,"main reinforcing"
,,"Starters",,"starters"
,,"Stirrups",,"stirrups"
,,"Lifters",,"lifters"
,,"Mould Cleaned & Oiled",,"mould cleaned & oiled"
,,"Tie wire Trimmed",,"tie wire trimmed"
,,"Rugasol",,"rugasol"
,,"Drawings & General Photos",,"drawings & general photos"
,,"Concrete",,"concrete"
,,"Concrete results obtained",,"concrete results obtained"
,,"Concrete Docket Attached (photo)",,"concrete docket attached (photo)"
,,"Concrete Docket Number","Concrete Docket Number","concrete docket attached (photo)"
,,"Post Pour",,"post pour"
,,"Post pour Complete",,"post pour complete"
,,"Release Date","Release Date","post pour complete"
,,"Release Strength","Release Strength","post pour complete"
,,"Remedial Required",,"remedial required"
,,"Mould Face Finish",,"mould face finish"
,,"Near Face Finish",,"near face finish"
,,"Cast -In/Inserts/Penetrations",,"cast -in/inserts/penetrations"
,,"Starter lengths/Positions",,"starter lengths/positions"
,,"Approved",,"approved"
,,"Mill certificate attached",,"mill certificate attached"

