Id,Type,Name,Values,Prompting Name,Postfix,Resource Id,,,,,,,
,checklist,"INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev D",itp,"INF-HSEQ CC0398-ITP-031 Blinding, Pile Caps and Slab Footings Rev D",,fb9861af-a689-4541-93a0-241e1cc8be4a,,,,,,,
,section,1.0 General,,,,,,,,,,,
,checkpoint,1.1 - Material Submission / Approval,,,,,,,,,,,
38dc39c1-97aa-5987-bc61-8cc1a17d59b7,note,Ref docs - AS 3600 235929-000- CV-SP-00007,,,,,,,,,,,
66bc53e2-f270-563e-a4b5-d9d15ed3de85,note,"Acceptance criteria - Has the mix design to be approved prior to placement. Material properties meet project specification, AS 3600, AS 1379?",,,,,,,,,,,
2051261c-d26c-51f1-a53b-15cc5181a8cd,note,○ Do Structural Elements meet: Minimum Concrete strength 40 MPa or as specified in Drawings?,,,,,,,,,,,
5f725601-87d4-5f25-98f8-ff0c4a102d4e,note,○ Do Non-Structural Elements meet: Minimum Concrete strength 15 MPa or as specified in Drawings?,,,,,,,,,,,
0b478f3b-221b-593b-bd2a-27904927049d,note,○ Has Steel Reinforcement schedule provided to MDR for review and approved?,,,,,,,,,,,
fd49ac14-fc4c-577d-b810-d73735edd6c8,note,○ Do admixtures shall conform with AS 1478.1 and are permitted if used in accordance with manufacturers instructions?,,,,,,,,,,,
bfd4a202-eac0-583a-8d60-53ff6f4a61f1,note,○ Mixtures containing calcium chloride shall not be used.,,,,,,,,,,,
1e83a2a2-1a47-58b0-9171-77d1d5b38a78,button,Acceptance,"Yes,No,N/A",,,,,,,,,,
de1c3c54-5e6f-59fd-9d9f-cc7d4a4f11f6,note,Key - H,,,,,,,,,,,
dc65c313-7a5a-5d5d-a677-e787b15d0c60,note,MDR/VIVA Key - H,,,,,,,,,,,
556114eb-a1b4-5385-b989-cb03ac46bf52,note,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Mix Design Number, Bar Bending Schedules, Material compliance certificates",,,,,,,,,,,
,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,
,checkpoint,1.2 - Determine lot size,,,,,,,,,,,
