Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Foreman Job Checklist (Slabs),,,,,Yes,Foreman Job Checklist (Slabs),24fd8de3-3954-438b-b752-43687bc52453
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,Job file made?,,,,,,,
checkpoint-status,,,checkpoint,Profile/Establish?,,,,,,,
text,17b63276-faa8-5d9d-a0b0-df3bdfed98ba,,textbox,Profile timber head to site or need to be loaded?,,,,,,,
button,9d00a571-acb0-59ac-aaca-007a4174fc7a,,button,,"To site, To be loaded",,,,,,
text,99aba052-af32-5860-ae08-b2d02bd9ebe2,,textbox,Waratahs need/loaded?,,,,,,,
text,ccdc14d3-1fae-5538-88cc-83815d349e32,,textbox,Surveyor time on site?,,,,,,,
boolean,292ac4c3-8e8e-5e53-abf0-3cd692ce9e19,,tickbox,Survey markout plan laminated?,,,,,,,
checkpoint-group,,,section,Forklift,,,,,,,
checkpoint-status,,,checkpoint,3-phase plus onsite?,,,,,,,
checkpoint-status,,,checkpoint,Formwork lay down areas identified?,,,,,,,
checkpoint-group,,,section,Formwork,,,,,,,
checkpoint-no-status,,,checkpoint,Doka delivery date?,,,,,,,
date,2b671bc4-aa55-5a63-96e5-2d18e23af795,,date,,,,,,,,
boolean,61f54e39-b753-57c4-8eab-fb3d0d070fcb,,tickbox,Doka engineer plan laminated?,,,,,,,
checkpoint-status,,,checkpoint,Doka heights laminated?,,,,,,,
checkpoint-status,,,checkpoint,Conduit and plugs ordered?,,,,,,,
checkpoint-status,,,checkpoint,Wall chairs ordered,,,,,,,
checkpoint-status,,,checkpoint,Form release ordered?,,,,,,,
checkpoint-status,,,checkpoint,Steel delivery dates?,,,,,,,
checkpoint-status,,,checkpoint,Steel delivery tags printed?,,,,,,,
checkpoint-status,,,checkpoint,Concrete blocks ordered (if required)?,,,,,,,
checkpoint-status,,,checkpoint,Chalk lines,,,,,,,
checkpoint-status,,,checkpoint,Lasers/spare batteries,,,,,,,
checkpoint-status,,,checkpoint,Dazzle,,,,,,,
checkpoint-status,,,checkpoint,Access to CONQA for QA forms?,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,PPE Check,,,,,Yes,PPE Check,3da5d1c0-508c-4fda-9cf7-cb10b6320b8a
checkpoint-group,,,section,Details,,,,,,,
checkpoint-no-status,,,checkpoint,Details,,,,,,,
text,bd91ab13-5765-5b58-ae55-39154f707f6d,,textbox,Employee:,,,,,,,
date,110a7435-1219-51a4-9147-d8b1d707bf73,,date,Date:,,,,,,,
text,c07e5dc2-a9cf-5b21-b312-e1919cc75d65,,textbox,Conducted by:,,,,,,,
text,c0f5d9a6-8e1d-5f7d-8b3b-7104ae643043,,textbox,Overall Comment:,,,,,,,
checkpoint-group,,,section,Standard Issue PPE,,,,,,,
checkpoint-status,,,checkpoint,Steel cap boots in good/working condition?,,,,,,,
checkpoint-status,,,checkpoint,Hard hat is in good/working condition?,,,,,,,
checkpoint-status,,,checkpoint,High visibility clothing is in good/working condition?,,,,,,,
checkpoint-status,,,checkpoint,Hearing protection in good/working condition?,,,,,,,
checkpoint-status,,,checkpoint,Glasses are in good/working condition?,,,,,,,
checkpoint-status,,,checkpoint,Gloves are in good/working condition?,,,,,,,
checkpoint-group,,,section,Additional PPE,,,,,,,
checkpoint-status,,,checkpoint,Mask or Respirator,,,,,,,
checkpoint-status,,,checkpoint,Harness check,,,,,,,
date,0842d41d-1c8c-5a34-a693-ee830a8c7812,,date,Date of harness certification:,,,,,,,
holdpoint,,,signoff,Signature:,,,,,,,
,,,,,,,,,,,
checklist-sectioned,,,checklist,Vehicle Inspection,,,,,Yes,Vehicle Inspection,51b4ece8-37dc-4831-8baa-9a3cb1b36804
checkpoint-group,,,section,Vehicle Details,,,,,,,
checkpoint-no-status,,,checkpoint,Vehicle Details,,,,,,,
text,c025dd6a-e07b-5e2a-b756-5e6d10c405d5,,textbox,Licence Plate:,,,,,,,
text,c45b4822-3eb9-57ca-8ea9-e3fb95f84653,,textbox,Conducted by:,,,,,,,
text,926b7917-a9ef-50d5-9a09-0878c00f17d1,,textbox,Overall Comment:,,,,,,,
checkpoint-group,,,section,Vehicle Exterior,,,,,,,
checkpoint-status,,,checkpoint,Tyres in good condition and inflated?,,,,,,,
checkpoint-status,,,checkpoint,Showing signs of leaks under the vehicle?,,,,,,,
checkpoint-status,,,checkpoint,Doors open and close?,,,,,,,
checkpoint-status,,,checkpoint,Bonnet and boot open and close?,,,,,,,
checkpoint-group,,,section,Vehicle Interior,,,,,,,
checkpoint-status,,,checkpoint,Clean interior?,,,,,,,
checkpoint-status,,,checkpoint,Floor free of hazards?,,,,,,,
checkpoint-status,,,checkpoint,Seats able to be adjusted and in good order?,,,,,,,
checkpoint-status,,,checkpoint,Seat belts not frayed or cracked?,,,,,,,
