"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d994cd8-07c7-4a1f-bb5f-2714a92eb28c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"d95693e0-0971-4eae-8ed0-aa268b356db3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A"
"ce72cf76-2540-4e94-b67b-25587dc32aea","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A","Lot 01"
"e7b04c19-31d8-4df8-8f63-ead5ac676094","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A","Lot 01","Inground Plumbing Installation"
"d64f7d7f-570c-4d2d-9c79-85ef6b06a77f","","checklist-sectioned","not-started","Authority Main to Meter Installation","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Inground Plumbing Installation","Authority Main to Meter Installation"
"eb0472e2-1097-40bd-b180-68de3f956916","","checklist-sectioned","not-started","Drainage Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Inground Plumbing Installation","Drainage Installation (In-ground)"
"1ebb86ad-eadc-4b19-883c-b368e39d27c6","","checklist-sectioned","not-started","Gas Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Inground Plumbing Installation","Water Service Installation (In-ground)"
"efc2865b-9681-4ff5-9431-982a8bbc1987","","checklist-sectioned","not-started","Gas Service Installation (In-ground)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"f79e7abd-f2a0-4f65-8dc3-ad8dbfce2ef7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation"
"643af7b6-5fb1-4009-9d6c-f887da16669a","","checklist-sectioned","not-started","Waste & Vent Installation","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Waste & Vent Installation"
"a7ef70ee-3ba5-4ff2-ac40-2917b2008500","","checklist-sectioned","not-started","Water Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"99eed039-a4a5-43f2-aa7b-e94b3aef5a72","","checklist-sectioned","not-started","Gas Service Installation (Rough-ins)","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"5cec3de5-3bee-4742-983d-07e992d5d21d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation"
"c8a8f757-a059-46a5-95e6-e9352539c7ac","","checklist-sectioned","not-started","Toilet & Cistern Installation","checklist","FALSE","FALSE","Site QA","Block A","Lot 01","Fit-off Plumbing Installation","Toilet & Cistern Installation"
