"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f9681b9f-bd98-415a-9f7d-8a8a5021925a","","folder-normal","fail","","step","TRUE","FALSE","DP1"
"a061017e-34c5-41aa-b3d3-66808807f63c","","folder-normal","work-in-progress","","step","TRUE","FALSE","DP1","SP1"
"d753d6f9-c5a2-46b5-b112-43b886d841a0","","checklist-sectioned","work-in-progress","FH-DP1-PM-ITP004E - Asphalt Placement","checklist","FALSE","FALSE","DP1","SP1","Lot0009- Echo Nightworks Patches"
"f837c1fd-bc98-4900-9230-cffa56bed645","","folder-normal","fail","","step","TRUE","FALSE","DP1","SP2"
"315e53c1-51c1-4614-b8b4-29263b8fe415","","folder-normal","no-status-not-started","","step","TRUE","FALSE","DP1","SP2","Charlie"
"9ab45799-3d13-453c-b8d3-d258c11481b8","","folder-normal","fail","","step","TRUE","FALSE","DP1","SP2","Kilo"
"db270831-31ae-4696-9c13-dc39e888cf6f","","folder-normal","work-in-progress","","step","TRUE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage"
"dd7db14a-f72c-408b-9131-3221dd6185f8","","checklist-sectioned","work-in-progress","ITP008 – Subsoil Drainage","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage","Lot 1"
"c0e29c32-ec92-4b6c-89fb-9f4c2192dc00","","checklist-sectioned","work-in-progress","ITP008 – Subsoil Drainage","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage","Lot 2"
"445cc522-7224-47f7-8530-c9d216ea1ddc","","checklist-sectioned","work-in-progress","ITP008 – Subsoil Drainage","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage","Lot 3"
"bb74f8d2-27c3-4f51-922e-b075e6dc9159","","checklist-sectioned","work-in-progress","ITP008 – Subsoil Drainage","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage","Lot 4"
"5b7b2cdc-b82e-4952-bf51-074a46fa78e2","","checklist-sectioned","work-in-progress","ITP008 – Subsoil Drainage","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP008 - Subsoil Drainage","Lot 5"
"433b3e29-a8ec-4317-9c93-ab87bff1616f","","folder-normal","pass","","step","TRUE","FALSE","DP1","SP2","Kilo","ITP022 - Native Grass Protection"
"76cee31c-f2ad-4a3b-a93b-087cf6187c8d","","checklist-sectioned","pass","13a6631fbe14e707a2aad18362b75a02b638141a0ddfdde73aa609d87873064a","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP022 - Native Grass Protection","Lot 1"
"6bef6a77-5d9a-4252-bcc9-785f59808d9a","","folder-normal","work-in-progress","","step","TRUE","FALSE","DP1","SP2","Kilo","ITP001 - Demolition and Service Location"
"a4c986d1-acad-40f1-a21c-9b5439840fe5","","checklist-sectioned","pass","ITP001 – Demolition and Service Location","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP001 - Demolition and Service Location","Lot 0001 - Kilo Day Works"
"aff17792-b39e-4278-b7fe-c3b91638cd27","","checklist-sectioned","work-in-progress","ITP001 – Demolition and Service Location","checklist","FALSE","FALSE","DP1","SP2","Kilo","ITP001 - Demolition and Service Location","Lot 0002 - Kilo Night Works"
