"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Brickwork Progress"
,"Scope",,
,"Rows"
,,"Lower Ground","dynamic","site qa","brick","lower ground"
,,"Upper Ground","dynamic","upper ground","site qa","brick"
,,"Parish - Level 1","dynamic","site qa","brick","level 1","parish"
,,"Parish - Level 2","dynamic","site qa","brick","parish","level 2"
,,"Parish - Level 3","dynamic","site qa","brick","parish","level 3"
,,"School - Level 1","dynamic","site qa","brick","school","level 1"
,,"School - Level 2","dynamic","site qa","brick","school","level 2"
,,"School - Level 3","dynamic","site qa","brick","school","level 3"
,,"School - Level 4","dynamic","level 4","site qa","brick","school"
,"Columns"
,,"Mortar Colour",,"mortar colour"
,,"Mortar Classification",,"mortar classification"
,,"Material inspection on delivery",,"material inspection on delivery"
,,"Verify set – out drawing reference",,"verify set – out drawing reference"
,,"All joints & perps are to be filled",,"all joints & perps are to be filled"
,,"Check cavity flashings for correct installation and cleanliness",,"check cavity flashings for correct installation and cleanliness"
,,"Check for correct spacing of weep holes. Ensure weep holes are installed in first two courses..",,"check for correct spacing of weep holes. ensure weep holes are installed in first two courses as per the inhabit design"
,,"Provide sliding horizontal ties across joints in unreinforced walls",,"provide sliding horizontal ties across joints in unreinforced walls"
,,"Check Masonry ties are galvanised steel (Grade Type 316)",,"check masonry ties are galvanised steel (grade type 316) must be provided at 600mm maximum centre and at 300mm centres along edges of all openings and vertical joints."
,,"Non-load bearing brick walls shall finish 10-20mm short of slab soffit and shall be fastened to the soffit ...",,"non-load bearing brick walls shall finish 10-20mm short of slab soffit and shall be fastened to the soffit using the specified ties"
,,"Check expansion joint frequency is at maximum 6m and expansion joints over construction joints",,"check expansion joint frequency is at maximum 6m and expansion joints over construction joints"
,,"Door jambs and openings check for plump, level, correct position and height",,"door jambs and openings check for plump, level, correct position and height"
,,"Brush down exposed faced walls",,"brush down exposed faced walls"
,,"Check all preps & horizontal joints filled",,"check all preps & horizontal joints filled"
,,"Rubbish removed & placed in bins",,"rubbish removed & placed in bins"
,,"Floors Scraped & brushed clean",,"floors scraped & brushed clean"
,,"Check brick alignment, consistency & positioning",,"check brick alignment, consistency & positioning"
,,"Check mortar finish",,"check mortar finish"
,,"Check clean up",,"check clean up"
,,"Work area has been cleaned up and made safe.",,"work area has been cleaned up and made safe."
,,"ITP has been completed all actions signed off and records referenced have been reviewed ...",,"itp has been completed all actions signed off and records referenced have been reviewed and collected and attached."

