"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe3737ec-9cbd-42e2-93e0-83b8cdbdeffe","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"cff6eccc-b398-4773-9c5b-b02791b3435b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"e81d2cda-eb5d-490c-9097-1d3f355d9403","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1"
"63f992cd-82ad-580a-aed0-e807bc92c56e","","checkpoint-group","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Product Detail"
"2f13ce68-cff2-5138-8755-cd71c508beb2","","checkpoint-status","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420:d90bfa34-8b4c-4a15-bb28-723c46deeef4","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Product Detail","Details"
"77576084-966e-55ef-9c94-b3e5b9b96312","","checkpoint-group","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork"
"5f829e90-10fb-56e2-9eaa-c4c8ae4279a5","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:3f0cdcab-4b3f-476d-b56b-b16ee107e388","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Check Length"
"c6245f70-49f9-5d98-bd58-c762876b98bd","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:52ec7df5-ba4b-4cfb-a76e-660dcfff8f63","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Check Width"
"be6993cb-dd5f-559d-8bc5-f455a44214fe","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:478266b9-d083-4b39-8262-306e351e2909","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Check Thickness"
"ea0d3911-855c-516f-b436-f3fce6186841","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:dcc56b68-3340-44ea-92f1-17fa5704ae43","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Check Diagnonal"
"fb267da4-9297-5cc0-b503-d42c01cb7760","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:5320e261-0158-45f1-80f6-3ac8bfd372dd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Sideform Trueness"
"e01a9263-126d-553c-8b06-10fb01e61a75","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:826c421c-3819-4e01-a290-04d4799f9553","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Magnets / Forms Secure"
"1f01523d-1e38-50c4-a174-d1ccad8e1ada","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"a5347da3-22f6-5e1b-9d79-cb62d1375c72","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
"ccffe8bd-dcf3-589f-ad69-b19f9cc8917b","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"620dc744-62ea-5329-94eb-a3f3e041fc87","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"abb830db-b872-575f-af46-56a36faf5c55","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
