"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ace8d8bb-4e7b-4d71-a761-645d4b1d717b","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"5497033e-4588-43b9-bd75-8b2b5f1b23f7","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5"
"b19afb5f-277b-4d60-8c9c-fde3e60205c7","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1"
"88f96a39-f938-5a3b-91e9-52e11ff1e712","","checkpoint-group","not-started","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Product Detail"
"9f65cf57-e79e-5b98-a03a-466c695f641a","","checkpoint-status","not-started","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420:d90bfa34-8b4c-4a15-bb28-723c46deeef4","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Product Detail","Details"
"89249673-b972-5f0d-b5a8-4af084356bfd","","checkpoint-group","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork"
"8d48fc81-11bf-59f9-ad5a-345d9c245ddf","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:3f0cdcab-4b3f-476d-b56b-b16ee107e388","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Check Length"
"3da4b48a-fc65-501e-aef8-47ff7a09c96e","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:52ec7df5-ba4b-4cfb-a76e-660dcfff8f63","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Check Width"
"0b00688e-7ace-5133-8d93-55614aa10d3e","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:478266b9-d083-4b39-8262-306e351e2909","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Check Thickness"
"a356ab5c-eee4-5e26-8f5c-a24fc27f9e5b","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:dcc56b68-3340-44ea-92f1-17fa5704ae43","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Check Diagnonal"
"5e1bde70-b292-5cb6-b7ea-dc2bdfca4e6d","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:5320e261-0158-45f1-80f6-3ac8bfd372dd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Sideform Trueness"
"dc5c617c-22dd-5194-958b-30deffa8f1a4","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:826c421c-3819-4e01-a290-04d4799f9553","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Magnets / Forms Secure"
"6dbbe903-a841-58c0-9e1e-c5d63335254a","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"ad3ff84f-c515-5f27-8328-51c62619783c","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
