"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f9d04d7c-adff-44b2-a3c1-7a65f4a1efa1","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"75c9bcd4-39a4-457f-bcdd-b94272cf4445","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1"
"eb5be7ed-38df-4c2c-9afa-f12bb08b6390","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1","Pre-Pour Checklist 1"
"c621878b-0063-4d79-9dfa-c179a8782664","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/1","Concrete Delivery Checklist"
"21c45849-06aa-4fd2-a9f8-a2b8dc374162","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2"
"ddb70b58-1920-4ca2-876e-2489c428615f","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2","Pre-Pour Checklist 1"
"867b9856-a19e-4d5c-8e14-54bbdc3001d5","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/2","Concrete Delivery Checklist"
"d5af6efb-ac07-4f6f-adbe-3abc45b06bd7","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3"
"d4303301-5854-4598-8678-64e4f7c05993","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3","Pre-Pour Checklist 1"
"3435a48c-8692-43ed-aaea-a086aaef7217","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/3","Concrete Delivery Checklist"
"f4283851-9c6e-4f28-9113-7c16eff114f3","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4"
"959a126d-36c0-4076-90e4-f32e979ab887","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4","Pre-Pour Checklist 1"
"fce3bcfe-656c-4f37-82d9-bf73e15e1700","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/4","Concrete Delivery Checklist"
"97ed8b20-071a-4922-9ad8-a580dccc8fba","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5"
"d760b8f5-6935-4d9a-aa19-a58eaf9e3edb","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1"
"b86cfbba-d849-4e02-98ba-11405c30e6eb","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist"
"ee284750-0909-4382-a83b-1c4773968e77","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6"
"724da40b-0053-4115-a813-e27f6a2d09d6","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1"
"60a69dca-775f-4731-8c78-67b34fe463ce","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Concrete Delivery Checklist"
"444d810d-4c3e-4cda-8a63-969cc2162d01","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7"
"f29bc7a0-f70b-4bf0-9d57-e6315e66bcc3","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7","Pre-Pour Checklist 1"
"36b5ab3d-963d-4497-9976-52179ee8e9c2","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/7","Concrete Delivery Checklist"
"411d3907-45b7-4932-86ae-5b723553b4ce","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8"
"760a07e5-1b00-4bc1-8ae3-84e8ebe60231","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8","Pre-Pour Checklist 1"
"0c4212f2-50d4-4b72-8969-2b03c48e1707","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/8","Concrete Delivery Checklist"
"6463191a-5f91-466f-990d-f9b2959494fa","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9"
"8c8c442c-6fea-4393-a1dc-758fd63b318b","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9","Pre-Pour Checklist 1"
"5a521cac-ac76-4e38-ba0b-9d4bb3235200","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/9","Concrete Delivery Checklist"
"76e73124-ee22-432f-bae4-8371b88072bb","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10"
"72395c20-5f64-4219-9515-b22c9221f18b","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10","Pre-Pour Checklist 1"
"0a7f31fd-98b3-4276-8cd1-600c835fc32f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/10","Concrete Delivery Checklist"
"d08a4868-177a-4fef-bd99-45706d27a703","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11"
"b029112c-5944-42e9-98d6-df9b4c29f821","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11","Pre-Pour Checklist 1"
"85c8d64f-f0c5-44d5-b3d7-7b65f013f856","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/11","Concrete Delivery Checklist"
"a32e41bb-e74b-40a9-a131-670be900cd52","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12"
"56e66fa8-2725-4401-a33c-7395c76543c8","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12","Pre-Pour Checklist 1"
"9e4ebbaf-9c57-4ecb-b966-ae3c6742d98a","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/12","Concrete Delivery Checklist"
"b9e56d22-c07e-4f7e-8e9e-fd59cc8653a4","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13"
"fb2f3bbc-77f9-4376-a583-6a40f10a72ac","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13","Pre-Pour Checklist 1"
"b98c8524-a422-4ed9-ab79-d6a31b50d6b5","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/13","Concrete Delivery Checklist"
"88242213-0197-400b-8416-1ddc05733133","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14"
"858ca6a9-bed4-4d5e-90b2-ed59db1a2991","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14","Pre-Pour Checklist 1"
"dd176f9f-856b-4571-ac98-51365ef85d3b","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/14","Concrete Delivery Checklist"
"93776ca4-eef7-470d-ae1f-11012cd4dded","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15"
"f18f717a-2ce1-4318-8da2-fa72c5ac4793","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15","Pre-Pour Checklist 1"
"3149b55f-8bb4-4498-b662-bfc76ef00405","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/15","Concrete Delivery Checklist"
"ab760134-359e-4a6f-ac5f-dcea87e8bef3","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16"
"d53f7f1b-5779-4602-845a-9aa7500f70d2","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16","Pre-Pour Checklist 1"
"63961ff3-eefb-422d-9bb4-2e2deca1ed70","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/16","Concrete Delivery Checklist"
"8e39fdba-6750-405a-a02c-2d9532522112","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to Site"
"5d702376-54cc-4be7-871e-195e81dbf1f5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Install"
"431cd37c-5dbf-4234-95fa-2599af999447","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Install Paperwork"
