Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,Site QA,
,Rows,,,,
,,Site QA,dynamic,Site QA,
,Columns,,,,
,,All Subbie Rough-in Progression,,All Subbie Rough-in Progression,
,,All Subbie Fit off & Testing Progression,,All Subbie Fit off & Testing Progression,
,,As Builts,,As Builts,
,,Ductwork,,Ductwork,
,,Grille Fit-Off,,Grille Fit-Off,
,,Hepa Filter Install,,Hepa filter install ,
,,Pipework,,Pipework,
,,Plantroom/Outdoor Equipment,,Plantroom / Outdoor Equipment,
,,Roof Duct Installation,,Roof Duct Installation ,
,,Top Roof Duct Installation,,Top roof Duct Installation ,
,,Roof Condition Report,,Roof Condition Report,
,,Roof Duct Completion,,Roof duct completion ,
