"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"77581052-a68c-4460-b1f6-3e0d12a5e5e5","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8ee6952f-f517-5813-b87d-df973bb3a1a9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"f98ddab6-7bf7-561b-b8d5-5c7e525d52c2","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"5f88baf7-4aac-5552-a14e-d496e6753061","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"4f833104-92d3-5fcc-b5f3-0345750edd72","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"e572620d-5115-54d6-ac42-8f9b3a0203ae","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"f68a8188-31a3-5718-8910-4b5fa57de70f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"fd1db21b-db2f-43d3-834f-0f6043a7a3ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"1637eded-f9e3-4e76-8fe5-3dd0d4ffac27","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Tower 01"
"700aefee-2f64-4333-b882-2999202769c8","","folder-normal","not-started","","step","TRUE","FALSE","QA","Tower 01","1No UniRail System @ 9m - UNR 01"
"1370bfbf-b524-4c55-b52d-21b80e41dd28","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Pre-Fit Off Checklist"
"e55b9b1b-1a12-5df2-9c20-c6846d131521","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"8d89460d-736b-5fd1-950b-de254f47d62c","","holdpoint","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Pre-Fit Off Checklist","EMAIL PM"
"92424390-704d-5395-ba3b-58e72ba178d5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"42b06b31-2c93-45f7-8727-ff8ab850fc42","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Rail Checklist - UNR 01"
"36a515a0-7e20-5bc4-96a9-d30266a7c3ce","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Rail Checklist - UNR 01","Photo taken of Engraved Line Plate / ID Tag"
"c514d77b-e9b1-5706-909d-2427d19a671d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Rail Checklist - UNR 01","Video taken of system"
"9df80462-df2b-5b62-a089-ff66b2cf34a7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Rail Checklist - UNR 01","Description input of location / person Rail systems shuttle left with"
"bf17b1e0-cb55-5367-b424-07ccc9d6baf4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Rail Checklist - UNR 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"f680ad0d-45bf-400f-b258-ac4f42ce2977","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors"
"a67601b6-1c45-49ba-8392-65a535f1eb13","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist"
"ad99faf2-0049-5ca1-821b-15a4c2283ba9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"3051bb4f-7b5e-5645-b2fd-bf1a5d802a29","","holdpoint","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","EMAIL PM"
"d936a294-c5e6-580f-8974-42d521481ed0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"eca48409-6932-4623-b044-a3b0d8e8b8eb","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 17"
"98afa132-7e8d-5eca-bb16-800601a56327","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 17","Required number of photo(s) taken of installed anchor(s)"
"367f9793-4518-5419-bc2f-e163b7df3b10","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 17","Installed as per PBI drawings supplied and manufacturer's requirements"
"3b780562-4d46-4111-bb5e-97c1afbb7221","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 18"
"1c530761-002c-549c-a3ff-85fbc0d96761","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 18","Required number of photo(s) taken of installed anchor(s)"
"df88a406-8944-52eb-bd8b-3a09a1d4978a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 18","Installed as per PBI drawings supplied and manufacturer's requirements"
"79a5e4d9-b224-42d0-bf6a-414e477abe78","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 19"
"d53f0cd8-4c79-53b3-b9a1-3208be60aa1b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 19","Required number of photo(s) taken of installed anchor(s)"
"042f7d3d-46d3-5dde-9abf-1a46ffda33da","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 19","Installed as per PBI drawings supplied and manufacturer's requirements"
"813c73e7-f465-490b-89a7-77fc8a5f2ee2","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 20"
"3c527da8-9651-5fae-933c-b5bf1255dd28","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 20","Required number of photo(s) taken of installed anchor(s)"
"1982b31b-c44f-5b75-b3a9-a7842ee1faa4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 20","Installed as per PBI drawings supplied and manufacturer's requirements"
"9ddbb542-5b17-4d91-a4c2-a00274e39757","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 21"
"92f582a5-8e34-5df2-9446-b324f77e6ce5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 21","Required number of photo(s) taken of installed anchor(s)"
"573faa4b-56c6-5411-b531-58027fee7dac","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 21","Installed as per PBI drawings supplied and manufacturer's requirements"
"0b1deb06-cadb-4db1-a09b-b4dcbf0df416","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 22"
"8c54924d-4587-5532-abd5-04ae3350717a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 22","Required number of photo(s) taken of installed anchor(s)"
"589d523c-be7b-59a3-9d2d-4106ee144e59","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 22","Installed as per PBI drawings supplied and manufacturer's requirements"
"ac9e8d77-e9c5-407e-9f95-65a0f7d5394f","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 23"
