type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist-flat,Pre Wire,,,,,,,,,,
checkpoint,Reticulation of Cables Complete (attached Photos),,,,,,,,,,
checkpoint,Flush Box / Fire Box Installed (Photos Attached Of Fire Box),,,,,,,,,,
checkpoint,Attach Photos Of Fire proofing by Others on Fire Walls,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Terminated & Tested,,,,,,,,,,
checkpoint,Visual Check and Cable Pairs Tested (Attach Visual Checklist),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Fit off,,,,,,Fit off (Common/Service/Residential/Floor),,,,
checkpoint,GCS - Structured Cabling (photos Attached),,,,,,,,,,
checkpoint,PERS - Nurse Call Fit Off (Photos Attached),,,,,,,,,,
checkpoint,ESS - Camera Fit Off (Photos Attached),,,,,,,,,,
checkpoint,ESS - Intercom Fit Off (Photos Attached),,,,,,,,,,
checkpoint,ESS - Access Control Fit Off (Photos Attached),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Fit off,,,,,,,,,,
checkpoint,GCS - Structured Cabling (photos Attached),,,,,,,,,,
checkpoint,PERS - Nurse Call Fit Off (Photos Attached),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Floor Commissioning,,,,,,,,,,
checkpoint,GCS - Structured Cabling (photos Attached),,,,,,,,,,
checkpoint,PERS - Nurse Call (Photos Attached),,,,,,,,,,
checkpoint,ESS - CCTV (Photos Attached),,,,,,,,,,
checkpoint,ESS - Intercom (Photos Attached),,,,,,,,,,
checkpoint,ESS - Access Control (Photos Attached),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Building Commissioning,,,,,,,,,,
checkpoint,GCS - Structured Cabling - CAT6 / POL (photos Attached),,,,,,,,,,
checkpoint,PERS - Nurse Call (Photos Attached),,,,,,,,,,
checkpoint,ESS - CCTV (Photos Attached),,,,,,,,,,
checkpoint,ESS - Intercom (Photos Attached),,,,,,,,,,
checkpoint,ESS - Access Control (Photos Attached),,,,,,,,,,
checkpoint,Commission Fire Interface (Attach Photos),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist-flat,Completion Documents,,,,,,,,,,
checkpoint,Producer statements PS3s,,,,,,,,,,
checkpoint,As built plan,,,,,,,,,,
checkpoint,O & M Manual,,,,,,,,,,
checkpoint,Other required documents,,,,,,,,,,
