type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-179-STR-PSDS-L-Shape retaining Wall,itp,,,,,ITP-179-STR-PSDS-L-Shape retaining Wall Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-179-STR-SSB-L-Shape Retaining Wall,,,,,,,,,,,,,,
label,ITP Description: SSB-L-Shape Retaining Wall,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 179-STR,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,
label,Revision Date: 24/06/2024,,,,,,,,,,,,,,
label,ITP created by: Victor Mira / Isaac El Zayat,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 610,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 610,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 620,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 630 ,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 614,,,,,,,,,,,,,,
label,1.6 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 611,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Concrete Mix,,,,,,,,,,,,,,
label,"REFERENCE: 610.07, Table 610.071, IFC Drawings",,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete Mix is Registered with VicRoads.,,,,,,,,,,,,,,
label,"○ Concrete mix meets strength, grade, and maximum aggregate size as detailed on drawings.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 ACRS Certification (for Reinforcement),,,,,,,,,,,,,,
label,REFERENCE: 611.05 (a),,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Current ACRS certification for materials and for bar processing.,,,,,,,,,,,,,,
label,"Note: ACRS certificate may cover both aspects or be for each separate portion (e.g 1 for the material supplier and another for the bar processor (bending, cropping and delivery)",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once for each supplier, 14 days of award of contract",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.3 Bar Chairs/Aspros Certification,,,,,,,,,,,,,,
label,REFERENCE: 610.26 (a),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Plastic bar chairs, wheels, and spacers require bi-annual testing to demonstrate suitability to prevent excessive deformation under loads.",,,,,,,,,,,,,,
label,○ Concrete aspros require annual compressive strength and soluble salt testing is required.,,,,,,,,,,,,,,
label,○ Relevant test reports demonstrating compliance to this clause shall be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once for each supplier, 14 days prior to placement of reinforcement",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.4 Evaporative Retardant,,,,,,,,,,,,,,
label,REFERENCE: 610.17 (f),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Details of evaporative retardant, application procedure (including application rates) to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each product, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.5 Curing Compound,,,,,,,,,,,,,,
label,REFERENCE: 610.23 (d),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Details of curing compound and NATA test certificate stating compliance with AS3799 no more than 3 years from issue, to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each product, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.6 Joint Sealant,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Details of the joint sealant used to seal around the precast element to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each product",,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,2.7 Subsurface Drainage,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,○ 702.03,,,,,,,,,,,,,,
label,○ 702.06,,,,,,,,,,,,,,
label,○ 702.07,,,,,,,,,,,,,,
label,○ 702.09 (f),,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Details of subsurface drainage as per IFC drawings,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each product",,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,3.1 Precast Elements,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"○ 610.46 (a), Table 610.463",,,,,,,,,,,,,,
label,"○ 610.47 (a), Table 610.473",,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Precast supplier is required to provide the following Quality Assurance documentation for each element, typically this consists of:",,,,,,,,,,,,,,
label, i. Certificate of Compliance / Birth Certificate,,,,,,,,,,,,,,
label, ii. Compressive strength test results,,,,,,,,,,,,,,
label, iii. Precast Lifting Design,,,,,,,,,,,,,,
label, iv. Pre-pour check sheet / ITP,,,,,,,,,,,,,,
label, v. Post-pour check sheet / ITP,,,,,,,,,,,,,,
label, vi. Covermeter check record,,,,,,,,,,,,,,
label, vii. Record of dimensional measurements to demonstrate compliance with dimensional tolerances of precast shown on table 610.463 (November 2018) / 610.473 (March/June 2019).,,,,,,,,,,,,,,
label,Note: Different revisions of 610 have different clause numbers,,,,,,,,,,,,,,
label,Collate: Precast Quality Assurance Documentation so it can be uploaded into Teambinder (don't attach it here),,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,3.2 Precast Base Slab Founding,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Foundation material beneath the precast wall shall be inspected onsite by a qualified geotechnical engineer to ensure that soil conditions meet the following material parameters:,,,,,,,,,,,,,,
label,– Soil unit at base of excavation: Stiff Clay,,,,,,,,,,,,,,
label,– Minimum undrained shear strength: 75 kPa,,,,,,,,,,,,,,
label,– Minimum L-Shape wall foundation depth: 0.2m,,,,,,,,,,,,,,
label,– Ultimate bearing capacity on natural soil: 350 kPa,,,,,,,,,,,,,,
label,– Factored bearing capacity on natural soil: 157.5 kPa,,,,,,,,,,,,,,
label,Attach: Test report or Geotechnical report,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each installation location,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Geotechnical Engineer,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Attached Report,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,3.3 Concrete Placement and Compaction Work Method Statements,,,,,,,,,,,,,,
label,REFERENCE: 610.18 (a) (i),,,,,,,,,,,,,,
label,○ 610.18 (a) (v),,,,,,,,,,,,,,
label,○ 610.18 (a) (iv),,,,,,,,,,,,,,
label,○ 610.17 (a),,,,,,,,,,,,,,
label,○ 610.23 (a),,,,,,,,,,,,,,
label,○ 610.46,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete placement and compaction WMS to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,○ Concrete sampling and testing procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,○ Concrete placement and compaction toolbox meeting held to discuss the quality requirements.,,,,,,,,,,,,,,
label,○ Minutes of this meeting to be submitted to the Nominated Authority,,,,,,,,,,,,,,
label,○ Hot and/or cold weather concreting procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,○ Curing methodology/procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,○ The planned locations and drilling procedure shall be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,3.4 Temprature difference measuring-Calibration,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Calibration records are valid and up to date.,,,,,,,,,,,,,,
label,Attach: Calibration certificate,,,,,,,,,,,,,,
label,METHOD: Document review,,,,,,,,,,,,,,
label,FREQUENCY: Where applicable,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP, Attached calibration certificate",,,,,,,,,,,,,,
checkpoint,4.1 IFC Drawings,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Prior to starting Works and at regular intervals,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: All,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,4.2 Materials Inspection Checklist,,,,,,,,,,,,,,
label,"REFERENCE: 620.06, 620.07 MRPA Quality Management Plan",,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: General inspection of precast elements for defects including cracks, damage, exposed reinforcement and where applicable, damage to coatings.",,,,,,,,,,,,,,
label,○ Confirm that the cast in lifters (anchors or loops) are the correct size and orientation as per the Precast Lifting Design (they should be clearly labelled on the end to be connected to).,,,,,,,,,,,,,,
label,○ Elements shall have unique identification and orientation marked (if applicable).,,,,,,,,,,,,,,
label,Complete: Materials Inspection Checklist in ConQA,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,4.3 Survey Set-out of Precast Elements,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"○ 610.46 (a), Table 610.462",,,,,,,,,,,,,,
label,"○ 610.47 (a), Table 610.472",,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Survey activities undertaken to ensure and validate that all Works meet level and location requirements within the tolerances as per the table 610.462 / 610.472 as applicable to the element.,,,,,,,,,,,,,,
label,"○ Where anchor bolts or steel posts are cast in to the concrete, ensure that these are within tolerance.",,,,,,,,,,,,,,
label,"○ If the precast elements are being connected with a stitch pour, mark any clashes from protruding reinforcement with the planned locations from the precast.",,,,,,,,,,,,,,
label,Note: Any clashes should be levered out of the way using a crow-bar or similar - avoid hitting with a hammer on bars with a tight radius.,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE",,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,4.4 Shims Placement,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings AS 3850.3,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Place the shims to the survey marks and to the required thickness to achieve compliance with the IFC Drawings and tolerances.,,,,,,,,,,,,,,
label,"○ Shimming should be a maximum height of 40mm, a minimum length of 150mm and a minimum width of 100mm.",,,,,,,,,,,,,,
label,○ Shims should be located at least 200mm in from the ends of the concrete element and bearing support.,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE",,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,4.5 Survey Set-out-Concrete Slab,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings 610.47 (a), Table 610.472",,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Survey activities undertaken to ensure and validate that all Works meet level and location requirements within the tolerances as per the table 610.462 as applicable to the element.,,,,,,,,,,,,,,
label,"Attach: Lot Map, Marked up drawing which shows the Lot Location and extent",,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE",,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
checkpoint,5.1 Precast Handling,,,,,,,,,,,,,,
label,REFERENCE: 620.07 Crane Lift Study,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Unless otherwise specified, precast elements shall be lifted using the lifting points provided and supported with the top surface uppermost at all times.",,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,
label,CATEGORY: SP,,,,,,,,,,,,,,
