"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a85c26e5-7bcb-4d59-aa76-98d3fb5cc693","","folder-normal","work-in-progress","","step","TRUE","FALSE","NIWA Hamilton QA"
"c4f9bb57-3db5-449d-b4e5-cb90f978d7d5","","folder-normal","work-in-progress","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0"
"0aed9ebf-0c04-44c7-982b-33326047ad4d","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room"
"976cfd55-ccb9-4fa5-a8b4-0e1b716d35b0","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104"
"8317cf69-f642-4691-88f3-5adabe7711da","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA"
"4b7e6f9b-7f0a-4ba6-9a90-e026c9045347","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","DX 1.3"
"8478bf33-23b4-455c-976b-068ce1a9adea","","checklist-sectioned","not-started","DX Units","checklist","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","DX 1.3","DX Units"
"56ebe1af-4899-4873-8744-46f4f278c178","","checklist-flat","not-started","Labelling of Equipment ","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","DX 1.3","Labelling of Equipment "
"98023797-b47b-4d6e-b125-d99e1e6319a7","","checklist-flat","not-started","Condensate Insulation","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","DX 1.3","Condensate Insulation"
"c21bdbcb-d8af-40b1-a7cd-639faea71de6","","checklist-flat","not-started","Braze Bench Test","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","DX 1.3","Braze Bench Test"
"6bffa33f-1c3e-4f61-85c3-72fe0a064e40","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-2"
"127a2d03-aad1-47ff-8737-1b054bb06bc5","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-2","Mechanical Duct"
"787e5b7a-0bbc-481a-8ab3-5af7827a17ed","","checklist-flat","not-started","Duct / Equipment Cleaning","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-2","Duct / Equipment Cleaning"
"8ced3e86-55c0-4592-bd77-c3f1495aa164","","checklist-flat","not-started","Labelling of Equipment ","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-2","Labelling of Equipment "
"28f94ea4-b0a7-4286-8aa5-b804162fb797","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-3"
"23ba157c-8afe-4ee6-ba49-e6c5be2a7972","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-3","Mechanical Duct"
"5450e56c-757b-4cb2-9f29-58b10bf4a62a","","checklist-flat","not-started","Duct / Equipment Cleaning","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-3","Duct / Equipment Cleaning"
"b160a868-db3b-4792-90a8-7b2a3fb36d23","","checklist-flat","not-started","Labelling of Equipment ","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract Air Ducting from  EAF-LAB-3","Labelling of Equipment "
"ca2b2fe4-7689-4faf-b81b-dcac01c5731d","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract air ducting from EAF-10"
"5dd4fa1c-2c0e-492f-8f48-c1f5c0240e05","","checklist-sectioned","not-started","Fans","checklist","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract air ducting from EAF-10","Fans"
"284b146d-95b5-4958-9d45-b9a656a13f14","","checklist-sectioned","not-started","Mechanical Duct","checklist","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract air ducting from EAF-10","Mechanical Duct"
"794abcfe-2ac1-45a0-84f0-ea75e327d84c","","checklist-flat","not-started","Duct / Equipment Cleaning","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract air ducting from EAF-10","Duct / Equipment Cleaning"
"1a8b2b5c-3037-496e-ac94-f3fff8193004","","checklist-flat","not-started","Labelling of Equipment ","checklist-flat","FALSE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 1 - Main Swicthboard Room","Drawing No - MD00104","Mechanical QA","Extract air ducting from EAF-10","Labelling of Equipment "
"cb5bc038-ca0b-4a8c-85e7-6c56c7cdb859","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 3 -East External Plant Room"
"2b5738e6-ae2d-4292-b6ab-1380cf8b6e3f","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 3 -East External Plant Room","Drawing No - LG00102"
"f53171cf-4d66-48f6-bf98-5795bc209f59","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 3 -East External Plant Room","Drawing No - LG00102","Medical Gas QA"
"ca3172fe-87b5-4976-b2d4-dacb9c9c767f","","folder-normal","not-started","","step","TRUE","FALSE","NIWA Hamilton QA","Main Building LVL 0","Lot 3 -East External Plant Room","Drawing No - LG00102","Medical Gas QA","Plantroom East ( Trench piping from Main building to Store Building )"
