type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-269-CIV-CPD-Bio-Retention Basin Supply & Installation,itp,,,,,ITP-269-CIV-CPD-Bio-Retention Basin Supply & Installation Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-value,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-269-CIV-CPD-Bio-Retention Basin Supply & Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Bio-Retention Basin Supply & Installation,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 13/05/2025,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Nicholas Damcevski,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
label,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings - Package 13,,,,,,,,,,,,,,,,,,,,,,
label,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water 21.A.038,,,,,,,,,,,,,,,,,,,,,,
label,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water MUSIC Guideline,,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries-Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - HDPE Lining,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawing,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - HDPE Flexible Membrane - 1.5mm Thick,,,,,,,,,,,,,,,,,,,,,,
label,○ Install according to Manufacturers Specifications,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Drainage Layer,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawing MW MUSIC GL, MW 21.A.038",,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Drainage Material supplied in accordance with IFC Drawing, MW 21.A.038 & MW MUSIC GL",,,,,,,,,,,,,,,,,,,,,,
label,○ Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Transition Layer,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawing MW MUSIC GL, MW 21.A.038",,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Drainage Material supplied in accordance with IFC Drawing, MW 21.A.038 & MW MUSIC GL",,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.4 - Filteration Media,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawing MW MUSIC GL, MW 21.A.038",,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Drainage Material supplied in accordance with IFC Drawing, MW 21.A.038 & MW MUSIC GL",,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
section,3. Preliminaries-Documents,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 - Check for correct documentation,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawing,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Ensure that all employees and subcontractors are:,,,,,,,,,,,,,,,,,,,,,,
label,– using the correct and complete set of drawings,,,,,,,,,,,,,,,,,,,,,,
label,– all drawings are the latest revision,,,,,,,,,,,,,,,,,,,,,,
label,Method - Visual Inspection,,,,,,,,,,,,,,,,,,,,,,
