"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c2eff460-49cb-43a9-a53e-735e625ae1d4","","pass","","folder","TRUE","FALSE","Level B1"
"5fafc9a3-97b5-42d1-998d-d55c5481d765","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-P1"
"3882070b-5975-4145-b3dc-747987539647","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level B1","B1-P2"
"6c2dfc06-8868-47ab-969b-28ba432939d3","","pass","","folder","TRUE","FALSE","Level G"
"bcc0f593-3304-485c-a05c-a88cfe8b5448","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C1"
"4bf6523e-2530-4b34-988b-068988d8998d","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C3"
"deb579e4-340c-46cf-b1e1-db1b97dff048","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C5"
"af2561f6-41a8-4753-b548-074c8c569bb5","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C6"
"c56710da-1c76-4dfc-9378-7c7b32e272f4","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C7"
"4caf292b-83c4-41ab-9358-ef773580f7f2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C9"
"ce10e36b-c468-4f53-8ebe-11b4a6e7e6ac","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C10"
"5b6adb3b-653b-41bc-a00b-adb48c98aa99","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C11"
"b9b637be-f423-4402-8d4d-df11d4687926","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C15"
"77ace6b7-37b5-4369-be17-64c7203e86da","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C16"
"2222db73-1ceb-4be6-a212-aa327f740e98","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C17"
"42a29f74-a2a9-4517-9d00-9ba97306f9ef","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C19"
"db8b174a-46f1-4eec-b105-e0270606b3b2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C20"
"83b80280-b5ae-496b-897d-f0b6b23a36b9","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-C22"
"40a84bd2-f54a-43d2-97ff-4acc115ebf89","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-CP1"
"3e6a4abd-70ce-46f4-9e18-2d09ca997fa7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-CP2"
"255ed18c-2e48-4b45-bc04-dd1909d65ec0","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-CP3"
"29b66e2e-12c5-4d00-bbbc-5810e4fa59c2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-CP4"
"3415a7c5-8ad9-479e-9bf4-8bc659638938","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-CP5"
"ab239afd-3490-47d3-86a1-5d965b142ba7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-P2"
"49c35238-8444-467d-9432-9255fccf6622","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level G","G-P3"
"17623c3b-d1af-46c4-96db-dc3dac353554","","pass","","folder","TRUE","FALSE","Level L01"
"0d93850d-452a-4d2f-826a-80785930e4f3","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA1"
"23758dfa-7bb1-47d2-92da-9972fd6f45cc","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA2"
"90e11403-969d-4414-b49b-fc7200cd48a5","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA3"
"64b206ef-b0b6-41e1-bc32-42fab473f9b1","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA4"
"84e8df8c-3355-4c67-8108-e55a249767a6","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA37"
"ee2e9f1e-3706-40d0-b319-ffc85cbff400","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA38"
"48961f6e-34b6-46ea-8c00-f4aa2720bd44","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA39"
"fb253562-ad72-43dc-b30f-1b333d3e4060","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA40"
"ce69d359-4264-489f-9f78-66eb0e18be5d","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA41"
"4245979e-291b-43e9-9138-19ec705abe24","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA42"
"0599916f-cf1d-4775-91ca-a4b5b7215b98","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-BA43"
"53f5493d-90a6-4cf9-a2a0-4bd172c3ccd2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-CP1"
"6a1d8536-38d3-446d-81e6-eb28259a66c9","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-CP2"
"14f7596a-66cf-44bd-b5a4-054878d5881c","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-CP3"
"5eadb963-3d8e-4f30-a57e-9a7a3a18e8b0","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-CP4"
"c869bb20-256f-491f-bc60-ab83d72fd639","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-CP5"
"a371f3ce-bcbf-416d-ad74-76f489043819","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P4"
"7fec14c2-bef6-400c-a4dc-85e7f21ccde5","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P5"
"06d7e9e9-1438-4879-b90b-21f676c00c3f","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P6"
"c260e2f8-aae6-4fbc-b092-b5eae52e5015","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P7"
"871ddc2a-1fa9-4d02-8ebf-1679761d7719","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P8"
"0426c584-3436-42f3-b7dc-555a49a3be9e","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P9"
"b4332f45-7f23-4b8b-805d-5f6e1d5e4c3b","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P10"
"4316dabd-6772-488e-90d7-61972210d3a9","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P11"
"b6d6c5c7-4d16-4de5-9cc3-628282cd639d","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P12"
"fee22495-6291-4585-b6a1-c8c9d173fdcc","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P13"
"9f7ee661-3e1d-4301-a5e1-7f4992096b42","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P14"
"58dd679c-9d3f-4370-965e-06d6e0c44f91","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P15"
"bc19313d-38ab-440c-8cf9-ee854ab04791","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P16"
"ee185f3a-e314-4692-affd-03668a9c4ee7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P17"
"86b3525f-c511-45d6-bd16-b55d015e8c49","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P18"
"cd4695a3-b9c3-4717-8066-c3cf1a8b7a9d","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P19"
"ac183e3a-a349-4eef-9312-bfc442629e8b","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P20"
"80433d93-54c1-4439-a5d0-bc675780546c","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P21"
"3dbcb706-81eb-4bba-a4fc-1a0e3cff4e4d","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P25"
"1b935384-ba17-4ac2-8f1f-67bf8e261496","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P26"
"76c39d1d-bf29-405a-8094-76375eeda5d7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P28"
"b64bcc24-6063-4576-be8c-0cf7a6a85705","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P29"
"1d442717-8675-41be-9407-b67a5ec54287","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P30"
"7c44c9df-65ab-4c6c-9b0d-d4eaef2d4bd1","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P32"
"6ea30dfb-979d-4cb3-bf28-3bdc306cdbc6","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P33"
"ff27e39b-7b3c-466b-94a0-366c9501fff7","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P34"
"a6b3f53c-e9f4-4cb3-bafb-d05b6fdbca60","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P36"
"88099814-cdf8-4ec8-9891-bfddb608e890","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L01","L01-P43"
"a9708e2b-10ab-490b-9ee0-63c2bdcc218d","","pass","","folder","TRUE","FALSE","Level L02"
"3775aa94-35d7-43ff-abcc-253f5e3e360a","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-CP1"
"8e812089-7342-4d41-b198-d2bf3cc3e0f2","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-CP3"
"f45684bf-e6a4-41e5-b2cc-713682f4cf20","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L02","L02-P12"
"f5fa24b1-04f3-478b-8e07-ea385c1b5c11","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L02","L02-P13"
"97778394-70d0-4afe-a34a-6382beaaee0e","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L02","L02-P21"
"c02dd636-6312-4556-9249-d4684d6da813","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-P28"
"38c20ec4-29d5-4821-b768-6422b1be2d16","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-P32"
"8700156c-4d07-417a-9121-0dad263a4d44","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-P33"
"23a2e439-1ee7-407d-becf-314e4232df9c","","pass","5daa2f3744bd4cd32110b1d16f16df7975547d348d2eb7b6909e1bee22e79d53","checklist","FALSE","FALSE","Level L02","L02-P36"
"dd340eb2-9d9e-44c5-ae93-b0ef53c96112","","pass","","folder","TRUE","FALSE","Level L03"
"7e877e14-abdd-454e-96d3-55dd6f0d61e7","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-CP1"
"06bbd6b4-c79b-4e5e-96a9-a47013218353","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-CP2"
"dd33ea52-37f8-4c84-a3f0-380971320c8d","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-CP3"
"1c051782-0d35-44fe-a4e7-43b10a08fd26","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-CP4"
"051731c7-b18e-412d-acfd-9197eea86adf","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-CP5"
"f6748d0c-9159-4773-83a5-640506f7a283","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P4"
"dfa58bd4-3a8b-4673-8b7d-b40273ae72bc","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P5"
"2647c259-2350-40fc-a4f9-0b5fc56aa7b8","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P6"
"c8405b3a-2f1e-48f6-955a-e06d968ea9f1","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P7"
"993fded6-2cc9-4971-9dc3-ab235f017b05","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P8"
"98d07e0d-50ed-4095-93b4-2be88aee3929","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P9"
"c95c63dd-c608-4131-a501-b633be54aac2","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P10"
"d4d89e46-addc-4c15-ab8e-7f50ad456a87","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P11"
"e322a5ca-dde6-43e1-9d87-91d977ea8c31","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P12"
"3bce89d1-17c1-4d87-984c-d1d77abc9171","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P13"
"47ca65c1-7284-4cb9-9f61-97b312320b85","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P14"
"5fd392aa-f5eb-4d02-80ce-a0a8f9470f33","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P15"
"cc1217d9-7e02-4fe7-8a25-50fe48989cb0","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P16"
"d0ea9da2-9e58-4b3c-962c-3debcf5716d8","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P17"
"a07e9145-cb91-40b9-9b8a-ff6e784b8410","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P18"
"3b5da891-0d82-413a-8cef-a98706d95662","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P19"
"3e80352e-035e-4b6e-be12-9fb892b1968e","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P20"
"f9c958d5-7c1c-4bea-bb79-d2510f79f540","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P21"
"a8970628-5746-42bd-9755-bb1a5625e5f0","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P25"
"252a4bd3-c446-4a64-86a0-9c5ac2feea56","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P26"
"8f09873d-568b-4644-946f-c5b644fa6ce6","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P28"
"1c34b1e5-6059-454c-8693-0d86035345df","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P29"
"6ef2ff77-c37d-48b2-b50b-a222709530db","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P30"
"9d770216-0b6a-4887-aa0f-80396d9ce549","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P32"
"488d16e5-5a21-4974-9857-58e1b38804d4","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P33"
"a2b1a54e-3bc2-4c22-9379-0e2c38742785","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L03","L03-P36"
"1e1de72f-d0eb-45e1-ad56-5369ed7ac585","","pass","","folder","TRUE","FALSE","Level L04"
"f6fcf85d-b756-4f03-8d89-19f4a4fb888b","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-CP1"
"2e53390c-ca92-4332-bf7d-dd3a46d317d0","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-CP3"
"5fa17b4c-de72-4cde-9baa-13776e8feac0","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P12"
"b9628dd2-c78b-419c-86e5-2c08b52422d0","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P13"
"e9652c9a-d905-43aa-afa2-a65841f16cba","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P21"
"6e718311-cfab-4fa7-854d-d39e746deb2c","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P28"
"228c8108-c886-4d29-a3bd-94bcd6eb958e","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P32"
"a91bb1db-c801-44cd-9c15-e78ce546dda6","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P33"
"750a5635-f08a-4854-986d-23271a70ab68","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L04","L04-P36"
"28ef1742-5d48-4b55-8e55-eeddd22fc1bb","","work-in-progress","","folder","TRUE","FALSE","Level L05"
"36dea53a-6598-4668-987f-9fab06f0c600","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-CP1"
"1f960b8b-9b73-40ae-9084-7fa159a401b4","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-CP2"
"ee50dfcc-3db3-4e00-9a10-3a1f3805d77d","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-CP3"
"f94ebdd7-1d45-47b8-998f-185586aef18e","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-CP4"
"7c99593c-adff-4f1a-904e-b348f3076cdb","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-CP5"
"e2fb0ebe-4685-4670-af27-ce1b35dda792","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P4"
"a2d55b65-be87-45ee-81a1-be2301d619db","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P5"
"8dd49c62-042c-4210-bfeb-e19203fe3baf","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P6"
"67d2e1ec-67df-495a-9e2a-a05d199b39ee","","work-in-progress","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P7"
"4174b858-f889-429a-9758-e81719d91d08","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P8"
"d88f3184-c258-47e7-b571-3b9d9b1cf064","","pass","Commercial Projects Checklist V6","checklist","FALSE","FALSE","Level L05","L05-P9"
