type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
checklist-sectioned,ITP - 011 - Fill 15,itp,,,,Yes,ITP-011 - Fill 15,56cfed4c-fc80-4fa7-9f5f-38e8f24799d6,,,,,,,,,
checkpoint-group,1.1.0 Pre-construction Approvals,,,,,,,,,,,,,,,,
checkpoint-status,1.1.1 - Construction Environmental Management Plan,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Prior to work starting,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CEMP",,,,,,,,,,,,,,,,
checkpoint-status,1.1.2 - Construction Work Plan,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Prior to personal starting,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,,,,,,,,,,
checkpoint-status,1.1.3 - IANZ accredited testing organisation,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Once prior to works commencing,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test and supplier certificates",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.1.4 - IFC's specification,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Once prior to works commencing,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFCspecifications or Written approval from PAB",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.1.5 - IFC drawings,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Once prior to works commencing,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFC drawings or Written approval from PAB",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.1.6 - Approved earthworks model,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Every new Earthworks Model and prior to work commencing,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - ?",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.1.7 - Approval of stockpile location,,,,,,,,,,,,,,,,
label,Method/Description - Document Review & Approval,,,,,,,,,,,,,,,,
label,Test frequency - Prior to works commencing,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - ?",,,,,,,,,,,,,,,,
checkpoint-group,1.2.0 Material Compliance,,,,,,,,,,,,,,,,
checkpoint-status,1.2.1 - Structural fill,,,,,,,,,,,,,,,,
