"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"060c9421-984a-45d9-bc6f-17963221038a","","folder-normal","pass","","step","TRUE","FALSE","Boundary"
"faf41bb5-f8aa-4eab-8210-67d4f4857e76","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 1 17/8"
"ddc9dbdf-eeac-44a2-871e-03094c38bf74","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 2 16/8"
"cb0a7287-b62b-4051-97d1-ca64a5239fa7","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 3 12/8"
"605da79d-d51c-4c80-aa83-59ffc5363b8a","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 4 15/8"
"11256bbe-284d-4db4-9c48-d41b2fbdd7b8","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 5 18/8"
"43668d6b-6482-4c59-84ae-de31fd012c6d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 6 28/9"
"265272f2-5145-4253-9857-1adc79bcbd41","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 7 28/9"
"862e626a-3e91-47df-8550-c8a97ddad264","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 8 26/1"
"930ed97d-0c63-4df7-807e-ba46048ea79b","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 9 27/1"
"a89f7f69-16a0-46e8-a906-afa346663e21","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 10 31/1"
"7c6c8f7b-0c63-4db4-b7cd-f5720abe49c9","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 11 29/9"
"2af5c99b-59be-4064-bc73-588ac5a7ebfe","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 12 29/9"
"3d43c8ee-061b-477e-8566-512f8da76f4e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 13 20/12"
"4e0942f8-b74a-4c0a-81d6-cf9981435bf1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 14 24/1"
"81aac28b-4d6c-47bf-b98c-214aca20e6b4","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Boundary","MP - 15 25/1"
"871ea06a-1ee7-4eb4-ba54-f05baa7d72d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","House"
"0060d57b-c5d2-4533-abd0-0317e6c03f9d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 1 16/12"
"5b57ff17-0c80-47a4-95a1-03c7347515ab","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 2 21/12/22"
"442d840a-f5a2-4a5a-a9fc-a1b7bd659ad1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 3 12/1/23"
"3b9ca63d-251e-4b9d-a5a0-e10439aa1104","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 4 13/1/23"
"1427c91b-9b84-473c-80a6-52ca6458b156","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 5 17/1/23"
"eb6d49b6-a6b3-4a7c-8ee6-67dcabeed252","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 6 18/1/23"
"28aa8e19-2899-4e8b-ade8-30b50e2bef22","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 7 17/4"
"8633dc9d-eb34-4681-b000-7658eb506168","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 8 3/5"
"e61c71d1-59c2-498b-84cd-162d7078ab5c","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 9 15/12"
"58648f78-9645-4c0f-8c00-6a64b8af214b","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 10 15/12"
"88e8d579-f718-417a-b0bf-4012160682d6","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 11 15/12"
"a624def6-b3f7-4dab-9e24-8ad906303f8c","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 12 16/12"
"50c745d6-290e-45ba-a9d7-6370a9b43129","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 13 20/12/22"
"6045ae5c-208c-46d1-b9f3-8aaeeef05405","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 14 11/1/23"
"8756997d-6c9c-431e-940f-98ab0668d1e3","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 15 16/1/23"
"47f6339f-317a-4480-9659-657219e89228","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 16 16/1/23"
"5e4c6883-e0eb-4341-83ef-7af0175d272c","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 17 17/1/23"
"f6d2f087-1c4e-4658-b70f-5ed35530cf4e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 18 17/1/23"
