type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-157-STR-PSDS-Bridge Precast T Beams Installation,itp,,,,,ITP-157-STR-PSDS-Bridge Precast T Beams Installation Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-157-STR-PSDS-Bridge Precast T Beam Installation,,,,,,,,,,,,,,
label,ITP Description: PSDS-Bridge Precast T Beam Installation,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 157-STR,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 8/07/2024,,,,,,,,,,,,,,
label,ITP created by: VM,,,,,,,,,,,,,,
label,ITP approved for use by: VM,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: VR Section 613,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: VR Section 610,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,
label,Reference: VR Section 620,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Flowable Grout,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Underside of beam shall be grouted as per IFC drawings using flowable non-shrink grout with a minimum compressive strength of 50MPa.,,,,,,,,,,,,,,
label,○ Grout shall achieve full strength and shall be completed prior to Stage 1 deck pour.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval Number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Precast Element,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Beam Seating Pads (HDPE),,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: 2 No. 200 x 200 x 20mm thick high density polyethylene pads, or approved equivalent, to be designed for minimum 10MPa Stress.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval Number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Precast Element,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.3 Bitumen Tape / Fibre Cement Sheet,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Beam joints to be sealed at the flange as per IFC drawings using approved materials.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval Number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Precast Element,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,
checkpoint,3.1 Precast Elements,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings Section 610.47, VR Table 610.473, Section 620.03",,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Precast supplier is required to provide the following Quality Assurance documentation for each element, typically this consists of:",,,,,,,,,,,,,,
label,i. Certificate of Compliance / Birth Certificate,,,,,,,,,,,,,,
label,ii. Compressive strength test results,,,,,,,,,,,,,,
label,iii. Precast Lifting Design,,,,,,,,,,,,,,
label,iv. Pre-pour check sheet / ITP,,,,,,,,,,,,,,
label,v. Pre-stressing check sheet / ITP,,,,,,,,,,,,,,
label,vi. Post-pour check sheet / ITP,,,,,,,,,,,,,,
label,vii. Covermeter check record,,,,,,,,,,,,,,
label,viii. Record of dimensional measurements to demonstrate compliance with dimensional tolerances of precast and bearing plates ,,,,,,,,,,,,,,
label,Note: Different revisions of 610 have different clause numbers,,,,,,,,,,,,,,
label,Collate: Precast Quality Assurance Documentation and upload into Teambinder,,,,,,,,,,,,,,
textbox,Enter: Teambinder MDR Lot number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Precast Element,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE/SPE,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed Off,,,,,,,,,,,,,,
checkpoint,"3.2 Curing Methodology (for Concrete, Grout and Mortar)",,,,,,,,,,,,,,
label,REFERENCE: 610.23 (a),,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Curing methodology/procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,
label,Note: This may be the same document used for the concrete curing.,,,,,,,,,,,,,,
textbox,Enter: Teambinder Correspondence Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, 4 weeks prior to placement of product",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,3.3 Temporary Works Designs,,,,,,,,,,,,,,
label,"REFERENCE: Section 610.27, Section 613.04, Section 613.05, Section 613.16",,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All temp works design shall be certified by a design engineer who is a member of Engineers Australia and with a minimum of 5 years experience in the design and construction of falsework.,,,,,,,,,,,,,,
label,○ The temp works design shall also be proof engineered by a Proof Engineer who is independent of the design consultant’s firm and is prequalified at Level PE under the VicRoads’ prequalification scheme.,,,,,,,,,,,,,,
label,Attach: Temporary Works Design,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: 2 weeks prior to installation of falsework,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,Pre-construction Activities,,,,,,,,,,,,,,
checkpoint,4.1 IFC Drawings,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
