Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Hydrant Install Progress,,,,,,,,
,Scope,,,Hydrant Install,,,,
,Rows,,,,,,,
,,Basement,grouping,Basement,,,,
,,Basement 4,expanded,Basement 4,Hydrant Install,Site QA,,
,,Basement 3,expanded,Basement 3,Hydrant Install,Site QA,,
,,Basement 2,expanded,Basement 2,Hydrant Install,Site QA,,
,,Basement 1,expanded,Basement 1,Hydrant Install,Site QA,,
,,Building A,grouping,Building A,,,,
,,Ground Floor,expanded,Ground Floor,Building A,Hydrant Install,Site QA,
,,Level 1,expanded,Level 1,Building A,Hydrant Install,Site QA,
,,Level 2,expanded,Level 2,Building A,Hydrant Install,Site QA,
,,Level 3,expanded,Level 3,Building A,Hydrant Install,Site QA,
,,Level 4,expanded,Level 4,Building A,Hydrant Install,Site QA,
,,Level 5,expanded,Level 5,Building A,Hydrant Install,Site QA,
,,Level 6,expanded,Level 6,Building A,Hydrant Install,Site QA,
,,Level 7,expanded,Level 7,Building A,Hydrant Install,Site QA,
,,Level 8,expanded,Level 8,Building A,Hydrant Install,Site QA,
,,Level 9,expanded,Level 9,Building A,Hydrant Install,Site QA,
,,Level 10,expanded,Level 10,Building A,Hydrant Install,Site QA,
,,Level 11,expanded,Level 11,Building A,Hydrant Install,Site QA,
,,Level 12,expanded,Level 12,Building A,Hydrant Install,Site QA,
,,Level 13,expanded,Level 13,Building A,Hydrant Install,Site QA,
,,Level 14,expanded,Level 14,Building A,Hydrant Install,Site QA,
,,Level 15,expanded,Level 15,Building A,Hydrant Install,Site QA,
,,Level 16,expanded,Level 16,Building A,Hydrant Install,Site QA,
,,Level 17,expanded,Level 17,Building A,Hydrant Install,Site QA,
,,Level 18,expanded,Level 18,Building A,Hydrant Install,Site QA,
,,Level 19,expanded,Level 19,Building A,Hydrant Install,Site QA,
,,Level 20,expanded,Level 20,Building A,Hydrant Install,Site QA,
,,Building B,grouping,Building B,,,,
,,Ground Floor,expanded,Ground Floor,Building B,Hydrant Install,Site QA,
,,Level 1,expanded,Level 1,Building B,Hydrant Install,Site QA,
,,Level 2,expanded,Level 2,Building B,Hydrant Install,Site QA,
,,Level 3,expanded,Level 3,Building B,Hydrant Install,Site QA,
,,Level 4,expanded,Level 4,Building B,Hydrant Install,Site QA,
,,Level 5,expanded,Level 5,Building B,Hydrant Install,Site QA,
