"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15daf0f2-1738-4077-ae28-db3c14bb55b9","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up"
"b9e2961c-b8bc-4ca9-ba68-6c7c7217ce4a","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","Management Plans"
"bd01850e-cfbe-4059-88f4-2fab39217386","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP001 - ID 39 - Project Management Plan"
"77356c45-12e4-47fa-becd-ae79f55d89db","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP002 - IDs 9, 11, 12, 13 - WHS Management Plan, Incident, Crisis and Bushfire Management Plans"
"a38b9408-ae25-4751-b302-49df3b3f023c","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP003 - ID 7 - CEMP Stage 1, Early Works"
"fa080287-8db1-4ece-96d3-dca44e04276f","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP004 - ID 10.2 - Noise and Vibration Management Plan"
"74e4ba46-1ef4-4196-b273-1f1481324435","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP005 - ID 8 - Soil & Water Management Plan"
"2a784f6b-3e56-4ac2-8df4-4c06878b22ec","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP006 - ID 10.1 - Waste Management & Resource Recovery Sub-Plan"
"28f83ec9-71d7-4393-8c54-c1d2cfbdcbc9","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP007 - ID 16 - Clearing & Grubbing"
"3d7fe0fe-901d-4238-84b3-dd1c41bf44f6","","work-in-progress","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP008 - ID 20 - Site Establishment Plan"
"62955f61-5cbd-4865-82db-b49d4b6afd25","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP009 - ID 6 - Project Quality Plan & Records Management Plan"
"5466807f-0c91-4c66-9aac-233ae58d0d0f","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP010 - ID 9.1 - Workplace Risk Assessment (WRA)"
"28fe3bf8-119b-4ef9-8c3e-593df4772ab5","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP011 - ID 14 - Chain of Responsibility (CoR)"
