"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2aab56db-2b2a-4a9f-8c72-dcd943cd864b","","folder-normal","","","step","TRUE","FALSE","Ryman"
"bb96bdf7-9e41-4319-94eb-12e97680a549","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1"
"1cd10434-34bb-4564-a22c-0fe65d45ba17","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1","SA 101"
"724a2c0e-58cd-41ba-8e93-535f755dc0bb","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1","SA 102"
"362f5318-defa-46a9-b6ba-103cca26cc57","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2"
"4bd82822-3f83-4e5d-9056-64c425497e80","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2","SA 201"
"a16458ff-b1e3-4768-87ca-132dd0ead1a8","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2","SA 202"
"864ba456-1b31-4c0b-8e5d-eb9b477430c3","","folder-normal","","","step","TRUE","FALSE","Subcontractors"
"1824e717-8de5-475d-bb36-b0f149d16982","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1"
"957e8693-7878-4dd4-8ab8-4d62ad5b7185","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd"
"7f0f3f15-c412-4f05-8afd-3f141b08b799","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1"
"7dcf9469-787f-4d3d-a5da-45f536dd6720","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 101"
"cd13e87a-843f-4da7-aae0-40921a7a9b45","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 102"
"78c3dc35-72ce-4a05-bc03-b2199062b56f","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 103"
"7c73e2d7-2898-410d-a030-ac4fd59a2fd7","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 104"
"39c1e8cf-8650-41e4-871c-03d1f0c5e1c8","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 105"
"4495d8df-35a8-41ee-ad46-e13a646b957e","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 106"
"c53648bc-b2df-4c31-8afe-fdd93e97ae95","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 107"
"8c205e6e-e6a5-4c07-91fe-81f496527527","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","SA 108"
"6db18506-0a83-4103-8366-d89a973798e3","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","Lift"
"3e7b1a0c-a06e-40d7-b5c1-7445832d85ba","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","Laundry"
"69cdcf89-15e3-419b-bccd-4cf194eced35","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","Dungeon"
"708b461a-645d-436b-b622-b34517e1f126","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","PA System"
"27be2ec0-4d44-444f-bfbb-81938decc036","","checklist-flat","","Check List 4","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1","Communication Room"
"c61c0dbf-db7a-46d1-8db8-ebd5b4215c28","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2"
"c507cab8-91b3-4ee1-adfb-10dd1f4ef9bf","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 202"
"acd649dc-28f0-4de3-839e-e8bdf5771269","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 203"
"8cdcfc18-2ed1-4622-8133-0d76370712d5","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 206"
"57b5fdae-8d6a-4189-bb77-5a9ddd48caff","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 207"
"e5bbb3af-0df1-406d-b057-936737698b2a","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 208"
"12437fa3-d790-4ca1-bc47-8e259bb61ab0","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 209"
"3925237c-a111-48aa-ad1f-72c2c37d4bf4","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 212"
"42420b92-a871-473d-8153-98b1b8810e78","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 213"
"a1acbdd7-8059-4fe4-8cf5-77c5a127457b","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 214"
"87d99368-2b0e-4910-b3ea-33834117d5c0","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 215"
"a23e2688-1300-405d-9615-fb1f6236e21e","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 218"
"553ca4c3-312b-488d-b6c4-bb1a1beab2e5","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 219"
"c470c1f4-c986-4f55-9413-b0ecfeab6b09","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 220"
"0451b991-5b4d-4850-91e5-eefbca2062be","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 221"
"994619c1-9695-4f62-ba6a-078c93f4f40d","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 224"
"4affcaab-6c69-43c5-967e-4a7a757d3897","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","SA 225"
"b4863237-1440-487d-bcf8-f87fe28824ca","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Lift"
"52c024e5-57d8-475b-915f-c708de16ab6a","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Laundry O/S SA208"
"1d515601-96d6-4fdd-92cb-956c1fa92579","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Laundry O/S SA 220"
"4d6831d6-5c87-4a51-a423-0e26e061587b","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Staircase"
"4a293462-47e6-4a7c-b84a-9862d7110d0f","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Door O/S SA 206"
"c0c81b0c-814b-48c6-a8cd-ec2abfcb1d54","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","Door O/S SA 212"
"0824b07f-38fb-492b-9f58-1a7d12fd8666","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 2","PA System"
"82a2b51a-cdb3-49b6-9caf-984341c80c42","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3"
"549b5b0a-7ebc-4425-a63a-f25403baebf3","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 301"
"201ed641-4456-48fe-86c9-9d641bee5196","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 302"
"6c097c99-1a82-4805-b60a-b231831cb7bc","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 303"
"a8e4161c-5bc5-41cb-8af0-2cc37b6947b4","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 304"
"d0de2e9d-baa2-4db3-983b-44471594520f","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 305"
"b766a815-153b-4ee4-8ab5-c3ff17f33e05","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 306"
"e3fd3237-4bb5-4d89-a56b-1e426920d129","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 307"
"4279a73e-5512-41f3-a6b4-59626ffd3ca9","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","SA 308"
"f3cc1b8e-d7e0-46b0-8587-10c4361672fb","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","Lift"
"a3ad911d-d821-45db-b11a-3cc115b7adf8","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","Laundry O/S SA302"
"46a4c9c8-2e96-4ab2-bc00-87d32bf289d6","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","Laundry O/S SA 306"
"79ce9e98-7bac-4ce4-964e-d293fb4941f2","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 3","PA System"
