type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Structural Opening Handover Checklist,,,,12,Yes,SYS - Structural Opening Handover Checklist (old version),6fdef4af217bbeb780806c9db8e48e070d43b129686c343d4e74b800834f86d9,,,,,,,
checkpoint,Access to the floor/s?,,,,,,,,,,,,,,
checkpoint,Handrails / Edge Protection/s?,,,,,,,,,,,,,,
checkpoint,Safety Line?,,,,,,,,,,,,,,
checkpoint,Are concrete/opening surfaces clear for work?,,,,,,,,,,,,,,
checkpoint,Surface Preparation (Inc. Vapor Shield and Waterproofing)?,,,,,,,,,,,,,,
checkpoint,Electricity/Power Supply / Lights (1-Phase and/or 3-Phase)?,,,,,,,,,,,,,,
checkpoint,Access provided?,,,,,,,,,,,,,,
checkpoint,Are gridlines visible and accessible (datum marked and confirmed)?,,,,,,,,,,,,,,
checkpoint,Structure complete and built as per approved Shop Drawing?,,,,,,,,,,,,,,
checkpoint,Structural fagade opening within tolerance (+/- 10mm total in each direction)?,,,,,,,,,,,,,,
checkpoint,Floor slabs pan tolerance max. +/- 20mm over the height of the building?,,,,,,,,,,,,,,
checkpoint,Has there been any opening not handover at this level/elevation?,,,,,,,,,,,,,,
checkpoint,Handover,,,,,,,,,,,,,,
textbox,Structure Handed-over by:,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (Allwin Facade Ltd.),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (CMP),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,"SILL FLASHING, SILL TRAY, & SEISMIC HEAD",,,,3,Yes,"SYS - SILL FLASHING, SILL TRAY, & SEISMIC HEAD (old version)",fac8ee4a1b68d851a0a238b96a265f195d040f3a75a7d9f1d83775b30102f727,,,,,,,
checkpoint,Sill flashing install.,,,,,,,,,,,,,,
checkpoint,Sill tray install in the correct RL & GL,,,,,,,,,,,,,,
checkpoint,"Drainage slots / Weep holes do not block, clear, and correct.",,,,,,,,,,,,,,
checkpoint,Aluminum surface cleaned and applied with primer prior to sealant works.,,,,,,,,,,,,,,
checkpoint,"The number of rear splices installed correctly, seal complete, bed sealed to the gutter, and fillet sealed at the end",,,,,,,,,,,,,,
checkpoint,"Front splice installed, seal complete, bed sealed to the gutter, and fillet sealed at the end.",,,,,,,,,,,,,,
checkpoint,The correct type of sealant used (DC 791),,,,,,,,,,,,,,
checkpoint,"Site water test on the gutter, performed",,,,,,,,,,,,,,
checkpoint,Seismic Head installed in the correct RL & GL.,,,,,,,,,,,,,,
checkpoint,"Hed splice installed correctly, seal complete, bed sealed to the seismic Head, and fillet sealed at the end.",,,,,,,,,,,,,,
checkpoint,"Drilling, cleaning, fixing screws, applying sealant in the hole, and cap sealing the heads of fixings.",,,,,,,,,,,,,,
checkpoint,Complete sealant on all perimeters including air seal.,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (Allwin Facade Ltd.),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (CMP),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,FIXING OF PANEL,,,,6,Yes,SYS - FIXING OF PANEL (old version),6db825ecebac8167ca99d95bdf7b3f10260ab6d0492153fa5b863e58c99c214e,,,,,,,
checkpoint,Silicon seal on bolt/screw head installed during installation.,,,,,,,,,,,,,,
checkpoint,Sub-gutter has not been damaged short or missing gasket.,,,,,,,,,,,,,,
checkpoint,The foam block at the base of the mullion is on,,,,,,,,,,,,,,
checkpoint,The correct type of sealant used (DC-791 Silicone),,,,,,,,,,,,,,
checkpoint,"The panel within tolerance in Hor, Vert, and Plumb Plane (H,V,P)",,,,,,,,,,,,,,
checkpoint,"RL to top of panel correct, refer set-out tag drawings",,,,,,,,,,,,,,
checkpoint,Correct panel installed in the location,,,,,,,,,,,,,,
checkpoint,Head mullion bracket installed bead seal and silicone seal on a head screw.,,,,,,,,,,,,,,
checkpoint,The mullion joint at the back of the panel is within tolerance,,,,,,,,,,,,,,
checkpoint,"Mullion gaskets not missing, cut, or damaged",,,,,,,,,,,,,,
checkpoint,No damage to Backpan/insulation,,,,,,,,,,,,,,
checkpoint,No damage to aluminium,,,,,,,,,,,,,,
checkpoint,No damage to the Glass,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (Allwin Facade Ltd.),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
checkpoint,Reviewed and Checked by (CMP),,,,,,,,,,,,,,
signoff,Signature,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Fixing of CW Panel,,,,13,Yes,SYS - Fixing of CW Panel (old version),93336aef3d74bae4c15b16b7eb72bf3baedecaf04e40f48ad73846b86b793504,,,,,,,
