"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"68946fea-33a1-4d64-aa8b-cd6695295f77","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1"
"72f7db51-d00a-4358-b2e0-2fcf16fd4d79","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01"
"34a6c912-8b68-4aef-88e7-8bfd5dbecad8","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor"
"14c27a31-947a-4856-bc57-a90841600708","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)"
"c5174fae-b860-4d09-b1e6-873e1ddd1538","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas"
"7f5ff510-ae4c-4e2f-b39e-f0664e90f6d9","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1"
"4f2e4f3b-d836-4996-a96d-d229043169ed","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1","Pre Wire"
"3ad39e30-c11a-4668-859f-9537a3aa17ec","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1","Terminated & Tested"
"3cdde5a4-60e4-4af3-bb3d-905c453d3708","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1","Fit off"
"6bce49c2-27c9-4825-a3da-d13cc3dc640c","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge (Pre-wire)"
"c8f5c233-02b3-4c75-9053-a825722dd52f","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge (Pre-wire)","Pre Wire"
"cf19f5dc-fb22-4ded-8ef1-d6a982985fe0","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge (Pre-wire)","Terminated & Tested"
"605f90a7-15ae-4c8f-bddc-b6645405b328","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G2C (Pre-wire)"
"af2a1257-3e98-4606-bd7e-11935900c3a0","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G2C (Pre-wire)","Pre Wire"
"74bea469-2d79-47d4-b752-49e26ef67443","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G2C (Pre-wire)","Terminated & Tested"
"36a10772-7504-4013-9591-4e78744aeae3","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area A"
"61933064-541a-4d64-95d9-892a46b1958c","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area A","Pre Wire"
"1a6da3a4-cfbf-4bbc-9b64-b443217da23a","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area A","Terminated & Tested"
"998aa424-efcf-406e-a81f-5bdc3e25a9c5","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area A","Fit off"
"dddf4539-70be-4bce-9978-9e6776fceb64","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Stairwell 1"
"408c8c26-d610-4616-aa9b-99c8f9bae8dc","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Stairwell 1","Pre Wire"
"53fd70a2-32e2-4012-b07f-c2560fb36045","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Stairwell 1","Terminated & Tested"
"e82d27c2-722e-4afe-be17-3e7d6f0feaf4","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Stairwell 1","Fit off"
"931885d6-4b49-4b64-a91e-034fddb2582e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G15C (Pre-wire)"
"4aa26bc0-1312-4972-982a-540e5a0b8381","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G15C (Pre-wire)","Pre Wire"
"821a45bb-8cd1-45b0-aa26-c37c6f5f66af","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G15C (Pre-wire)","Terminated & Tested"
"4858289d-9319-42e1-bf6d-5f080ec8ec4e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","ACC WC"
"2e0f47c9-a6a4-4b91-b950-7d673a7868d3","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","ACC WC","Pre Wire"
"2d840d62-3b18-4fc0-9c37-1c6dd09acff4","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","ACC WC","Terminated & Tested"
"2cba5e42-9c48-45c6-b12c-3350c1e20e42","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","ACC WC","Fit off"
"c4a09696-eb34-4dc5-838b-4c228206037c","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Cleaners"
"ebfe1257-28d6-4b27-a046-f22d816f2152","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Cleaners","Pre Wire"
"003bcd83-e581-4926-a92b-94fcad0d909c","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Cleaners","Terminated & Tested"
"cdf93dd7-2fc0-4ce2-acfd-a83129b39a53","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Cleaners","Fit off"
"21fad79a-8995-4d69-9e3f-2158a0b55167","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Sluice Store"
"2326ffec-5d2e-4f52-aa81-19860e1f5e25","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Sluice Store","Pre Wire"
"a4631f74-6706-4654-9f07-822e89c62e93","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Sluice Store","Terminated & Tested"
"e63c42e1-d89a-41fe-83f5-93983edc9e15","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Sluice Store","Fit off"
"f3582c42-0a6b-4143-8e34-124d83239fb7","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 3"
"29e5cb6e-de6b-495d-9784-9b97f82570ac","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 3","Pre Wire"
"66a13db8-947b-4534-9d22-97e1fc096c0e","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 3","Terminated & Tested"
"bd74b1de-2fd2-4662-a33c-fed3696d67bb","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 3","Fit off"
"fcdd7d50-f691-47d2-965e-7e168ef115a5","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G20C (Pre-wire)"
