"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da561f66-468b-4668-b8cf-af4a54730ce6","","folder-normal","","","step","TRUE","FALSE","Site QA"
"59a26190-f724-4c06-a6d3-6e7178afcd79","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"20f4a1af-8d8e-42d9-99cd-b081b1813d86","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 1"
"f2ed69c4-07a4-4e3b-bf0f-2aaa0b4a7af5","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 2"
"8c721632-0315-4831-900b-0637ed1ccfec","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 2.1"
"c91a4690-101f-43e1-a190-2c6f3caf2541","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 3"
"6599980b-e9b6-48d2-b8b6-713c740f9f29","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 4"
"fd4c54f7-5ad4-466c-bbe4-57c1ad80476e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 5"
"19c23bdc-6e0a-4b2b-bc1f-384aeac95e50","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 6"
"5a1fb87f-9095-4c6a-ba3e-2284d2e7344f","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 7"
"f9d1b44d-1022-4c7b-a62d-e83b69be8c01","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 8"
"1f91d511-e060-4ee7-b1e9-ea6cd5247a92","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 9"
"5fbe9492-bcd5-4b0a-86a5-897f132e5291","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 10"
"18bcba24-152b-4f40-b1a3-faa4e9c4c8ce","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 11"
"d8012b73-91ef-4e4d-9d26-36ece9e906ef","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block A","Unit 12"
"f094cd15-6093-49fe-a0be-49dd7cb7441b","","folder-normal","","","step","TRUE","FALSE","Site QA","Block B"
"9220ad77-352d-4318-a91b-bf5663571bd1","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 13"
"5bd987ad-fe06-4917-b3b3-280b584d3df9","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 14"
"ce59d0b9-240c-4399-a000-ae6a977a6df1","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 14.1"
"702092b1-f402-4c93-a5a5-0d505ee30166","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 15"
"5c818e46-954f-4d98-94be-3fb655d57997","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 16"
"5b1e234d-b850-4071-a25e-d33b409a9d13","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 17"
"40bd61c5-cfc7-4fbd-9d1d-ffbd2758d12c","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 18"
"090c7202-383c-4043-89d2-a77fa90e9132","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block B","Unit 19"
"47e168b1-3df3-4333-a215-7e8500051252","","folder-normal","","","step","TRUE","FALSE","Site QA","Block C"
"d3d5c81c-7131-4f6f-8e92-8e1abf13a3e2","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 20"
"8231d485-2823-434f-9b66-caa285e3f7a4","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 20.1"
"0927550d-7668-48f0-8b58-d145af48fa27","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 21"
"a99f581d-a8b5-4b31-8387-2042b6917755","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 21.1"
