"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7c7f120-5948-460d-845a-458e08b63e35","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"58baf044-ce54-48d8-a5f6-88694af1cd4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building"
"7c7457ef-cde4-4701-85f8-405e89ec050a","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level"
"32393b93-48c5-4660-88ac-428f22d2b4b6","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing"
"7640d7c4-014e-4f1e-8921-6eed3f8c3424","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Penetrations (Wall)"
"db83cb8a-8052-447f-88bb-8c708ae92757","","not-started","Installation Penetration","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Penetrations (Wall)","Installation Penetration"
"aaeb50e4-b036-4243-b8f0-28ba8e287745","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Stacks/Vents (Corridors)"
"1b2de356-f83c-4f54-8a9c-dd7b8b0f555e","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Stacks/Vents (Corridors)","Zone 1"
"9c3a8d54-dfe3-4e8b-b5c6-34666d217203","","not-started","Installation Sewer/Trade Waste Stacks & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Stacks/Vents (Corridors)","Zone 1","Installation Sewer/Trade Waste Stacks & Vents"
"955a880c-6565-403a-8a4d-d2d24e68131d","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Downpipes (Corridors)"
"02d8a4f9-1f9f-4d92-a0f4-9d8fd4e50960","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Downpipes (Corridors)","Zone 1"
"85317f12-b17e-41d5-87ab-8b4f4ffc9e0e","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Downpipes (Corridors)","Zone 1","Installation Downpipes & Overflows"
"8785affd-4e80-4166-9489-c0e4a6d89bf4","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Water Services (Corridors)"
"80fe309c-3166-4f0f-9ede-59add861586d","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Water Services (Corridors)","Zone 1"
"4bd11995-79b5-40d3-9df4-cc2a03a099e4","","not-started","Installation Water Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Water Services (Corridors)","Zone 1","Installation Water Service (Mains/Risers)"
"315f31b7-54f8-4f7e-bd47-0e7ab4ee550f","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Gas Service (Corridors)"
"f05df48d-1b92-4869-98a7-193b8e32ad95","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Gas Service (Corridors)","Zone 1"
"e290b4bb-84c1-49fe-8396-bb56ffd35664","","not-started","Installation Gas Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Gas Service (Corridors)","Zone 1","Installation Gas Service (Mains/Risers)"
"06317bcd-e51e-45ca-936d-8140b041ca2f","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard West"
"99a17d7e-3ca0-4a4e-bd75-c88b893a647e","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard West","Installation Downpipes & Overflows"
"dabfde4c-7ad9-4cf5-9331-84e44020a931","","not-started","Installation Water Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard West","Installation Water Service (Mains/Risers)"
"1bf7d2f1-60dc-45a0-a2c8-56cb254276f4","","not-started","Installation Potable/Rain Water Storage Tank","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard West","Installation Potable/Rain Water Storage Tank"
"a484ec7b-5943-4dc3-b018-c249248dee4b","","not-started","Installation Potable/Rain Water Pressure Pump","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard West","Installation Potable/Rain Water Pressure Pump"
"6b7ec1cd-4e76-43d8-8a20-61d59e5838ea","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping"
"3086511d-f10e-4039-ac14-0e54162a18ab","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Installation Sewer/Trade Wastes & Vents"
"e3c29219-7041-4e61-b840-f93a4b6585d5","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Installation Water Service (Rough-ins)"
"46d019be-1369-4349-8af9-f685b30c0034","","not-started","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Fit-off Laundry Trough & Tapware"
"87e54a4f-94c9-4f00-8e9c-b826d5bdbed3","","not-started","Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Fit-off Washing Machine Stops"
"6f1049ff-6d74-45a4-ae0a-71f81101ce6d","","not-started","Fit-off Cleaners Sink & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Fit-off Cleaners Sink & Tapware"
"18ddfcde-722e-4e9d-b356-a7377fcffaa8","","not-started","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","House Keeping","Fit-off Tundish"
"a2e0680d-2ef5-49b7-acf5-7871ef8cff08","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room"
"5103b15f-0739-4293-8939-d9ebd7676910","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Installation Sewer/Trade Wastes & Vents"
