type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checklist,Floor Preparation,,,,,,,,,,
section,Details,,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,,
checkpoint,Grind Floor,,,,,,,,,,
checkpoint,Are there any cracks that require remediation?,,,,,,,,,,
checkpoint,Remediate cracks,,,,,,,,,,
checkpoint,"Apply feather coat, Sanded, Edges",,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,,
,,,,,,,,,,,
checklist,Vinyl Planks Installation ,,,,,,,,,,
section,Preparation,,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,,
checkpoint,Check floor if prep is required,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Check floor for U3 (3mm variance over 3m),,,,,,,,,,
checkpoint,Check direction,,,,,,,,,,
checkpoint,Check wall for smoothness where/if coving,,,,,,,,,,
checkpoint,Measure area,,,,,,,,,,
checkpoint,Acclimatise vinyl plank,,,,,,,,,,
checkpoint,Glue out area,,,,,,,,,,
checkpoint,Install vinyl plank and apply silicone/sealant if needed,,,,,,,,,,
section,Handover & Signoff,,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,,
checkpoint,Clean any excess glue,,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,,
,,,,,,,,,,,
checklist,Timber Installation ,,,,,,,,,,
section,Preparation,,,,,,,,,,
checkpoint,"Check installation type: floating, glue down",,,,,,,,,,
checkpoint,"Check subfloor - level, stable and clean",,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Check floor for U3 (3mm variance over 3m),,,,,,,,,,
checkpoint,Check if underlay or glue is required,,,,,,,,,,
checkpoint,Check laying your timber floor: pattern/layout as required,,,,,,,,,,
checkpoint,Unpack your planks and mix them up to avoid adjacent identical patterns and colour variations,,,,,,,,,,
checkpoint,"Check for finishes with skirting boards, finishing profiles and anything else as required",,,,,,,,,,
checkpoint,Install Underlay/glue if required,,,,,,,,,,
checkpoint,Install Timber,,,,,,,,,,
checkpoint,Apply sealant if required ,,,,,,,,,,
section,Handover & Signoff,,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,,
checkpoint,Clean any excess glue,,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,,
,,,,,,,,,,,
checklist,Carpet Installation,,,,,,,,,,
section,Preparation,,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,,
checkpoint,Check floor if prep is required,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Install carpet including smoothedge and underlay as applicable,,,,,,,,,,
checkpoint,Check carpet direction,,,,,,,,,,
checkpoint,Install trims as applicable,,,,,,,,,,
checkpoint,Smoothedge nails not protruding through carpet,,,,,,,,,,
checkpoint,All temporary nails removed,,,,,,,,,,
checkpoint,"All areas are carpeted: bedrooms, wardrobes, living, stairs, hall and nosings/trims as required",,,,,,,,,,
checkpoint,All strands cut off,,,,,,,,,,
section,Handover & Signoff,,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,,
,,,,,,,,,,,
checklist,Garage Carpet Installation,,,,,,,,,,
section,Preparation,,,,,,,,,,
checkpoint,Check area clear of all other trades and their materials,,,,,,,,,,
checkpoint,Check floor if prep is required,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Prepare the area; sweep & vacuum the garage to start with a clean surface.,,,,,,,,,,
checkpoint,Check direction,,,,,,,,,,
checkpoint,Check if coving required,,,,,,,,,,
checkpoint,"Measure the garage floor area, and position the roll/s in place on the floor",,,,,,,,,,
checkpoint,Roll up carpet to expose half the floor for gluing,,,,,,,,,,
checkpoint,Spread glue evenly,,,,,,,,,,
checkpoint,Unroll the carpet back onto the glued area and press the carpet down to the ground. ,,,,,,,,,,
checkpoint,Trim the carpet down to fit around the outside wall and garage door edges. Check if trims/bars are required.,,,,,,,,,,
checkpoint,Repeat steps for the other half of the carpet,,,,,,,,,,
checkpoint,Press again if any bubbles or ripples,,,,,,,,,,
section,Handover & Signoff,,,,,,,,,,
checkpoint,Remove all excess material,,,,,,,,,,
checkpoint,Clean any excess glue,,,,,,,,,,
checkpoint,Report for inspection,,,,,,,,,,
checkpoint,Quality Approval,,,,,,,,,,
signoff,SEND TO CLIENT FOR QUALITY APPROVAL,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
