"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"30/04/2025"
,"Scope",,
,"Rows"
,,"30/04/2025","dynamic","30/04/2025","element"
,"Columns"
,,"Reinforcement Cage Inspection (Secondary Welding)",,"reinforcement cage inspection (secondary welding)"
,,"Cage inspection details",,"cage inspection details"
,,"Pole Cap",,"pole cap"
,,"Size",,"size"
,,"4No. Welds",,"4no. welds"
,,"Seated Square (+/- 2mm)",,"seated square (+/- 2mm)"
,,"Correct Type & Number of Studs",,"correct type & number of studs"
,,"CORRECT NUMBER, LOCATION, DEPTH & ORIENTATION OF FITTINGS (record amount visually inspected)",,"correct number, location, depth & orientation of fittings (record amount visually inspected)"
,,"- Tubes & Hole Formers (±3 mm)",,"- tubes & hole formers (±3 mm)"
,,"- Earths (+/-10 mm)",,"- earths (+/-10 mm)"
,,"- Steps (+/-10 mm)",,"- steps (+/-10 mm)"
,,"- Others (+/-10 mm)",,"- others (+/-10 mm)"
,,"- Splice Wires (+/- 0mm)",,"- splice wires (+/- 0mm)"
,,"FWB (+/- 0mm)",,"fwb (+/- 0mm)"
,,"ANTI-ACCESS Wires",,"anti-access wires"
,,"Accepted? (Y / N) (Initial)",,"accepted? (y / n) (initial)"

