Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,
checklist-flat,,,checklist,ITP - B1004F - Tangoio Falls Steep Underslip - Kerb & Channel,itp,,,,Yes,ITP - B1004F - Tangoio Falls Steep Underslip - Kerb & Channel,61fb0043-01fa-4c72-802b-95b80aa741a9,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Project Site reps.,,,,,,,,,,,,,,,,,,,,,
text,2068c3a5-d340-578f-9ed5-8d470d533164,,textbox,CPS Eng.,,,,,,,,,,,,,,,,,,,,,
text,ebd1b16b-14c2-53ef-af80-496e7c371c0b,,textbox,Site Engineer,,,,,,,,,,,,,,,,,,,,,
text,c6882f25-ecf7-5955-b49f-560ae08a5412,,textbox,Quality Eng.,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,1 - Survey Setout,,,,,,,,,,,,,,,,,,,,,
label,c811ce24-3dad-56a1-9f4a-3aece818902a,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,d932d3b5-e629-5fca-bb07-6e365e432cd1,,note,Detail - Set out kerb line and level at 1m offset to EOS,,,,,,,,,,,,,,,,,,,,,
label,0ea94e7b-68e0-5441-ba55-a88140bf18cc,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,ce38bafe-ecdf-5cf1-87e9-14aa3ce5e0c9,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Survey, Measurement and Visual inspection",,,,,,,,,,,,,,,,,,,,,
label,6b618bca-ae7e-51a4-b359-e6b65bf054ea,,note,Conformance Criteria - Consistency with Construction Drawing,,,,,,,,,,,,,,,,,,,,,
label,b26f78a5-951d-5bab-a5a2-a9766cc1f814,,note,Records - Survey receipt,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2 - Material Compliance,,,,,,,,,,,,,,,,,,,,,
label,ea6b5fc4-e799-541c-a0f3-1d68d296043e,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,d82ade8d-4f6d-5a57-b60b-7b9a1d1bd996,,note,Detail - Ensure the Concrete Mix is as per the Kerbing Specification,,,,,,,,,,,,,,,,,,,,,
label,91ff5a31-51f0-5804-99b6-b9addb8300e3,,note,"Frequency - 1/600m3, minimum of 1 per source",,,,,,,,,,,,,,,,,,,,,
label,a34469e8-1418-569b-81c0-9997027ba93f,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document review, Lab Testing",,,,,,,,,,,,,,,,,,,,,
label,a0cc8f9b-b5c9-5b7f-9505-89ef120709f9,,note,Conformance Criteria - 20MPa at 28 days,,,,,,,,,,,,,,,,,,,,,
label,6b7caa11-8d17-5744-a015-414a10de6491,,note,Records - Concrete Delivery Dockets and lab test results,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3 -,,,,,,,,,,,,,,,,,,,,,
label,02479aac-3ec5-5a40-b2e5-da3b71fcde3c,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,21505e53-e4c5-5eaf-ad4d-4aaa74421776,,note,Detail - Ensure the slip form moulds match the dimensions of the design kerb,,,,,,,,,,,,,,,,,,,,,
label,5b30ceac-6f8b-55e4-a493-063bdc6966ab,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,1acd2ba3-6971-5b01-9873-be06c9861ed3,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and Measurement",,,,,,,,,,,,,,,,,,,,,
