Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,
checklist-sectioned,,,checklist,ITP - E1401A - Captain's Culvert Inlet Remediation - Parking bay Construction,itp,,,,Yes,ITP - E1401A - Captain's Culvert Inlet Remediation - Parking bay Construction,b91c12cd-11d6-4fc8-b33c-5bcb92aab5bf,,,,,,,,,,,,
checkpoint-group,,,section,Setout,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Project Site reps.,,,,,,,,,,,,,,,,,,,
text,ceb1c1e9-1856-51a6-9b6d-418c1684447a,,textbox,CPS Eng.,,,,,,,,,,,,,,,,,,,
text,a60cba7c-2e1e-5d16-a9f4-2a7b95d02c7e,,textbox,Site Engineer,,,,,,,,,,,,,,,,,,,
text,ebda585a-0903-5687-a04b-5ba5c83e22bb,,textbox,Quality Eng.,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,1 - Survey Setout,,,,,,,,,,,,,,,,,,,
label,212763a5-0c5f-5fae-928f-a1e4f35454ac,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,45a57b27-f2d0-5066-a330-e9fdd2d0b902,,note,Detail - Set out pegs installed every 20m if no grader control or 100m if grader control is used during Subgrade Construction,,,,,,,,,,,,,,,,,,,
label,93273dfb-94cb-53f4-9697-ce374561d75a,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,
label,09c5fc60-ec88-58be-92ca-47114db252b9,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Survey",,,,,,,,,,,,,,,,,,,
label,31783811-7f32-5057-933f-4a0cc199dca6,,note,Records - Survey receipt,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,2 - Proof Roll of subgrade,,,,,,,,,,,,,,,,,,,
label,2ed52153-b982-59e5-a8c3-f31ae8e21ef5,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,c203fb28-b7fb-58e1-8cb9-13fb0bdc7a2b,,note,Detail - Site Engineer and CPS Engineer to undertake a Proof Roll test on the trimmed subgrade prior to Sub base placement,,,,,,,,,,,,,,,,,,,
label,cfae26cf-75b9-5c15-ba78-771ad1cf15ce,,note,Frequency - Prior to Sub Base Construction,,,,,,,,,,,,,,,,,,,
label,60b862ef-62ef-5c5a-8ec8-1392d7ff52ba,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual Inspection",,,,,,,,,,,,,,,,,,,
label,c9ac3c63-ad9b-5ef3-ad2f-a073523112a2,,note,Conformance Criteria - Engineers Acceptance,,,,,,,,,,,,,,,,,,,
label,2348cdbc-1362-5f4f-bd2d-c295b9f8d558,,note,Records - Emails,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,Sub base,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3 - Material Compliance,,,,,,,,,,,,,,,,,,,
label,8087f501-0214-56b3-8b65-8f830a854f3a,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,e5cdd21c-f7de-58f1-a5da-283c3de1bf7b,,note,Detail - Aggregate material compliance for Subbase stockpiles,,,,,,,,,,,,,,,,,,,
label,c8b99a80-d15a-5d43-b1d4-64c7c477fd5b,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,
label,31bfa694-f21d-5648-b460-170733696e58,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Lab Testing",,,,,,,,,,,,,,,,,,,
label,2245adc3-dcdf-51ee-8d08-e3cf9826e82e,,note,Conformance Criteria - Crushed AP65 with 30% Crushed face. Lab test for MDD at OWC,,,,,,,,,,,,,,,,,,,
label,28cce37b-42e4-58f6-b682-7875f9e77211,,note,Records - Notice to Supplier and Lab Test results for the stockpiles used during construction,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4 -,,,,,,,,,,,,,,,,,,,
label,e9f8e870-9ddb-5bea-88c7-6a0e12204b81,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,4a51e39c-24f4-57c8-8700-60c563ea4eb3,,note,Detail - All aggregate loads coming to site to have delivery dockets checked to ensure material is coming from the correct stockpile. Site Engineer to keep a running tally of material delivered to site and docket number,,,,,,,,,,,,,,,,,,,
label,fb205668-e000-5d78-9397-d9206ac7b78e,,note,Frequency - During construction,,,,,,,,,,,,,,,,,,,
label,a4e0a07d-c830-5892-8b80-c32e208ac177,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement and recording",,,,,,,,,,,,,,,,,,,
label,7b9aba9c-60c1-5f11-b590-74faa0c726b3,,note,Conformance Criteria - Comply with TNZ M/4 Specification. Traceability of all materials deliveresd to site,,,,,,,,,,,,,,,,,,,
label,4bbd5f70-332c-5021-bec1-857a4fbb60d4,,note,"Records - Delivery Dockets, Aggregate Deliveries Register",,,,,,,,,,,,,,,,,,,
