"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"67ba4b33-2636-4b06-a434-e90f12310246","","pass","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"57398d74-a7f3-42bb-83ea-98990c4423a4","","pass","","folder","TRUE","FALSE","Checkers Checklist"
"be2a1abb-c9a6-4eb3-bda4-4949e2d341a4","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B1"
"a78c63d0-42ee-4a32-8970-f4c10d03c377","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B2"
"8989f1ba-e2b6-4543-abd2-fd544254cbb5","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B3"
"734cb632-af1e-4c62-83bc-17f821e22b89","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B4"
"a217d059-051b-4a70-bf21-0913aa26e51c","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B5"
"5d2a1bce-6d75-4566-a0fd-d7697acabf17","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B6"
"88e1d7fd-ee17-46a7-a1a6-3017a1e47502","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B7"
"9761b500-7d60-4e92-8456-fae9aaf20310","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B8"
"bdb947b4-7d92-405a-8a3f-fcb73fab337d","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B9"
"90416e51-0d4a-4a50-a033-e133d8b6ea2c","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B10"
