type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist-flat,Project Details,,,,,,Project Details,,,,,,,,
checkpoint-no-status,Project Details: ,,,,,,,,,,,,,,
label,Project Number: ,,,,,,,,,,,,,,
label,Builder: ,,,,,,,,,,,,,,
label,Project Manager: ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,SWMS,,,,,,,,,,,,,,
checkpoint,SWMS & Safety Plan submitted,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Working Permits,,,,,,,,,,,,,,
checkpoint,Please take a photo of work permit,,,,,,,,,,,,,,
text,Description of Permit,,,,,,,,,,,,,,
text,Work Area,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Delivery Docket,,,,,,,,,,,,,,
checkpoint,Please take photo of delivery docket,,,,,,,,,,,,,,
text,Date,,,,,,,,,,,,,,
text,Work Area,,,,,,,,,,,,,,
text,Material,,,,,,,,,,,,,,
text,Supplier/Subcontractor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Builders Works & Site Issues,,,,,,,,,,,,,,
checkpoint,"Attach photos, files and comments as required - pass once complete",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Day Rate Works,,,,,,,,,,,,,,
checkpoint,"Attach photos, files and comments as required - pass once complete",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Drafting & Design Issues,,,,,,,,,,,,,,
checkpoint,"Attach photos, files and comments as required - pass once complete",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,As Built Markups,,,,,,,,,,,,,,
checkpoint-no-status,Drawings,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Cassette Rough In,,,,,,,,,,,,,,
checkpoint,"Unit Model Number correct, vibration mounts installed & unit Labelled",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Cassette Pipework & Drains,,,,,,,,,,,,,,
checkpoint,Condensate drain installed including hose clamps ,,,,,,,,,,,,,,
checkpoint,Refrigeration pipework installed including insulation over flare nuts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Cassette Fit Off,,,,,,,,,,,,,,
checkpoint,Fascia fitted square and plug loom connected,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,Cassette Commissioning,,,,,,,,,,,,,,
checkpoint,check drain fitted of at tundish with air break,,,,,,,,,,,,,,
checkpoint,Check Operation of unit heat/cool & louvre operation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Rough In,,,,,,,,,,,,,,
checkpoint,"Unit Model Number correct, vibration mounts installed & unit Labelled",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Pipework & Drains,,,,,,,,,,,,,,
checkpoint,CHW pipework roughed in and connected to unit,,,,,,,,,,,,,,
checkpoint,Condensate drains installed to tundish/waste point provided and hose clamps fitted,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Ductwork,,,,,,,,,,,,,,
checkpoint,"All solid ductwork installed as per drawings, including flexible connections",,,,,,,,,,,,,,
checkpoint,"Dampers installed  (NRD, VC, FD, MVCD) and all fully opened",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Flex & Cushion Boxes,,,,,,,,,,,,,,
checkpoint,All flexible ductwork installed,,,,,,,,,,,,,,
checkpoint,All cushion heads installed and setout noted,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Fit Off,,,,,,,,,,,,,,
checkpoint,Grilles/louvres installed,,,,,,,,,,,,,,
checkpoint,Filters installed and are removable,,,,,,,,,,,,,,
checkpoint,check drain fitted off at tundish with air break,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat,CHW FCU Commissioning,,,,,,,,,,,,,,
checkpoint,Check Operation of unit,,,,,,,,,,,,,,
checkpoint,Check for noise and vibration,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
checklist-flat, AC Ducted Unit Rough In,,,,,,,,,,,,,,
