"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a5a86c47-7663-40d8-beb9-45cfe13a902c","","pass","","folder","TRUE","FALSE","EB/1"
"94623375-afac-4be0-84cc-d4efb76cc3b8","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/1","Pre-Pour Checklist"
"d02fe6a8-3826-4bab-aca5-48658453cae6","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/1","Concrete Delivery Checklist"
"b1f7e43b-0d59-4ec5-9bae-e312739271f5","","pass","","folder","TRUE","FALSE","EB/2"
"47a346bb-c1d0-42fe-a8b9-200502ae37b8","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/2","Pre-Pour Checklist"
"9043bd9f-136a-4402-b2c6-aff037b62f58","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/2","Concrete Delivery Checklist"
"7a9657d7-4240-4bbc-b7d2-4d061961c843","","pass","","folder","TRUE","FALSE","EB/3"
"0baf6ce6-1694-4171-9364-dce1a1cb3f22","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/3","Pre-Pour Checklist"
"16bd85ad-de77-48ad-8bc1-4836e75d92f1","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/3","Concrete Delivery Checklist"
"4d27988f-1b48-4357-8c94-038e244d2f5b","","pass","","folder","TRUE","FALSE","EB/4"
"71a719b9-38fd-4c33-888f-7adc917e60d5","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/4","Pre-Pour Checklist"
"15e77abb-1134-45c9-8ff9-3c5c22d9779f","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/4","Concrete Delivery Checklist"
"023390db-73c8-42c3-9037-be51b48aa0cd","","pass","","folder","TRUE","FALSE","EB/5"
"f48f6735-21e1-4612-95f7-d79059e9eece","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/5","Pre-Pour Checklist"
"15636d9f-dcf7-43dc-ba8b-07e1f5929396","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/5","Concrete Delivery Checklist"
"ee58165a-a694-475c-9f96-a7b02b800c6d","","pass","","folder","TRUE","FALSE","EB/6"
"60307245-7fd3-42ca-951b-a971b0f1351e","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/6","Pre-Pour Checklist"
"b1f92b26-fbf2-4cbd-b2c5-6d232fffd5f7","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/6","Concrete Delivery Checklist"
"6940fb4a-a4ec-4740-850d-9dda2bc2b4dc","","pass","","folder","TRUE","FALSE","EB/7"
"cd195a49-870d-4668-9796-7500592a43cd","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/7","Pre-Pour Checklist"
"46fdf62f-8c55-48a1-a71d-d95860c1d265","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/7","Concrete Delivery Checklist"
"bf53ff86-0a96-40a4-8cbd-78003c2da7dc","","pass","","folder","TRUE","FALSE","EB/8"
"069d92f8-2a72-4393-8992-6c9769d8c531","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/8","Pre-Pour Checklist"
"f3e9d7cc-48aa-429c-8ab1-72e96197756e","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/8","Concrete Delivery Checklist"
"7c5a29d2-7b63-47f4-9610-af7ab8110ffb","","pass","","folder","TRUE","FALSE","EB/9"
"0548bd5b-db42-4175-8a47-d51ef1d5f8c1","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/9","Pre-Pour Checklist"
"7e2b9e85-1535-4738-afaf-a3c6aa8a2303","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/9","Concrete Delivery Checklist"
"c988ed1c-d151-4cb3-b032-a9599f8e49f0","","pass","","folder","TRUE","FALSE","EB/10"
"6c44f06c-37f0-44a7-9094-b75d92dc2863","","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","EB/10","Pre-Pour Checklist"
"6e6bed28-f843-4a5b-8a47-e4ff669b9b5b","","pass","Concrete Delivery Checklist","checklist","FALSE","FALSE","EB/10","Concrete Delivery Checklist"
"42bddd2a-af9d-4a6e-b663-f621a22ca885","","pass","","folder","TRUE","FALSE","TRANSPORT "
"a1625e85-2cca-4ad4-b996-0c1ca8716792","","pass","Transport Checklist","checklist","FALSE","FALSE","TRANSPORT ","Truck 1"
