ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Façade on Site Installation Progress"
,"Scope",,
,"Rows"
,,"Ground Floor",,"ground floor"
,,"Level 1",,"level 1"
,,"Level 2",,"level 2"
,,"Level 3",,"level 3"
,,"Level 4",,"level 4"
,,"Level 5",,"level 5"
,,"Level 6",,"level 6"
,"Columns"
,,"Prestart",,"prestart"
,,"Brackets QA",,"brackets qa"
,,"Gutter Splices QA",,"gutter splices qa"
,,"CW Panel QA",,"cw panel qa"
,,"Cruciform QA",,"cruciform qa"
,,"Smoke Seal QA",,"smoke seal qa"

