"Warnings","Id","Type","Name","Values","Prompting Name","Postfix","Usage Count","Resource Id"
"","19c4b6d1-863e-55c9-b037-36910b2389d0/2","checklist-flat","(Dental School) Add Pipework Pressure Test Sheet - Water/LPG","","Pipework Pressure Test Sheet -",,0,"b8efc79d-673a-4fa1-9b2c-ebe442bca291"
"","3a0365f7-d8cf-5281-8449-db2471d5f49b","checkpoint","Details Complete",,,,,
"","25e741cf-f7f4-45ab-b864-5ca34dd41538","note","Consent Number: ABA 2016-513",,,,,
"","f7244314-1608-4d09-8dcb-f175826e98ad","textbox","Location:",,,,,
"","983cd07f-9335-45af-9269-f758e47c7aa5","textbox","Drawing:",,,,,
"","5044b75f-1ed9-4ff5-affe-24dce170f3b7","textbox","Plumber:",,,,,
"","70b8ef99-3faf-4478-86e4-a2a971730f79","textbox","Date:",,,,,
"","ea42bb29-f001-5a6e-8d35-77d90be2e691","checkpoint","Testing",,,,,
"","ced3b0fd-cefc-4dea-aa31-0a2809e66ad5","note","Required Test Pressure: 1500kpa (min)",,,,,
"","90a413a2-d72b-4f60-b1d4-f20e3e794aa4","note","Required Test Time: 15 min (min) (as per NZBC G12 and ASNZ 3500)",,,,,
"","30ea53b8-0304-4ddd-81cf-6b655a96afc2","textbox","Date:",,,,,
"","8012a329-4fed-4aa3-a46f-02521fa3f6cb","textbox","Start Pressure:",,,"(kPa)",,
"","86bdf576-e22e-4052-a8bc-cc1cfa5e5420","textbox","Finish Pressure:",,,"(kPa)",,
"","42c21dbd-9bff-5051-bd1f-f936237b2320","checkpoint","Signoff",,,,,

"","2350e3b4-3f78-5bca-ae6a-c0c111b7723a/2","checklist-flat","(Dental School) Add Sanitary drainage/Suction Test Sheet","","Sanitary drainage/SuctionTest Sheet -",,0,"6bb65c56-81ca-44c5-b3fb-5757957d7ef5"
"","3a0365f7-d8cf-5281-8449-db2471d5f49b","checkpoint","Details Complete",,,,,
"","25e741cf-f7f4-45ab-b864-5ca34dd41538","note","Consent Number: ABA 2016-513",,,,,
"","f7244314-1608-4d09-8dcb-f175826e98ad","textbox","Location:",,,,,
"","983cd07f-9335-45af-9269-f758e47c7aa5","textbox","Drawing:",,,,,
"","5044b75f-1ed9-4ff5-affe-24dce170f3b7","textbox","Plumber:",,,,,
"","70b8ef99-3faf-4478-86e4-a2a971730f79","textbox","Date:",,,,,
"","ea42bb29-f001-5a6e-8d35-77d90be2e691","checkpoint","Testing",,,,,
"","ced3b0fd-cefc-4dea-aa31-0a2809e66ad5","note","Required Test Pressure: Static Head",,,,,
"","90a413a2-d72b-4f60-b1d4-f20e3e794aa4","note","Required Test Time: 10 min (min) (as per NZBC G12 and ASNZ 3500)",,,,,
"","30ea53b8-0304-4ddd-81cf-6b655a96afc2","textbox","Date:",,,,,
"","8012a329-4fed-4aa3-a46f-02521fa3f6cb","textbox","Water Level Check 1",,,,,
"","86bdf576-e22e-4052-a8bc-cc1cfa5e5420","textbox","Water Level Check 2",,,"(kPa)",,
"","42c21dbd-9bff-5051-bd1f-f936237b2320","checkpoint","Signoff",,,,,

"","8647de54-4e35-478d-b46a-5427a7043898/2","checklist-flat","Add Demolition Fixtures Checklist","","Room - ",,0,"e0e6963c-d756-403f-a806-6a07e04ab5c7"
"","b939799e-cb32-552b-b0ae-f77ae972662b","checkpoint","Details Completed",,,,,
"","704792d6-407f-47d2-a793-63b38e1bdebe","textbox","Location:",,,,,
