type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP004 - Coarse Aggregates for Asphalt Production,,,,,,ITP004 - Coarse Aggregates for Asphalt Production,,,,,,
section,1 Quality Assurance - Prior to Commencement of Works,,,,,,,,,,,,
checkpoint,1.01 - Apparent particle density,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,"Acceptance Criteria: Not less than 2,300 kg/m3",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a)",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.6.1,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.02 - Water absorption,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 2.0%,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.6.1,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.03 - Material finer than 0.075mm in aggregates (by washing),,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 2.0%,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b),,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.11.1,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.04 - Flakiness Index (nominal 10mm and larger),,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Max 20%,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.15,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.05 - Soudness (using sodium sulphate),,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 3% weighted loss,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b),,,,,,,,,,,,
label,"• Table 5104-1, 5130(a)",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.24,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.06 - Unsound and marginal stone content,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 5% unsound; not more than 10% marginal and unsound,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a)",,,,,,,,,,,,
label,• SP5104-1 ,,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: RC372.01,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.07 - Wet strength,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not less than 150 kN,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.22,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.08 - Wet/dry strength variation,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 30%,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,Inspection/ Test Method: AS 1141.22,,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.09 - Los Angeles value,,,,,,,,,,,,
label,Frequency: Within 1 month prior to commencement of works,,,,,,,,,,,,
label,Acceptance Criteria: Not more than 25% loss,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5104(b) ,,,,,,,,,,,,
label,"• Table 5104-1, 5130(a) ",,,,,,,,,,,,
label,• HP5130-1,,,,,,,,,,,,
label,"Inspection/ Test Method: AS 1141.23, B or K Grading",,,,,,,,,,,,
label,Record of conformity: NATA-accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Technical Manager,,,,,,,,,,,,
