type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP009 - Runway Grooving of Asphalt Surfacing,,,,,,ITP009 - Runway Grooving of Asphalt Surfacing,,,,,,
section,1 Trials,,,,,,,,,,,,
checkpoint,1.01 - Trial section of grooving in new asphalt surfacing,,,,,,,,,,,,
label,Frequency: Prior to the commencement of grooving works.,,,,,,,,,,,,
label,Acceptance Criteria: Construction of a trial section of grooving that complies with the requirements of Sections 2 and 3 of this ITP.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 7005,,,,,,,,,,,,
label,• HP7005-1,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,2 Grooving,,,,,,,,,,,,
checkpoint,2.01 - Commencement of grooving in new asphalt surfacing.,,,,,,,,,,,,
label,Frequency: Prior to the commencement of grooving works.,,,,,,,,,,,,
label,Acceptance Criteria: Grooving of asphalt surfacing commenced no less than 8 weeks after the completion of the construction of the asphalt surfacing.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 7004(a),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,"2.02 - Grooving of new asphalt surfacing as per specified dimensions, length, extent and shape.",,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,"• During grooving works, on at least 15 randomly selected grooves within a lot. Submission of groove lots to be within 48 hours of completion of a lot.",,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Width, depth and spacing of grooves are as indicated on Drawings.",,,,,,,,,,,,
label,• Floor of grooves are parallel to the finished surface of the pavement.,,,,,,,,,,,,
label,• Square grooves are square with sides perpendicular to the surface of the runway; trapezoidal grooves are a consistent trapezoidal shape and not round or semi-circle.,,,,,,,,,,,,
label,• The deviation from specified groove shape is not more than specified in Note 1.,,,,,,,,,,,,
label,"• Grooves are cut continuously across the width of the pavement and are cut to extend over the length of the pavement, as shown on the Drawings.",,,,,,,,,,,,
