type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP008 - Pavement Marking,,,,,,ITP008 - Pavement Marking,,,,,,
section,1 Preliminary,,,,,,,,,,,,
checkpoint,1.01 - Supply of paints for pavement marking.,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• Not less than 1 month prior to the commencement of pavement marking.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Submission of conformance test reports for the proposed paints to the Contract Administrator which demonstrate compliance to Section 2 of this ITP.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 7103(b),,,,,,,,,,,,
label,• HP7103-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,2 Paint Properties,,,,,,,,,,,,
checkpoint,2.01 - Runway marking paint and taxiway and apron marking paint type and packaging,,,,,,,,,,,,
label,Frequency: Prior to the commencement of pavement marking works.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Paint is pre-mixed acrylic co-polymer water based paint, packaged in 20 L containers.",,,,,,,,,,,,
label,• Containers are of durable construction and labelled with manufacturer's name and a complete description of the contents.,,,,,,,,,,,,
label,"• Paint is of a consistency suitable for application by brushing and spraying, and capable of being used as supplied or diluted with water.",,,,,,,,,,,,
label,• Dilution information and coverage is stated by the manufacturer on the packaging.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 7103(a)(c)(d)(h),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,2.02 - Condition upon delivery,,,,,,,,,,,,
label,"Frequency: Prior to the commencement of pavement marking works, at the time of delivery of paint.",,,,,,,,,,,,
label,Acceptance Criteria: Hand stirring of the paint readily produces a smooth uniform product.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 7103(e),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,"2.03 - Material properties: pick-up time, colour, bleeding, durability, and keeping properties.",,,,,,,,,,,,
label,Frequency: Prior to the commencement of pavement marking works.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Information provided by the manufacturer or demonstrated by trial indicates:,,,,,,,,,,,,
label,– The no-pick-up-time of the paint does not exceed 30 minutes.,,,,,,,,,,,,
label,"– The colour of the paint conforms to AS 2700, shows a high visibility against the pavement, is the correct colour as indicated on Drawings, does not react with bitumen and will not dull, fade or discolour within a period of 6 months after application. ",,,,,,,,,,,,
label,– The paint when stored in original sealed containers retains all specified properties for a period of not less than 12 months.,,,,,,,,,,,,
label,"– The paint shows resistance to weathering, stripping, abrasion, flaking, erosion, jetblast and scuffing under normal aircraft operations.",,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 7103(f)(g)(i)(j)(k),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,2.04 - Paint surface finish,,,,,,,,,,,,
label,Frequency: Prior to the commencement of pavement marking works.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• The dried surface of painted areas on aircraft aprons is not slippery under foot. ,,,,,,,,,,,,
label,• The surface finish of the dried film of paint is a non-gloss matte finish.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 7103(l)(m),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
section,3 Trials,,,,,,,,,,,,
checkpoint,3.01 - Demonstration of process and equipment for removal of pavement paint markings.,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• Not less than 1 working day prior to the commencement of full-scale paint removal works.,,,,,,,,,,,,
label,• Prior notice (24 hours minimum) of trial to be given to Contract Administrator.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• A trial conducted in an area agreed with the Contract Administrator of not less than 5 m2 demonstrates removal of pavement marking without chemical methods, without causing disintegration of the pavement surface and in compliance with the requirements of Section 4 of this ITP.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 7104(f),,,,,,,,,,,,
label,• HP7104-1,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,4 Removal of Pavement Paint Markings,,,,,,,,,,,,
checkpoint,4.01 - Plant performance check,,,,,,,,,,,,
label,Frequency: Prior to the commencement of paint marking removal work in each work period.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• All plant is in working order, free from leaks, and capable of removing all paint from the pavement surface without filling voids with debris, removing joint sealants or otherwise damaging the pavement surface.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 7104(b)(c),,,,,,,,,,,,
label,• WP7104-1,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: Daily plant verification checklist,,,,,,,,,,,,
label,WP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,4.02 - Weather conditions,,,,,,,,,,,,
label,Frequency: Prior to the commencement of paint marking removal work in each work period.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
