type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP001 - Asphalt Production of Base Mixes,,,,,,ITP001 - Asphalt Production of Base Mixes,,,,,,
section,1 Mix Production,,,,,,,,,,,,
checkpoint,1.01 - Temperature of bitumen,,,,,,,,,,,,
label,Frequency: Not less than once per work period. To be recorded at the time of taking bitumen volumetric readings.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,• Temperature to be within the below range for the relevant bitumen type when introduced into the mixer:,,,,,,,,,,,,
label,– Residual bitumen C320: 140-165°C,,,,,,,,,,,,
label,– Polymer modified bitumen: 160-175°C,,,,,,,,,,,,
label,– Polymer modified bitumen with warm mix additives: 140-175°C,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5116(f),,,,,,,,,,,,
label,Inspection/ Test Method: Asphalt plant temperature probe,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.02 - Temperature of aggregates,,,,,,,,,,,,
label,Frequency: Not less than once per work period.,,,,,,,,,,,,
label,Acceptance Criteria: Temperature to be not more than 10°C above or more than 15°C below the temperature of the bitumen.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5116(f),,,,,,,,,,,,
label,Inspection/ Test Method: Asphalt plant temperature probe,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.03 - Temperature of asphalt,,,,,,,,,,,,
label,Frequency: Not less than once per work period.,,,,,,,,,,,,
label,Acceptance Criteria: Temperature to be within 10°C of the job mix temperature,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5116(f),,,,,,,,,,,,
label,Inspection/ Test Method: Asphalt plant temperature probe,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.04 - Daily bitumen usage,,,,,,,,,,,,
label,Frequency: Once per work period for each production run for each nominal size of asphalt mix.,,,,,,,,,,,,
label,Acceptance Criteria: To be reported.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5131(e),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection of plant digital readouts before and after each production run,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.05 - Supplementary bitumen content determination,,,,,,,,,,,,
label,Frequency: Once per work period for each nominal size of asphalt mix.,,,,,,,,,,,,
label,Acceptance Criteria: Not less than the job bitumen content.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 5131(e),,,,,,,,,,,,
label,• Table 5116-7,,,,,,,,,,,,
label,Inspection/ Test Method: Calculation: Daily bitumen usage divided by mass of asphalt produced for each mix type.,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.06 - Mass of asphalt produced,,,,,,,,,,,,
label,Frequency: Once per work period for each nominal size of asphalt mix.,,,,,,,,,,,,
label,Acceptance Criteria: To be reported.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-001 5131(e),,,,,,,,,,,,
label,Inspection/ Test Method: Inspection of plant digital readouts,,,,,,,,,,,,
label,Record of conformity: Production records,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Plant Operator,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
section,2 Bitumen properties,,,,,,,,,,,,
checkpoint,2.01 - Viscosity at 165°C,,,,,,,,,,,,
label,"Frequency: One test prior to each work period (for PMB) or per 250 t of bitumen used (for residual class C320), completed no later than 1 hour prior to start of asphalt production.",,,,,,,,,,,,
label,Acceptance Criteria: To be reported.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-002 5131(c),,,,,,,,,,,,
label,• Table SP5131-3 ,,,,,,,,,,,,
