type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP010 - Prime Coats and Primer Seals,,,,,,ITP010 - Prime Coats and Primer Seals,,,,,,
section,1 Preliminary,,,,,,,,,,,,
checkpoint,1.01 - Calibration of bitumen sprayers.,,,,,,,,,,,,
label,Frequency: Prior to the commencement of works.,,,,,,,,,,,,
label,Acceptance Criteria: Each bitumen sprayer used on the works has a current certificate of calibration.,,,,,,,,,,,,
label,Reference Documents: GHD-DD-SPC-002 5004(b),,,,,,,,,,,,
label,"Inspection/ Test Method: AP-T181/11, AGPT/T530-536",,,,,,,,,,,,
label,Record of conformity: Calibration certificate,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
section,2 Compliance certification,,,,,,,,,,,,
checkpoint,2.01 - Blinding sand.,,,,,,,,,,,,
label,Frequency: Within thirty (30) days of notification of the award of the Contract.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Sand is crushed or natural sand free from significant amounts of clay, organic matter, water or other foreign material and is non-plastic. ",,,,,,,,,,,,
label,"• The sand contains only sound, hard, dense, durable and clean particles. The particle size distribution of sand is within the below limits: ",,,,,,,,,,,,
label,6.7: 100,,,,,,,,,,,,
label,4.75: 85-100,,,,,,,,,,,,
label,1.18: 40-100,,,,,,,,,,,,
label,0.425: 10-50,,,,,,,,,,,,
label,0.075: 0-5,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,"• GHD-DD-SPC-002 5003(e), Table 5003-2",,,,,,,,,,,,
label,• HP5013-1,,,,,,,,,,,,
label,"Inspection/ Test Method: Inspection, AS 1289.3.3.1 (wet preparation)",,,,,,,,,,,,
label,Record of conformity: NATA accredited test certificate,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,2.02 - Aggregates: wet strength,,,,,,,,,,,,
label,Frequency: Within thirty (30) days of notification of the award of the Contract.,,,,,,,,,,,,
label,Acceptance Criteria: 150 kN minimum,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,"• GHD-DD-SPC-002 5003(f), Table 5003-3",,,,,,,,,,,,
label,• HP5013-1,,,,,,,,,,,,
