type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP005 - Cold Planing,,,,,,ITP005 - Cold Planing,,,,,,
section,1 Preliminary,,,,,,,,,,,,
checkpoint,1.01 - List of plant and equipment,,,,,,,,,,,,
label,Frequency: At least ten (10) working days prior to the commencement of cold planing operations.,,,,,,,,,,,,
label,Acceptance Criteria: Submission to Contract Administrator of a list of all plant and equipment to be used for the cold planing work.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3903(e),,,,,,,,,,,,
label,• WP3903-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,WP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,"1.02 - Proposal to Contract Administrator to texture, profile and mill in advance of asphalt overlay work in a work area closed to aircraft operations between work periods.",,,,,,,,,,,,
label,Frequency: Prior to the commencement of cold planing operations in the work area.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Submission to Contract Administor of complete program and plan of texturing, profiling and milling and asphalt overlay work proposed in the work area.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3907(a),,,,,,,,,,,,
label,• HP3904-1,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,"1.03 - Proposal to Contract Administrator to texture, profile and mill in advance of asphalt overlay work in a work area open to aircraft operations between work periods.",,,,,,,,,,,,
label,Frequency: At least ten (10) working days prior to the commencement of cold planing operations in the work area.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Submission to Contract Administrator of a proposal for a full scale demonstration to produce a textured surface safe for aircraft operations in that work area, date of the proposed demonstration, schedule and plan of texturing and asphalt overlay work proposed in the work area.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3907(b),,,,,,,,,,,,
label,• HP3904-2,,,,,,,,,,,,
label,Inspection/ Test Method: Document,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.04 - Plant verification checklist,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• Prior to the commencement of cold planing operations in each work period. Prior notice (60 minutes) of commencement time of cold planing plant verification process to be given to the Contract Administrator. ,,,,,,,,,,,,
label,"Acceptance Criteria: Verification that plant is in full working order and free from leaks of oil, hydraulic fluid, fuel and water.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3903(f),,,,,,,,,,,,
label,• HP3903-1,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: Plant verification checklist,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.05 - Plant performance check,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• At the commencement of cold planing operations in each work period. Prior notice (30 minutes) of commencement time of cold planing to be given to the Contract Administrator. ,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Verification that the machine cutters, forward speed and method of operation are removing asphalt to the required depth, producing the required surface texture and leaving a cold planed surface free of ridges.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3906,,,,,,,,,,,,
label,• WP3906-1,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,WP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
checkpoint,1.06 - Commencement of cold planing works,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,• Prior to the commencement of cold planing operations in a work area that must be covered with asphalt before the end of the work period.,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Written notice to the Contract Administrator that all plant, equipment, labour, including that required for the placing, compaction and finishing of asphalt, are available and ready on-site and supply of asphalt for the work is confirmed even in the event of an unexpected breakdown of the asphalt mixing plant.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3905,,,,,,,,,,,,
label,• HP3905-1,,,,,,,,,,,,
label,Inspection/ Test Method: Notification,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,2 Trials,,,,,,,,,,,,
checkpoint,2.01 - Commencement of texturing trial,,,,,,,,,,,,
label,Frequency: Prior (48 hours) notice to the Contract Administrator of the commencement time of the texturing trial.,,,,,,,,,,,,
label,Acceptance Criteria: All resources required for the texturing trial are available and all arrangements required for the trial have been made.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3907(d),,,,,,,,,,,,
label,• HP3907-1,,,,,,,,,,,,
label,Inspection/ Test Method: Notification,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,2.02 - Inspection of texturing trial,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,"• At the completion of texturing trial, prior to the commencement of application of tack coat and asphalt pavement at the trial area. Prior notice (30 minutes) of inspection to be given to the Contract Administrator. ",,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Construction of a trial section, comprising a single pass of the cold planing machine not less than 25m long, that incorporates all cold planing processes to be carried out during the work.",,,,,,,,,,,,
label,"• Demonstration that the cold planing plant, operators and method proposed for texturing are capable of producing a suitable textured surface.",,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3907(d),,,,,,,,,,,,
label,• HP3907-2,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: ITP,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,2.03 - Selection of textured surface reference area.,,,,,,,,,,,,
label,Frequency: ,,,,,,,,,,,,
label,"• At the completion of texturing trial, prior to the commencement of application of tack coat and asphalt pavement at the trial area.",,,,,,,,,,,,
label,• Prior notice (30 minutes) of inspection to be given to the Contract Administrator. ,,,,,,,,,,,,
label,Acceptance Criteria: ,,,,,,,,,,,,
label,"• Close up photographs framed at 300mm, incorporating a tape/ruler showing length.",,,,,,,,,,,,
label,• One direct overhead view and one view with camera resting on the surface pointing in the direction of the tooth cuts.,,,,,,,,,,,,
label,Reference Documents: ,,,,,,,,,,,,
label,• GHD-DD-SPC-001 3907(d),,,,,,,,,,,,
label,• HP3907-3,,,,,,,,,,,,
label,Inspection/ Test Method: Inspection,,,,,,,,,,,,
label,Record of conformity: Photos and typical measurements of the Texture Reference Area,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,Responsibility: Quality Manager,,,,,,,,,,,,
