resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
,step,,,Stage 2 (B02),,,,,,,,,,,,,,
,step,,,,Foundation,,,,,,,,,,,,,
,step,,,,,Ground Level,,,,,,,,,,,,
,step,,,,,,Area A,,,,,,,,,,,
F - S - Underslab plumbing,checklist,,,,,,,Underslab Plumbing,,,,,,,,,,
F - S - Backfilling,checklist,,,,,,,Backfilling,,,,,,,,,,
,step,,,,,,Area B,,,,,,,,,,,
F - S - Underslab plumbing,checklist,,,,,,,Underslab Plumbing,,,,,,,,,,
F - S - Backfilling,checklist,,,,,,,Backfilling,,,,,,,,,,
,step,,,,Fitout,,,,,,,,,,,,,
,step,,,,,Ground Level,,,,,,,,,,,,
,step,,,,,,Area A,,,,,,,,,,,
,step,,,,,,,Garage,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Slot Drains First Fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Slot Drains Sceond Fix,,,,,,,,,
,step,,,,,,,Service Rooms (Bins Room),,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,Comms Room,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,Valve Room,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,Area B,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 30,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 29,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 28,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 27,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 26,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,G 25,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,,
,step,,,,,,Area A,,,,,,,,,,,
,step,,,,,,,Common Areas,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 136,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 135,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 134,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 133,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
