Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,Site QA,,,,,,
,Rows,,,,,,,,,
,,Rough-In,grouping,Rough-In,,,,,,
,,Basement 3,,Site QA,Rough-In,Basement 3,,,,
,,Basement 2,,Site QA,Rough-In,Basement 2,,,,
,,Basement 1,,Site QA,Rough-In,Basement 1,,,,
,,Lower Ground Floor,,Site QA,Rough-In,Lower Ground Floor,,,,
,,Ground Level,,Site QA,Rough-In,Ground Level,,,,
,,BLK-A,,Site QA,Rough-In,BLK-A,,,,
,,BLK-B,,Site QA,Rough-In,BLK-B,,,,
,,BLK-C,,Site QA,Rough-In,BLK-C,,,,
,,BLK-D,,Site QA,Rough-In,BLK-D,,,,
,,BLK-E,,Site QA,Rough-In,BLK-E,,,,
,,Fit-Off,grouping,Fit-Off,,,,,,
,,Basement 3,,Site QA,Fit-Off,Basement 3,,,,
,,Basement 2,,Site QA,Fit-Off,Basement 2,,,,
,,Basement 1,,Site QA,Fit-Off,Basement 1,,,,
,,Lower Ground Level,,Site QA,Fit-Off,Lower Ground Level,,,,
,,Ground Level,,Site QA,Fit-Off,Ground Level,,,,
,,BLK-A,,Site QA,Fit-Off,BLK-A,,,,
,,BLK-B,,Site QA,Fit-Off,BLK-B,,,,
,,BLK-C,,Site QA,Fit-Off,BLK-C,,,,
,,BLK-D,,Site QA,Fit-Off,BLK-D,,,,
,,BLK-E,,Site QA,Fit-Off,BLK-E,,,,
,,Commissioning,grouping,Commissioning,,,,,,
,,BLK-A,,Site QA,Commissioning,BLK-A,,,,
,,BLK-B,,Site QA,Commissioning,BLK-B,,,,
,,BLK-C,,Site QA,Commissioning,BLK-C,,,,
,,BLK-D,,Site QA,Commissioning,BLK-D,,,,
,,BLK-E,,Site QA,Commissioning,BLK-E,,,,
,,Tower 2,,Site QA,Commissioning,Tower 2,,,,
,,Tower 3,,Site QA,Commissioning,Tower 3,,,,
,,Tower 4,,Site QA,Commissioning,Tower 4,,,,
,,Tower 5,,Site QA,Commissioning,Tower 5,,,,
,,Tower 6,,Site QA,Commissioning,Tower 6,,,,
,,Penetrations,grouping,Penetrations,,,,,,
,,Basement 2,,Site QA,Penetrations,Basement 2,,,,
,,Basement 1,,Site QA,Penetrations,Basement 1,,,,
,,Lower Ground Floor,,Site QA,Penetrations,Lower Ground Floor,,,,
,,Ground Floor,,Site QA,Penetrations,Ground Floor,,,,
,,Level 01,,Site QA,Penetrations,Level 01,,,,
,,Level 02,,Site QA,Penetrations,Level 02,,,,
,,Level 03,,Site QA,Penetrations,Level 03,,,,
,,Level 04,,Site QA,Penetrations,Level 04,,,,
,,Level 05,,Site QA,Penetrations,Level 05,,,,
,,Level 06,,Site QA,Penetrations,Level 06,,,,
,,Level 07,,Site QA,Penetrations,Level 07,,,,
,,Level 08,,Site QA,Penetrations,Level 08,,,,
,Columns,,,,,,,,,
,,Site QA,,Site QA,,,,,,
,,,,,,,,,,
A/C Commissioning,,,,,,,,,,
,Scope,,,Site QA,,,,,,
,Rows,,,,,,,,,
,,BLK-A,grouping,BLK-A,,,,,,
,,BLK-A - Level 3 - A311,,Site QA,Commissioning,BLK-A,Level 3,A311,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A312,,Site QA,Commissioning,BLK-A,Level 3,A312,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A313,,Site QA,Commissioning,BLK-A,Level 3,A313,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A314,,Site QA,Commissioning,BLK-A,Level 3,A314,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A315,,Site QA,Commissioning,BLK-A,Level 3,A315,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A316,,Site QA,Commissioning,BLK-A,Level 3,A316,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A317,,Site QA,Commissioning,BLK-A,Level 3,A317,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A318,,Site QA,Commissioning,BLK-A,Level 3,A318,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A319,,Site QA,Commissioning,BLK-A,Level 3,A319,A/C Checklist Commissioning [F],
,,BLK-A - Level 3 - A320,,Site QA,Commissioning,BLK-A,Level 3,A320,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A411,,Site QA,Commissioning,BLK-A,Level 4,A411,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A412,,Site QA,Commissioning,BLK-A,Level 4,A412,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A413,,Site QA,Commissioning,BLK-A,Level 4,A413,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A414,,Site QA,Commissioning,BLK-A,Level 4,A414,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A415,,Site QA,Commissioning,BLK-A,Level 4,A415,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A416,,Site QA,Commissioning,BLK-A,Level 4,A416,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A417,,Site QA,Commissioning,BLK-A,Level 4,A417,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A418,,Site QA,Commissioning,BLK-A,Level 4,A418,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A419,,Site QA,Commissioning,BLK-A,Level 4,A419,A/C Checklist Commissioning [F],
,,BLK-A - Level 4 - A420,,Site QA,Commissioning,BLK-A,Level 4,A420,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A511,,Site QA,Commissioning,BLK-A,Level 5,A511,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A512,,Site QA,Commissioning,BLK-A,Level 5,A512,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A513,,Site QA,Commissioning,BLK-A,Level 5,A513,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A514,,Site QA,Commissioning,BLK-A,Level 5,A514,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A515,,Site QA,Commissioning,BLK-A,Level 5,A515,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A516,,Site QA,Commissioning,BLK-A,Level 5,A516,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A517,,Site QA,Commissioning,BLK-A,Level 5,A517,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A518,,Site QA,Commissioning,BLK-A,Level 5,A518,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A519,,Site QA,Commissioning,BLK-A,Level 5,A519,A/C Checklist Commissioning [F],
,,BLK-A - Level 5 - A520,,Site QA,Commissioning,BLK-A,Level 5,A520,A/C Checklist Commissioning [F],
,,BLK-A - Level 6 - A611,,Site QA,Commissioning,BLK-A,Level 6,A611,A/C Checklist Commissioning [F],
,,BLK-A - Level 6 - A612,,Site QA,Commissioning,BLK-A,Level 6,A612,A/C Checklist Commissioning [F],
,,BLK-A - Level 6 - A613,,Site QA,Commissioning,BLK-A,Level 6,A613,A/C Checklist Commissioning [F],
,,BLK-A - Level 6 - A614,,Site QA,Commissioning,BLK-A,Level 6,A614,A/C Checklist Commissioning [F],
,,BLK-A - Level 6 - A615,,Site QA,Commissioning,BLK-A,Level 6,A615,A/C Checklist Commissioning [F],
