resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,,,,
,,,step,,,Job Details,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,Site QA,,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,Rough-In,,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,Basement 3,,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B3.01,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B3.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Stair press. Ductwork,,,,,,,,,,,,,,,,,,,
,,,step,,,,,Basement 2,,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.01,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.02,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.03,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.04,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.05,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.06,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B2.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B2.05,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B3.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-B2.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-C-R.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-C-R.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B2.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B3.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B2.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B2.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B2.03,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B2.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B2.03,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Stair Pressurization Ductwork ,,,,,,,,,,,,,,,,,,,
,,,step,,,,,Basement 1,,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.01,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.02,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.03,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-A.B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-A.B1.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LEF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,PSF-01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B2.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B2.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B1.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPEF-04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.03,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.05,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.06,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.07,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.08,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B1.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B1.03,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,GEF-B1.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,EF-GA-01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,EF-GA-02,,,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,Air conditioning to Main switch Room (AC-B.01),,,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,Air conditioning to Main switch Room (AC-B.02),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Stair Pressurization Ductwork ,,,,,,,,,,,,,,,,,,,
,,,step,,,,,Lower Ground Floor,,,,,,,,,,,,,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-LG-01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-LG.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Bin Room Ventilation Via Chute,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Loading Dock Exhaust ,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Garbage Exhaust ,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-LG.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-B1.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-LG.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-LG.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-LG.03,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-LG.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPEF-01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-LG-01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-LG-02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-LG.02,,,,,,,,,,,,,,,,,,,
,,,step,,,,,Ground Level,,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-A-G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Loading Exhaust (BL.A),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Kitchen Exhaust Air (BL-A),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Bin Room Ventilation Via Chute (BL-B),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Garbage Exhaust (BL-B),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Exhaust Air (BL-B),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-B-G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-B-G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Kitchen Exhaust Air (BL-C),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Relief Air for Stair (BL-C),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Exhaust Air (BL-C),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Kitchen Exhaust (BL-D),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-D-G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Lift Relief Exhaust (BL-D),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-D-G.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,OAF-G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,OAF-G.02,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Outside Air (BL-D),,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,FCU-G.01,,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,FCU-G.02,,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,FCU-G.03,,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,FCU-G.04,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-E.G.01,,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Garbage Exhaust.1 (BL-E),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Garbage Exhaust.2 (BL-E),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Loading Dock Exhaust (BL-E),,,,,,,,,,,,,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,Kitchen Exhaust Duct (BL-E),,,,,,,,,,,,,,,,,,,
,,,step,,,,,BLK-A,,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,Level 3,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A311,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A312,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A313,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A314,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A315,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A316,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A317,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A318,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A319,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A320,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Ceiling Closure,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A311,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A312,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A313,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A314,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A315,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A316,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A317,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A318,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A319,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A320,,,,,,,,,,,,,,,,,
Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,,,Common Area,,,,,,,,,,,,,,,,,,
,,,step,,,,,,Level 4,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A411,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A412,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A413,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A414,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A415,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A416,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A417,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A418,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A419,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A420,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Ceiling Closure,,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A411,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A412,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A413,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A414,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A415,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A416,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A417,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A418,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A419,,,,,,,,,,,,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A420,,,,,,,,,,,,,,,,,
Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,,,Common Area,,,,,,,,,,,,,,,,,,
,,,step,,,,,,Level 5,,,,,,,,,,,,,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A511,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A512,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A513,,,,,,,,,,,,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A514,,,,,,,,,,,,,,,,,
