Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Overall Progress,,,,,,,,
,Scope,,,Site QA,,,,
,Rows,,,,,,,
,,Parliament Station,,Parliament Station,Site QA,,,
,,Flagstaff Station,,Flagstaff Station,Site QA,,,
,Columns,,,,,,,
,,Upper Platforms (1 & 2),,Upper Platforms (1 & 2),,,,
,,Lower Platforms (3 & 4),,Lower Platforms (3 & 4),,,,
,,Upper Sub Platforms (1 & 2),,Upper Sub Platforms (1 & 2),,,,
,,Lower Sub Platforms (3 & 4),,Lower Sub Platforms (3 & 4),,,,
,,Booking Halls and Escalators ,,Booking Halls and Escalators ,,,,
,,Plantrooms,,Plantrooms,,,,
,,Commissioning,,Commissioning.,,,,
,,,,,,,,
Wet Fire - ENT-004 - Sprinkler Rough In and Fit Off,,,,,,,,
,Scope,,,Site QA,,,,
,Rows,,,,,,,
,,Parliament Station - Upper Platforms (1 & 2),grouping,Parliament Station - Upper Platforms (1 & 2),,,,
,,Sprinkler Rough In & Fit Off Platform 1 North Valve 16,,Sprinkler Rough In & Fit Off Platform 1 North Valve 16,Wet Fire,Upper Platforms (1 & 2),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 1 South Valve 17,,Sprinkler Rough In & Fit Off Platform 1 South Valve 17,Wet Fire,Upper Platforms (1 & 2),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 2 North Valve 18,,Sprinkler Rough In & Fit Off Platform 2 North Valve 18,Wet Fire,Upper Platforms (1 & 2),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 2 South Valve 19,,Sprinkler Rough In & Fit Off Platform 2 South Valve 19,Wet Fire,Upper Platforms (1 & 2),Parliament Station,Site QA
,,Parliament Station - Lower Platforms (3 & 4),grouping,Parliament Station - Lower Platforms (3 & 4),,,,
,,Sprinkler Rough In & Fit Off Platform 3 North Valve 20,,Sprinkler Rough In & Fit Off Platform 3 North Valve 20,Wet Fire,Lower Platforms (3 & 4),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 3 South Valve 21,,Sprinkler Rough In & Fit Off Platform 3 South Valve 21,Wet Fire,Lower Platforms (3 & 4),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 4 North Valve 22,,Sprinkler Rough In & Fit Off Platform 4 North Valve 22,Wet Fire,Lower Platforms (3 & 4),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 4 South Valve 23,,Sprinkler Rough In & Fit Off Platform 4 South Valve 23,Wet Fire,Lower Platforms (3 & 4),Parliament Station,Site QA
,,Parliament Station - Upper Sub Platforms (1 & 2),grouping,Parliament Station - Upper Sub Platforms (1 & 2),,,,
,,Sprinkler Rough In & Fit Off Platform 1 Valve 8,,Sprinkler Rough In & Fit Off Platform 1 Valve 8,Wet Fire,Upper Sub Platforms (1 & 2),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 2 Valve 9,,Sprinkler Rough In & Fit Off Platform 2 Valve 9,Wet Fire,Upper Sub Platforms (1 & 2),Parliament Station,Site QA
,,Parliament Station - Lower Sub Platforms (3 & 4),grouping,Parliament Station - Lower Sub Platforms (3 & 4),,,,
,,Sprinkler Rough In & Fit Off Platform 3 Valve 14,,Sprinkler Rough In & Fit Off Platform 3 Valve 14,Wet Fire,Lower Sub Platforms (3 & 4),Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off Platform 4 Valve 15,,Sprinkler Rough In & Fit Off Platform 4 Valve 15,Wet Fire,Lower Sub Platforms (3 & 4),Parliament Station,Site QA
,,Parliament Station - Booking Halls and Escalators,grouping,Parliament Station - Booking Halls and Escalators,,,,
,,Sprinkler Rough In & Fit Off - Valve 1 South Booking Hall,,Sprinkler Rough In & Fit Off - Valve 1 South Booking Hall,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 3 South Escalator Upper P4,,Sprinkler Rough In & Fit Off - Valve 3 South Escalator Upper P4,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 4 South Escalator Upper & Motor Room P4,,Sprinkler Rough In & Fit Off - Valve 4 South Escalator Upper & Motor Room P4,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 5 South Sub Escalator P4,,Sprinkler Rough In & Fit Off - Valve 5 South Sub Escalator P4,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 6 Upper Concourse & Escalator P3 & P4 Decline,,Sprinkler Rough In & Fit Off - Valve 6 Upper Concourse & Escalator P3 & P4 Decline,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 7 Lower Concourse Plantroom P3&4,,Sprinkler Rough In & Fit Off - Valve 7 Lower Concourse Plantroom P3&4,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 10 Escalator Motor room P3,,Sprinkler Rough In & Fit Off - Valve 10 Escalator Motor room P3,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 11 South Lower Concourse above P3 Escalator,,Sprinkler Rough In & Fit Off - Valve 11 South Lower Concourse above P3 Escalator,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 12 Sub Escalator P3,,Sprinkler Rough In & Fit Off - Valve 12 Sub Escalator P3,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 13 Concourse Plantroom P3 Escalator,,Sprinkler Rough In & Fit Off - Valve 13 Concourse Plantroom P3 Escalator,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 24 Lower Concourse North Escalator Decline P2,,Sprinkler Rough In & Fit Off - Valve 24 Lower Concourse North Escalator Decline P2,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 25 Sub Escalator P2,,Sprinkler Rough In & Fit Off - Valve 25 Sub Escalator P2,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 26 Concourse Plantroom P2 escalator,,Sprinkler Rough In & Fit Off - Valve 26 Concourse Plantroom P2 escalator,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 27 Concourse Plantroom P1&2,,Sprinkler Rough In & Fit Off - Valve 27 Concourse Plantroom P1&2,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 28 Concourse Above escalator P1,,Sprinkler Rough In & Fit Off - Valve 28 Concourse Above escalator P1,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 29 Sub Escalator P1,,Sprinkler Rough In & Fit Off - Valve 29 Sub Escalator P1,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
,,Sprinkler Rough In & Fit Off - Valve 31 North Booking Hall,,Sprinkler Rough In & Fit Off - Valve 31 North Booking Hall,Wet Fire,Booking Halls and Escalators,Parliament Station,Site QA
