resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Job Details,,,checklist,,,Job Details,,,,,,,,
,,,step,,,Site QA,,,,,,,,
,,,step,,,,Rough-In,,,,,,,
,,,step,,,,,Level-13,,,,,,
Duct Installation Checklist [C],Sign Off,,folder-with-checklists,,,,,,TEF-RES-L13-01,,,,,
Duct Installation Checklist [C],Sign Off,,folder-with-checklists,,,,,,TEF-13-01,,,,,
Duct Installation Checklist [C],Sign Off,,folder-with-checklists,,,,,,GEF-L13-1,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,HE-PUMP-01-L13,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1A,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1B,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1C,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1D,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1E,,,,,
Wall Closure Checklist 1 Rough In [A],Ceiling Closure Checklist 1 Rough In [B],Sign Off,folder-with-checklists,,,,,,FC-13.1F,,,,,
,,,step,,,,,Level-14,,,,,,
,,,step,,,,,,Apartment Wall Closure,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1401,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1402,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1403,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1405,,,,
,,,step,,,,,,Apartment Ceiling Closure,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1401,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1402,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1403,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1405,,,,
,,,step,,,,,Level-15,,,,,,
,,,step,,,,,,Apartment Wall Closure,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1501,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1502,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1503,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1505,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1506,,,,
,,,step,,,,,,Apartment Ceiling Closure,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1501,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1502,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1503,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1505,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1506,,,,
,,,step,,,,,Level-16,,,,,,
,,,step,,,,,,Apartment Wall Closure,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1601,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1602,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1603,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1605,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1606,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1607,,,,
,,,step,,,,,,Apartment Ceiling Closure,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1601,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1602,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1603,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1605,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1606,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,1607,,,,
,,,step,,,,,Level-17,,,,,,
,,,step,,,,,,Apartment Wall Closure,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1701,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1702,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1703,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1705,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1706,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,1707,,,,
