type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
checklist-sectioned,DS2672-ITP-S116 - Wall And Slab Installation - Rev 2,itp,,,,Yes,DS2672-ITP-S116 - Wall And Slab Installation - Rev 2,93a78a01-86f2-4551-9c67-5fd10b389d49,,,,,,,,,
checkpoint-group,5.04 Placement and Compaction of Fill General,,,,,,,,,,,,,,,,
checkpoint-status,5.04.01 - Retaining Wall foundation Inspection,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Excavated natural ground in foundation area of retaining wall upgrade/extension works prior to placement of fill or concrete must be inspected by the Engineer prior to further work being carried out in the area.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.3 ,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-group,8.01 Concrete Subgrade Preparation,,,,,,,,,,,,,,,,
checkpoint-status,8.01.01 - Wall Type 1 Subgrade Preparation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Concrete of the existing dam surface to be water blast cleaned and roughened to provide NZS3109 Type B Construction Joint.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - GS - 1.1,,,,,,,,,,,,,,,,
label,Verifying Document - Approved Surface,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,8.01.02 - Wall Type 2 Subgrade Preparation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Existing concrete under and to the sides of the foundation to be thoroughly water blasted back to sound concrete.,,,,,,,,,,,,,,,,
