"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79274318-4500-4040-97b7-9229f4c6fc0c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f1f0713c-04ae-4a4e-9feb-cdc1628d0e62","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Retention Piles"
"8877135f-87ee-4042-9c62-1c2402fe2d27","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)"
"aba0ea19-78b1-4c36-a9b2-8fb41248157e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200"
"c00fc49c-e5bb-41be-8da4-0f0cf82fdb36","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP154 - Type E5"
"42a81fe5-fe4b-44d6-9186-46cd33c6aee1","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP155 - Type E5"
"55e33375-96a0-4241-ae38-3e5406467a8d","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP156 - Type E5"
"1bd53520-55a3-4afb-a4d8-65c2b76a4b06","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP157 - Type E5"
"db583759-6b0d-43b6-ae8f-0b9741bdba20","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP158 - Type E5"
"dcb263ac-7063-4b67-8686-ca97f2549919","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP159 - Type E5"
"bd4abdab-6312-4d56-a2e5-ae3b976f5b01","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP160 - Type E5"
"718ce449-c07b-46f9-a1d2-75bb7a8ce9ec","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP161 - Type E5"
"8bdd31db-406c-46da-b45f-2569c698e8ed","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP162 - Type E5"
"ecfabe2a-0c45-4eba-a5da-35ace9c57219","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP163 - Type E5"
"c018f23a-ad2d-4e29-a197-1922aaf709ab","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP164 - Type E5"
"1bde477d-bffc-4d39-a4af-d9a8ed6dc757","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP165 - Type E5"
"2a04b6d5-12c7-45c8-863e-5f3875d5e02c","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP166 - Type E5"
"a1cb18ea-bad1-47e6-9cce-54c2722f39d9","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP167 - Type E5"
"6118c90a-60a0-4dbe-8ec3-f553ee79fb8c","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP168 - Type E5"
"0dbc259c-fb12-4bd6-82b6-8e2d51e04676","","checklist-sectioned","pass","4102325623ec7e877cba0a406e5f8454a649e7b66ff212307eabadb46192fcbc","checklist","FALSE","FALSE","Site QA","Retention Piles","Zone 1 (RP154-RP289)","RP154-RP200","RP169 - Type E5"
