type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,INF-HSEQ CC0375-ITP-014 Piling Rev.4,itp,,,,Yes,INF-HSEQ CC0375-ITP-014 Piling Rev.4,,,,,,,
section,1.0 Preliminaries,,,,,,,,,,,,,
checkpoint,1.1 Documentation,,,,,,,,,,,,,
label,Ref docs - Issued drawings / Site copy drawings,,,,,,,,,,,,,
label,Acceptance criteria - Check that you have the latest site and engineering drawings BEFORE starting each task/set of tasks.,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,
label,UGL Key - S,,,,,,,,,,,,,
checkpoint,1.2 Determine lot size,,,,,,,,,,,,,
label,Acceptance criteria - Lots to be broken up accordingly and outlined on a lot map,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,
label,UGL Key - S,,,,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,,,,
bool,Lot map,,,,,,,,,,,,,
checkpoint,1.3 Geotechnical Engineer,,,,,,,,,,,,,
label,Ref docs - Spec. 0003 Piling [Cl 2.7.1],,,,,,,,,,,,,
label,Acceptance criteria - Proposed Geotechnical Engineer holds correct qualifications and Experience. 5+ Years Geotechnical Experience including CFA Pile installation ,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - S,,,,,,,,,,,,,
label,UGL Key - S,,,,,,,,,,,,,
section,2.0 Materials & Equipment,,,,,,,,,,,,,
checkpoint,2.1 Boring machine,,,,,,,,,,,,,
label,Ref docs - Spec. 0003 Piling [Cl 3.3.2],,,,,,,,,,,,,
label,Acceptance criteria - Details of the boring machine and any other tools that may be required shall be provided for approval by the Superintendent,,,,,,,,,,,,,
label,HOLD POINT,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,
label,UGL Key - H,,,,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,,,,
bool,Plant documents,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,2.2 Approval of Concrete Mix Design,,,,,,,,,,,,,
label,Ref docs - Spec. 0003 Piling [Cl 3.1.2],,,,,,,,,,,,,
label,Acceptance criteria - Concrete Mix Code: S40/10/220 – Special Mix Strength: 40MPa,,,,,,,,,,,,,
label,○ Agg Size: not greater than 18mm,,,,,,,,,,,,,
label,○ Slump: not greater than 220mm,,,,,,,,,,,,,
label,○ Required to achieve 25MPa @ 7 Days,,,,,,,,,,,,,
label,HOLD POINT,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,
label,UGL Key - H,,,,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,,,,
bool,Mix design,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,2.3 Pile Cage & Spacers,,,,,,,,,,,,,
label,Ref docs - Drawings,,,,,,,,,,,,,
label,Acceptance criteria - Certificate of Compliance for Pile Cage ,,,,,,,,,,,,,
label,○ Cage Manufactured as per approved IFC Drawings and welding to approved weld procedure LOR-CJAUTO-12/20-250/500-1,,,,,,,,,,,,,
label,○ Site splice weld as required IAW approved weld procedure WPS-CSS-014,,,,,,,,,,,,,
label,HOLD POINT,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
label,Key - H,,,,,,,,,,,,,
label,UGL Key - H,,,,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,,,,
bool,Material certificates and COC,,,,,,,,,,,,,
bool,Site Daily Weld Repot  ,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
section,3.0 Piling,,,,,,,,,,,,,
checkpoint,3.1 Survey Setout,,,,,,,,,,,,,
label,Ref docs - Spec. 0003 Piling [3.10] Drawings,,,,,,,,,,,,,
label,Acceptance criteria - A registered surveyor shall be used to accurately located all pile locations as shown on the drawings and specifications.,,,,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,,,,
