type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checklist,Wall Lining - Hardiglaze ,,,,,,Wall Lining,,,,
section,Details,,,,,,,,,,
checkpoint,All pre installation checks completed and approval given to line,,,,,,,,,,
textbox,Drawing no. and revision,,,,,,,,,,
checkpoint,Correct lining (Checked and approved),,,,,,,,,,
checkpoint,Substrate accepted and approval given to start gib lining,,,,,,,,,,
checkpoint,Correct fixings used and installed at correct centers,,,,,,,,,,
checkpoint,Any bracing elements completed to design specification,,,,,,,,,,
checkpoint,"General photos, comments and observations during install",,,,,,,,,,
checkpoint,"All lining completed, checked and approved as per specification",,,,,,,,,,
checkpoint,Report sent through to client,,,,,,,,,,
,,,,,,,,,,,
checklist,Ceiling Grid ,,,,,,Suspended Ceiling,,,,
section,Details,,,,,,,,,,
checkpoint,All relevant drawings and revision numbers checked and attached,,,,,,,,,,
textbox,Drawing no. and revision,,,,,,,,,,
checkpoint,Ceiling Height confirmed,,,,,,,,,,
checkpoint,Appropriate fixings used and installed as per required specification,,,,,,,,,,
checkpoint,Appropriate spacings for respective grid elements,,,,,,,,,,
checkpoint,Battens Level,,,,,,,,,,
checkpoint,Perimeter channel/angle installed correctly,,,,,,,,,,
checkpoint,All strong backs installed where required to meet specification,,,,,,,,,,
checkpoint,All ceiling grid completed in respective area to required specification (Attach photograph of respective completed grid),,,,,,,,,,
checkpoint,Report sent through to client,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
